Column1,index,symbol,long name,currency,exchange,industry,description,sector,country,ipo date,shorter name,Type,Industries,Similar Companies,price,mktCap,name raw,currency symbol,robinhood name,short name,Warrant,shortest name,url name, smart_order ,random csv equations,pure name,shortest - pure diff,order,first_letter
,,6066.HK,CSC,HKD,HKSE,Capital Markets,"CSC Financial Co., Ltd., together with its subsidiaries, provides investment banking services in Mainland China and internationally. The company operates through four segments: Investment Banking, Wealth Management, Trading and Institutional Client Services, and Investment Management. The Investment Banking segment offers a range of investment banking services, including financial advisory, sponsoring, and underwriting of equity and debt securities. The Wealth Management segment provides brokerage agency services for corporate and personal clients in the trading of equity stocks, funds, bonds, and futures, as well as margin financing and securities lending services. The Trading and Institutional Client Services segment trades in financial products; and offers brokerage agency services for financial institutions in the trading of equity stocks, funds, and bonds, as well as margin financing and securities lending services. This segment also provides services in relation to the sale of financial products to institutional clients, and specialized research and advisory services. The Investment Management segment develops asset management products, fund management products services, and private placement offerings, as well as offers related services. The company was formerly known as China Securities Finance Co., Ltd. and changed its name to CSC Financial Co., Ltd. in October 2016. CSC Financial Co., Ltd. was founded in 2005 and is based in Beijing, China.",Financial Services,CN,,CSC,,,,11.1,86099378000.0,CSC,HKD,CSC,CSC,,CSC,6066.hk,,,CSC,,10352,6
,,6068.HK,Wisdom Education International Holdings Company Ltd,HKD,HKSE,Consumer Services,"Wisdom Education International Holdings Company Limited, an investment holding company, operates primary and secondary schools in the People's Republic of China. The company offers private education for primary, middle, and high schools. It also provides international programs to pursue higher education overseas; and school-based elective courses, including courses for sports, arts, music, and Chinese culture, as well as activities for the development of moral character. The company operates 14 boarding schools in 12 campuses, including 6 schools in Guangdong Province, 2 schools in Shandong Province, 2 schools in Sichuan Province, and 2 schools in Liaoning Province and Fujian Province. The company was founded in 2002 and is headquartered in Dongguan, China.",Diversified Consumer Services,CN,1/26/2017,Wisdom Education International Holdings Company Ltd,,,,3.81,8298751000.0,Wisdom Education International Holdings Company Ltd,HKD,Wisdom Education International Holdings Company Ltd,Wisdom Education International Holdings Company Ltd,,Wisdom Education International Holdings Company Ltd,6068.hk,,,Wisdom Education International Holdings Company Ltd,,10353,6
,,6069.HK,Sheng Ye Capital Ltd,HKD,HKSE,Diversified Financials,"Sheng Ye Capital Limited, an investment holding company, provides factoring and guarantee services primarily for energy, infrastructure, and medical sectors in the People's Republic of China. It also offers accounts receivable financing and supply chain finance management services, as well as consulting, information technology, and non-financing guarantee service. The company was founded in 2013 and is headquartered in Shenzhen, the People's Republic of China. Sheng Ye Capital Limited is a subsidiary of Wisdom Cosmos Limited.",Financial Services,CN,7/6/2017,Sheng Ye Capital Ltd,,,,6.64,6218738200.0,Sheng Ye Capital Ltd,HKD,Sheng Ye Capital Ltd,Sheng Ye Capital Ltd,,Sheng Ye Capital Ltd,6069.hk,,,Sheng Ye Capital Ltd,,10354,6
,,6078.HK,Hygeia Healthcare Holdings Co Ltd,HKD,HKSE,Health Care Equipment & Services,"Hygeia Healthcare Holdings Co., Limited operates as an oncology healthcare company in the People's Republic of China. The company owns and operates private for-profit hospitals, which offer a range of oncology healthcare and other healthcare services. It also provides radiotherapy center consulting services; and licenses its SRT equipment, as well as offers maintenance and technical support services for its SRT equipment. In addition, the company provides hospital management services. As of February 10, 2020, it operated or managed a network of 10 oncology-focused hospitals in 7 cities in 6 Provinces in the People's Republic of China. The company was founded in 2009 and is headquartered in Shanghai, the People's Republic of China.",Health Care,CN,6/29/2020,Hygeia Healthcare Holdings Co Ltd,,,,70.2,43383599000.0,Hygeia Healthcare Holdings Co Ltd,HKD,Hygeia Healthcare Holdings Co Ltd,Hygeia Healthcare Holdings Co Ltd,,Hygeia Healthcare Holdings Co Ltd,6078.hk,,,Hygeia Healthcare Holdings Co Ltd,,10355,6
,,6080.HK,Wing Chi Holdings Ltd,HKD,HKSE,Capital Goods,"Wing Chi Holdings Limited, an investment holding company, engages in the foundation and site formation works, and machinery leasing activities in Hong Kong. It undertakes excavation and lateral support, pile caps construction, and site formation works. The company is also involved in the provision of repairing and vehicle rental services. It serves contractors and subcontractors in public and private sector projects. The company was founded in 2001 and is headquartered in Tsuen Wan, Hong Kong. Wing Chi Holdings Limited is a subsidiary of Colourfield Global Limited.",Construction,HK,10/20/2017,Wing Chi Holdings Ltd,,,,0.091,84971248.0,Wing Chi Holdings Ltd,HKD,Wing Chi Holdings Ltd,Wing Chi Holdings Ltd,,Wing Chi Holdings Ltd,6080.hk,,,Wing Chi Holdings Ltd,,10356,6
,,6083.HK,World-Link Logistics (Asia) Holding Ltd,HKD,HKSE,Transportation,"World-Link Logistics (Asia) Holding Limited is a Hong Kong-based investment holding company principally engaged in the provision of logistics solutions. The Company operates through two segments. The Logistics Solutions segment is mainly engaged in the provision of transportation services, warehousing services and other value-added services, such as supply chain management services and data management services. The Customization Services segment is engaged in the provision of customization services, such as repacking services. The Company provides services for fast moving consumer goods industry, foods and beverages industry, electronic industry and retailing industry, among others. The Company mainly operates businesses in Hong Kong.",Logistics & Transportation,HK,12/29/2015,World-Link Logistics (Asia) Holding Ltd,,,,0.445,215380000.0,World-Link Logistics (Asia) Holding Ltd,HKD,World-Link Logistics (Asia) Holding Ltd,World-Link Logistics (Asia) Holding Ltd,,World-Link Logistics (Asia) Holding Ltd,6083.hk,,,World-Link Logistics (Asia) Holding Ltd,,10357,6
,,6088.HK,Foxconn Interconnect Technology Ltd,HKD,HKSE,Technology Hardware & Equipment,"FIT Hon Teng Limited engages in the design, development, production, and sale of interconnect solutions and related products in Taiwan, Mainland China, the United States, Hong Kong, Singapore, and internationally. The company offers cable components, including an array of input/output (I/O) cable assemblies, as well as wire harness and power cords. It also provides connector components comprising I/O connectors, sockets, SAS connectors, power and backplane connectors, memory/edge cards, terminal blocks, and wire to board/board to board connectors. In addition, the company offers optical modules, such as active optical cables, optical transceiver, and embedded optical modules. Further, it provides radio frequency antenna cable and module assemblies; wireless charging products and components; and accessories, such as headsets, speaker systems, and power and cable accessories. The company's interconnect solutions provide functionality to computer and consumer electronics, mobile and wireless devices, and communications infrastructure, including cloud computing, as well as other end markets, such as automotive, industrial, and medical. It also engages in the structure cabling, installation, and maintenance of intelligent control system, as well as research, development, and manufacture of batteries. The company was formerly known as New Wing International Holdings Limited and changed its name to FIT Hon Teng Limited in June 2013. The company was founded in 2013 and is headquartered in New Taipei City, Taiwan. Foxconn FIT Hon Teng Limited is a subsidiary of Foxconn (Far East) Limited.",Electrical Equipment,TW,7/13/2017,Foxconn Interconnect Technology Ltd,,,,3.11,21436327900.0,Foxconn Interconnect Technology Ltd,HKD,Foxconn Interconnect Technology Ltd,Foxconn Interconnect Technology Ltd,,Foxconn Interconnect Technology Ltd,6088.hk,,,Foxconn Interconnect Technology Ltd,,10359,6
,,6090.HK,Centurion Corporation Ltd,HKD,HKSE,Real Estate,"Centurion Corporation Limited, an investment holding company, owns, develops, and manages workers and students accommodation assets in Singapore, the United Kingdom, the United States, Malaysia, Australia, and internationally. The company operates through three segments: Workers Accommodation, Student Accommodation, and Others. It offers dormitory accommodation and services for workers; and accommodation and services for students. As of December 31, 2019, the company owned and managed a portfolio of 33 operational accommodation assets totaling 65,133 beds. It also manufactures and sells optical discs and related data storage products. In addition, the company offers laundry; cleaning and maintenance; management; utilities and transportation; fund management; trustee; and business and management consultancy services. Further, it is involved in the property investment activities; general building activities; and provision of construction project management services. The company was founded in 1981 and is headquartered in Singapore. Centurion Corporation Limited is a subsidiary of Centurion Properties Pte Ltd.",Real Estate,SG,1/12/1995,Centurion Corporation Ltd,,,,2.02,1720573440.0,Centurion Corporation Ltd,HKD,Centurion Corporation Ltd,Centurion Corporation Ltd,,Centurion Corporation Ltd,6090.hk,,,Centurion Corporation Ltd,,10360,6
,,6093.HK,Hevol Services Group Co Ltd,HKD,HKSE,Real Estate,"Hevol Services Group Co. Limited, an investment holding company, provides property management and value-added services in the People's Republic of China. The company provides security, cleaning, greening, gardening, and repair and maintenance services to property owners and residents, as well as property developers. It also offers community value-added services comprises home-living services, including property repair and maintenance, cleaning, interior decoration, collection of electricity tariffs, purchase assistance, and accommodation and catering services to property owners; leasing of common areas, such as swimming pools, car parking spaces, and advertising spaces to third party contractors; and organizing of community cultural activities, which include community sports events, community carnivals, elderly care, and community festival celebrations for residents. In addition, the company provides value-added services, including sales assistance services and management consultation services for the property development projects developed by property developers. The company was incorporated in 2018 and is headquartered in Beijing, the People's Republic of China.",Real Estate,CN,7/12/2019,Hevol Services Group Co Ltd,,,,2.68,1500800000.0,Hevol Services Group Co Ltd,HKD,Hevol Services Group Co Ltd,Hevol Services Group Co Ltd,,Hevol Services Group Co Ltd,6093.hk,,,Hevol Services Group Co Ltd,,10361,6
,,6098.HK,Country Garden Services Holdings Co Ltd,HKD,HKSE,Commercial  & Professional Services,"Country Garden Services Holdings Company Limited, an investment holding company, provides property management services to property owners, residents, and property developers in the People's Republic of China. It offers security, cleaning, greening, gardening, and repair and maintenance services for residential communities. The company's property management portfolio also covers non-residential properties, including commercial properties, office buildings, multi-purpose complexes, government, hospitals, other public facilities, industrial park, highway service stations, parks, scenic areas, and schools. As of December, 2018, it managed 840 properties. The company also provides community value-added services comprising home living services, such as purchase assistance, housekeeping, greening, gardening, turnkey furnishing and move-in, group purchase, and other bespoke services; real estate brokerage services, including real estate agency, real estate investment consultancy, property short-term lease, hosting services, and property insurance; and community area services, including venue operation and community media. In addition, it offers consultancy services to property developers for the management of their pre-sale activities, as well as consultancy services for properties managed by other property management companies; and cleaning, greening, repair, and maintenance services to property developers at the pre-delivery stage. Further, the company provides sales and leasing agency services of unsold parking spaces and properties; and E-commerce services. The company was founded in 1992 and is headquartered in Foshan, the People's Republic of China.",Commercial Services & Supplies,CN,6/19/2018,Country Garden Services Holdings Co Ltd,,,,64.4,189000000000.0,Country Garden Services Holdings Co Ltd,HKD,Country Garden Services Holdings Co Ltd,Country Garden Services Holdings Co Ltd,,Country Garden Services Holdings Co Ltd,6098.hk,,,Country Garden Services Holdings Co Ltd,,10362,6
,,6100.HK,Wise Talent Information Technology Co Ltd,HKD,HKSE,Media & Entertainment,"Wise Talent Information Technology Co., Ltd. is an holding company, which engages in the provision of talent services platform. The company is headquartered in Beijing, Beijing and currently employs 3,731 full-time employees. The firm delivers talent services to individual users mainly through its Website, liepin.com, its mobile application, Liepin Tongdao, and its branded WeChat official account. The firm provides free basic services and paid value-added services. Its free basic services include professional profile, personalized job and headhunter recommendation, as well as social network and career content services. Its paid value-added services include premium membership subscription and Curriculum Vitae (CV) advisory services.",Media,CN,6/29/2018,Wise Talent Information Technology Co Ltd,,,,20.0,10413379600.0,Wise Talent Information Technology Co Ltd,HKD,Wise Talent Information Technology Co Ltd,Wise Talent Information Technology Co Ltd,,Wise Talent Information Technology Co Ltd,6100.hk,,,Wise Talent Information Technology Co Ltd,,10363,6
,,6111.HK,DaFa Properties Group Ltd,HKD,HKSE,Real Estate,"DaFa Properties Group Limited, an investment holding company, operates as a real estate developer in the Yangtze River Delta Region in the People's Republic of China. The company is involved in the development and sale of residential properties; development, operation, and management of commercial and mixed-use properties; and provision of management consulting services. As of December 31, 2019, it had a portfolio of 69 projects consisting of 63 residential properties, two residential and commercial complexes, two commercial complexes, one office floor, and one residential and service apartment. DaFa Properties Group Limited was founded in 1996 and is headquartered in Shanghai, China. DaFa Properties Group Limited is a subsidiary of Splendid Sun Limited.",Real Estate,CN,10/11/2018,DaFa Properties Group Ltd,,,,7.35,6084917800.0,DaFa Properties Group Ltd,HKD,DaFa Properties Group Ltd,DaFa Properties Group Ltd,,DaFa Properties Group Ltd,6111.hk,,,DaFa Properties Group Ltd,,10365,6
,,6113.HK,UTS Marketing Solutions Holdings Ltd,HKD,HKSE,Commercial  & Professional Services,"UTS Marketing Solutions Holdings Limited, an investment holding company, provides outbound telemarketing services in Malaysia. It offers telemarketing services of financial products, which include insurance, credit cards, personal loans, and balance transfers through its contact centers, as well as donation programs for its clients. As of December 31, 2019, it operated six contact centers. It also offers business development solutions that assist its clients in securing or acquiring new business partnerships, and expanding their businesses; and workstations and its related services for the promotion of financial products and its related activities. The company primarily serves banks, insurance companies, takaful operators, and charitable organizations. UTS Marketing Solutions Holdings Limited was incorporated in 2016 and is headquartered in Kuala Lumpur, Malaysia.",Commercial Services & Supplies,MY,7/12/2017,UTS Marketing Solutions Holdings Ltd,,,,1.04,416000000.0,UTS Marketing Solutions Holdings Ltd,HKD,UTS Marketing Solutions Holdings Ltd,UTS Marketing Solutions Holdings Ltd,,UTS Marketing Solutions Holdings Ltd,6113.hk,,,UTS Marketing Solutions Holdings Ltd,,10366,6
,,6116.HK,LA CHAPELLE,HKD,HKSE,Apparel Retail,"Xinjiang La Chapelle Fashion Co., Ltd., together with its subsidiaries, designs, markets, and sells apparel products for ladies' casual wear in the People's Republic of China. Its products include tops, bottoms, dresses, and accessories. The company offers its apparel products under proprietary brands, such as La Chapelle, Puella, 7m, Candie's, La Babité, JACK WALK, Pote, MARC ECKO, 8em, La Chapelle+, and Naf Naf; and various invested brands, including, Siastella, tanni, Maria Luisa, NN, DrömGalaxy, and Gartine. It is also involved in the sale of apparel products; E-commercial; and clothing tech and logistic storage services. The company sells its products directly to retail customers through physical retail points, as well as through online platforms. As of December 31, 2019, it had a retail network of 4,878 retail points, including 4,707 direct and 757 franchising retail outlets. The company was formerly known as Shanghai La Chapelle Fashion Co., Ltd. and changed its name to Xinjiang La Chapelle Fashion Co., Ltd. in July 2020. Xinjiang La Chapelle Fashion Co., Ltd. was founded in 1998 and is headquartered in Shanghai, People's Republic of China.",Consumer Cyclical,CN,,LA CHAPELLE,,,,0.29,602796930.0,LA CHAPELLE,HKD,LA CHAPELLE,LA CHAPELLE,,LA CHAPELLE,6116.hk,,,LA CHAPELLE,,10367,6
,,6117.HK,Rizhao Port Jurong Co Ltd,HKD,HKSE,Transportation,"Rizhao Port Jurong Co., Ltd. engages in the port operations. It provides port-related services, including stevedoring, berth leasing, port management, storage, and logistics agency services, as well as primarily handles soybeans, woodchips, dried tapioca, and other cargo types, including maize and wheat. The company was founded in 2011 and is headquartered in Rizhao, the Peoples Republic of China. Rizhao Port Jurong Co., Ltd. is a subsidiary of Rizhao Port Co., Ltd.",Transportation Infrastructure,CN,6/19/2019,Rizhao Port Jurong Co Ltd,,,,0.62,1029200000.0,Rizhao Port Jurong Co Ltd,HKD,Rizhao Port Jurong Co Ltd,Rizhao Port Jurong Co Ltd,,Rizhao Port Jurong Co Ltd,6117.hk,,,Rizhao Port Jurong Co Ltd,,10368,6
,,6118.HK,Austar Lifesciences Ltd,HKD,HKSE,"Pharmaceuticals, Biotechnology & Life Sciences","Austar Lifesciences Limited, an investment holding company, provides integrated engineering solutions to pharmaceutical manufacturers and research institutes in Mainland China and internationally. It operates through six segments: Liquid and Bioprocess System; Clean Room and Automation Control and Monitoring System; Powder and Solid System; GMP Compliance Service; Life Science Consumables; and Distribution and Agency of Pharmaceutical Equipment. The company offers liquid and bioprocess systems includes pharmaceutical water, and liquid preparation and bioprocess systems; powder and solid systems; clean utility equipment and systems; clean room, automation control, and monitor systems; and freeze-dryer, sterile filling, and visual inspection equipment. It also provides pharmaceutical process contamination control products; packaging and aseptic containment products; biosafety and lab animal equipment and consumables; laboratory one-stop solutions; and single-use bioprocess equipment and consumables. In addition, the company offers design, quality risk control, consulting, research and development support, process engineering, digitalization construction, after-sale, in-site, upgrading, relocation, and asset management services. Further, it is involved in the agency and distribution of pharmaceutical equipment, as well as provides assembly and pre-assembly services. The company was founded in 1991 and is headquartered in Beijing, China.",Life Sciences Tools & Services,CN,11/7/2014,Austar Lifesciences Ltd,,,,6.05,3101121280.0,Austar Lifesciences Ltd,HKD,Austar Lifesciences Ltd,Austar Lifesciences Ltd,,Austar Lifesciences Ltd,6118.hk,,,Austar Lifesciences Ltd,,10369,6
,,6119.HK,Tian Yuan Group Holdings Ltd,HKD,HKSE,Transportation,"Tian Yuan Group Holdings Limited, an investment holding company, provides bulk and general cargo uploading and unloading, and related ancillary port services in the People's Republic of China. The company primarily handles bulk cargo, such as coal, quartz sand, oil products, grains, asphalt, and kaolinite, as well as a portion of break bulk cargo and neo-bulk cargo. Its value-added port services include storage services at oil tanks and grain barns, as well as leasing of shovel trucks. The company also engages in the supply and sale of oil products. It operates two terminals in the Shuidong port area of the Port of Maoming. Tian Yuan Group Holdings Limited was founded in 2006 and is headquartered in Maoming, the People's Republic of China.",Transportation Infrastructure,CN,6/1/2018,Tian Yuan Group Holdings Ltd,,,,0.325,195000000.0,Tian Yuan Group Holdings Ltd,HKD,Tian Yuan Group Holdings Ltd,Tian Yuan Group Holdings Ltd,,Tian Yuan Group Holdings Ltd,6119.hk,,,Tian Yuan Group Holdings Ltd,,10370,6
