,Net Revenue (Sales),Cost of Revenue (Sales),Gross Profit Margin,Gross Profit Margin Ratio,Research and Development (R&D),"Selling, General, and Administrative (SG&A)",Selling & Marketing Expenses (S&M),"Other Income/Expenses, Net",Total Operating Expenses,Cost & Expenses,"Interest Expense/Income, Net",Depreciation & Amortization (D&A),EBITDA,Operating Income,Total Other Income/Expenses,Pretax Income (Earnings),Pretax Income (Earnings) Margin,Provision For Income Taxes,Net Income (Earnings),Earnings Per Share (EPS),Earnings Per Share (EPS) Diluted,Shares Outstanding,Shares Outstanding (Diluted),Year,QQ-YYYY
73,27713750000.0,11395750000.0,16318000000.0,0.14720125,4156250000.0,4933250000.0,3223250000.0,261750000.0,9773500000.0,21169250000.0,27250000.0,1728750000.0,6098250000.0,6544500000.0,62500000.0,6798250000.0,0.0613255,1176750000.0,3165500000.0,4.4991075,4.4991075,175896000.0,175896000.0,2017,FY-2017
72,27713750000.0,11395750000.0,16318000000.0,0.14720125,4156250000.0,4933250000.0,3223250000.0,261750000.0,9773500000.0,21169250000.0,27250000.0,1728750000.0,6098250000.0,6544500000.0,62500000.0,6798250000.0,0.0613255,1176750000.0,3165500000.0,4.4991075,4.4991075,175896000.0,175896000.0,2017,FY-2017
71,22568000000.0,8784500000.0,13783500000.0,0.1526885,3487000000.0,4367500000.0,2621250000.0,108500000.0,7854500000.0,16639000000.0,31000000.0,1536000000.0,7604500000.0,5929000000.0,86000000.0,6037500000.0,0.06688125,1168000000.0,4869500000.0,6.9693125,6.9693125,174676500.0,174676500.0,2016,FY-2016
70,22568000000.0,8784500000.0,13783500000.0,0.1526885,3487000000.0,4367500000.0,2621250000.0,108500000.0,7854500000.0,16639000000.0,31000000.0,1536000000.0,7604500000.0,5929000000.0,86000000.0,6037500000.0,0.06688125,1168000000.0,4869500000.0,6.9693125,6.9693125,174676500.0,174676500.0,2016,FY-2016
69,22568000000.0,8784500000.0,13783500000.0,0.1526885,3487000000.0,4367500000.0,2621250000.0,108500000.0,7854500000.0,16639000000.0,31000000.0,1536000000.0,7604500000.0,5929000000.0,86000000.0,6037500000.0,0.06688125,1168000000.0,4869500000.0,6.9693125,6.9693125,174676500.0,174676500.0,2016,FY-2016
68,22568000000.0,8784500000.0,13783500000.0,0.1526885,3487000000.0,4367500000.0,2621250000.0,108500000.0,7854500000.0,16639000000.0,31000000.0,1536000000.0,7604500000.0,5929000000.0,86000000.0,6037500000.0,0.06688125,1168000000.0,4869500000.0,6.9693125,6.9693125,174676500.0,174676500.0,2016,FY-2016
67,18747250000.0,7041000000.0,11706250000.0,0.15610625,3070500000.0,3795750000.0,2261750000.0,72750000.0,6866250000.0,13907250000.0,26000000.0,1265750000.0,6204500000.0,4840000000.0,64000000.0,4912750000.0,0.065513,825750000.0,4087000000.0,5.8981425000000005,5.8981425000000005,173232500.0,173232500.0,2015,FY-2015
66,18747250000.0,7041000000.0,11706250000.0,0.15610625,3070500000.0,3795750000.0,2261750000.0,72750000.0,6866250000.0,13907250000.0,26000000.0,1265750000.0,6204500000.0,4840000000.0,64000000.0,4912750000.0,0.065513,825750000.0,4087000000.0,5.8981425000000005,5.8981425000000005,173232500.0,173232500.0,2015,FY-2015
65,18747250000.0,7041000000.0,11706250000.0,0.15610625,3070500000.0,3795750000.0,2261750000.0,72750000.0,6866250000.0,13907250000.0,26000000.0,1265750000.0,6204500000.0,4840000000.0,64000000.0,4912750000.0,0.065513,825750000.0,4087000000.0,5.8981425000000005,5.8981425000000005,173232500.0,173232500.0,2015,FY-2015
64,18747250000.0,7041000000.0,11706250000.0,0.15610625,3070500000.0,3795750000.0,2261750000.0,72750000.0,6866250000.0,13907250000.0,26000000.0,1265750000.0,6204500000.0,4840000000.0,64000000.0,4912750000.0,0.065513,825750000.0,4087000000.0,5.8981425000000005,5.8981425000000005,173232500.0,173232500.0,2015,FY-2015
63,16500250000.0,6328250000.0,10172000000.0,0.154119,2458000000.0,3495500000.0,0.0,0.0,6048000000.0,12376250000.0,146250000.0,1244750000.0,5834750000.0,4124000000.0,44500000.0,4314750000.0,0.065374,909750000.0,3534000000.0,5.144105000000001,5.144105000000001,171750000.0,171750000.0,2014,FY-2014
62,16500250000.0,6328250000.0,10172000000.0,0.154119,2458000000.0,3495500000.0,0.0,0.0,6048000000.0,12376250000.0,146250000.0,1244750000.0,5834750000.0,4124000000.0,44500000.0,4314750000.0,0.065374,909750000.0,3534000000.0,5.144105000000001,5.144105000000001,171750000.0,171750000.0,2014,FY-2014
61,16500250000.0,6328250000.0,10172000000.0,0.154119,2458000000.0,3495500000.0,0.0,0.0,6048000000.0,12376250000.0,146250000.0,1244750000.0,5834750000.0,4124000000.0,44500000.0,4314750000.0,0.065374,909750000.0,3534000000.0,5.144105000000001,5.144105000000001,171750000.0,171750000.0,2014,FY-2014
60,16500250000.0,6328250000.0,10172000000.0,0.154119,2458000000.0,3495500000.0,0.0,0.0,6048000000.0,12376250000.0,146250000.0,1244750000.0,5834750000.0,4124000000.0,44500000.0,4314750000.0,0.065374,909750000.0,3534000000.0,5.144105000000001,5.144105000000001,171750000.0,171750000.0,2014,FY-2014
59,13879750000.0,5498250000.0,8381500000.0,0.15096625,1784250000.0,2746500000.0,0.0,0.0,4530750000.0,10029000000.0,76250000.0,984750000.0,4929000000.0,3850750000.0,62000000.0,3974750000.0,0.07159249999999999,684750000.0,3183250000.0,4.3192,4.3192,184250000.0,184250000.0,2013,FY-2013
58,13879750000.0,5498250000.0,8381500000.0,0.15096625,1784250000.0,2746500000.0,0.0,0.0,4530750000.0,10029000000.0,76250000.0,984750000.0,4929000000.0,3850750000.0,62000000.0,3974750000.0,0.07159249999999999,684750000.0,3183250000.0,4.3192,4.3192,184250000.0,184250000.0,2013,FY-2013
57,13879750000.0,5498250000.0,8381500000.0,0.15096625,1784250000.0,2746500000.0,0.0,0.0,4530750000.0,10029000000.0,76250000.0,984750000.0,4929000000.0,3850750000.0,62000000.0,3974750000.0,0.07159249999999999,684750000.0,3183250000.0,4.3192,4.3192,184250000.0,184250000.0,2013,FY-2013
56,13879750000.0,5498250000.0,8381500000.0,0.15096625,1784250000.0,2746500000.0,0.0,0.0,4530750000.0,10029000000.0,76250000.0,984750000.0,4929000000.0,3850750000.0,62000000.0,3974750000.0,0.07159249999999999,684750000.0,3183250000.0,4.3192,4.3192,184250000.0,184250000.0,2013,FY-2013
55,11509750000.0,4294000000.0,7215750000.0,0.15673125,1520750000.0,2236500000.0,0.0,0.0,3757250000.0,8051250000.0,-36250000.0,740500000.0,4117500000.0,3458500000.0,148000000.0,3617250000.0,0.07856925,729000000.0,2684250000.0,4.036465,4.036465,166250000.0,166250000.0,2012,FY-2012
54,11509750000.0,4294000000.0,7215750000.0,0.15673125,1520750000.0,2236500000.0,0.0,0.0,3757250000.0,8051250000.0,-36250000.0,740500000.0,4117500000.0,3458500000.0,148000000.0,3617250000.0,0.07856925,729000000.0,2684250000.0,4.036465,4.036465,166250000.0,166250000.0,2012,FY-2012
53,11509750000.0,4294000000.0,7215750000.0,0.15673125,1520750000.0,2236500000.0,0.0,0.0,3757250000.0,8051250000.0,-36250000.0,740500000.0,4117500000.0,3458500000.0,148000000.0,3617250000.0,0.07856925,729000000.0,2684250000.0,4.036465,4.036465,166250000.0,166250000.0,2012,FY-2012
52,11509750000.0,4294000000.0,7215750000.0,0.15673125,1520750000.0,2236500000.0,0.0,0.0,3757250000.0,8051250000.0,-36250000.0,740500000.0,4117500000.0,3458500000.0,148000000.0,3617250000.0,0.07856925,729000000.0,2684250000.0,4.036465,4.036465,166250000.0,166250000.0,2012,FY-2012
51,9476250000.0,3297000000.0,6179250000.0,0.16301949999999998,1290500000.0,1828250000.0,0.0,0.0,3271250000.0,6568250000.0,157250000.0,462750000.0,3701500000.0,2908000000.0,16250000.0,3081500000.0,0.08129525,647250000.0,2434250000.0,3.7220949999999995,3.7220949999999995,163500000.0,163500000.0,2011,FY-2011
50,9476250000.0,3297000000.0,6179250000.0,0.16301949999999998,1290500000.0,1828250000.0,0.0,0.0,3271250000.0,6568250000.0,157250000.0,462750000.0,3701500000.0,2908000000.0,16250000.0,3081500000.0,0.08129525,647250000.0,2434250000.0,3.7220949999999995,3.7220949999999995,163500000.0,163500000.0,2011,FY-2011
49,9476250000.0,3297000000.0,6179250000.0,0.16301949999999998,1290500000.0,1828250000.0,0.0,0.0,3271250000.0,6568250000.0,157250000.0,462750000.0,3701500000.0,2908000000.0,16250000.0,3081500000.0,0.08129525,647250000.0,2434250000.0,3.7220949999999995,3.7220949999999995,163500000.0,163500000.0,2011,FY-2011
48,9476250000.0,3297000000.0,6179250000.0,0.16301949999999998,1290500000.0,1828250000.0,0.0,0.0,3271250000.0,6568250000.0,157250000.0,462750000.0,3701500000.0,2908000000.0,16250000.0,3081500000.0,0.08129525,647250000.0,2434250000.0,3.7220949999999995,3.7220949999999995,163500000.0,163500000.0,2011,FY-2011
47,7330250000.0,2604250000.0,4726000000.0,0.1611815,940500000.0,1190250000.0,0.0,0.0,2130750000.0,4735000000.0,101000000.0,349000000.0,3149000000.0,2595250000.0,2750000.0,2699000000.0,0.09205,572750000.0,2126250000.0,3.2863225,3.2863225,161750000.0,161750000.0,2010,FY-2010
46,7330250000.0,2604250000.0,4726000000.0,0.1611815,940500000.0,1190250000.0,0.0,0.0,2130750000.0,4735000000.0,101000000.0,349000000.0,3149000000.0,2595250000.0,2750000.0,2699000000.0,0.09205,572750000.0,2126250000.0,3.2863225,3.2863225,161750000.0,161750000.0,2010,FY-2010
45,7330250000.0,2604250000.0,4726000000.0,0.1611815,940500000.0,1190250000.0,0.0,0.0,2130750000.0,4735000000.0,101000000.0,349000000.0,3149000000.0,2595250000.0,2750000.0,2699000000.0,0.09205,572750000.0,2126250000.0,3.2863225,3.2863225,161750000.0,161750000.0,2010,FY-2010
44,7330250000.0,2604250000.0,4726000000.0,0.1611815,940500000.0,1190250000.0,0.0,0.0,2130750000.0,4735000000.0,101000000.0,349000000.0,3149000000.0,2595250000.0,2750000.0,2699000000.0,0.09205,572750000.0,2126250000.0,3.2863225,3.2863225,161750000.0,161750000.0,2010,FY-2010
43,5912750000.0,2211000000.0,3701500000.0,0.156505,710750000.0,912750000.0,0.0,0.0,1623500000.0,3834500000.0,16750000.0,381000000.0,2493000000.0,2078000000.0,500000.0,2095250000.0,0.08859025000000001,465250000.0,1630000000.0,2.5508599999999997,2.5508599999999997,159750000.0,159750000.0,2009,FY-2009
42,5912750000.0,2211000000.0,3701500000.0,0.156505,710750000.0,912750000.0,0.0,0.0,1623500000.0,3834500000.0,16750000.0,381000000.0,2493000000.0,2078000000.0,500000.0,2095250000.0,0.08859025000000001,465250000.0,1630000000.0,2.5508599999999997,2.5508599999999997,159750000.0,159750000.0,2009,FY-2009
41,5912750000.0,2211000000.0,3701500000.0,0.156505,710750000.0,912750000.0,0.0,0.0,1623500000.0,3834500000.0,16750000.0,381000000.0,2493000000.0,2078000000.0,500000.0,2095250000.0,0.08859025000000001,465250000.0,1630000000.0,2.5508599999999997,2.5508599999999997,159750000.0,159750000.0,2009,FY-2009
40,5912750000.0,2211000000.0,3701500000.0,0.156505,710750000.0,912750000.0,0.0,0.0,1623500000.0,3834500000.0,16750000.0,381000000.0,2493000000.0,2078000000.0,500000.0,2095250000.0,0.08859025000000001,465250000.0,1630000000.0,2.5508599999999997,2.5508599999999997,159750000.0,159750000.0,2009,FY-2009
39,5449000000.0,2155500000.0,3293500000.0,0.15110574999999998,698250000.0,937250000.0,0.0,0.0,1909000000.0,4064500000.0,78000000.0,375000000.0,1916500000.0,1384250000.0,1250000.0,1463500000.0,0.06714525,406750000.0,1056750000.0,1.6641724999999998,1.6641724999999998,158750000.0,158750000.0,2008,FY-2008
38,5449000000.0,2155500000.0,3293500000.0,0.15110574999999998,698250000.0,937250000.0,0.0,0.0,1909000000.0,4064500000.0,78000000.0,375000000.0,1916500000.0,1384250000.0,1250000.0,1463500000.0,0.06714525,406750000.0,1056750000.0,1.6641724999999998,1.6641724999999998,158750000.0,158750000.0,2008,FY-2008
37,5449000000.0,2155500000.0,3293500000.0,0.15110574999999998,698250000.0,937250000.0,0.0,0.0,1909000000.0,4064500000.0,78000000.0,375000000.0,1916500000.0,1384250000.0,1250000.0,1463500000.0,0.06714525,406750000.0,1056750000.0,1.6641724999999998,1.6641724999999998,158750000.0,158750000.0,2008,FY-2008
36,5449000000.0,2155500000.0,3293500000.0,0.15110574999999998,698250000.0,937250000.0,0.0,0.0,1909000000.0,4064500000.0,78000000.0,375000000.0,1916500000.0,1384250000.0,1250000.0,1463500000.0,0.06714525,406750000.0,1056750000.0,1.6641724999999998,1.6641724999999998,158750000.0,158750000.0,2008,FY-2008
35,4148500000.0,1662250000.0,2486250000.0,0.14982825,530000000.0,685250000.0,0.0,0.0,1215250000.0,2877500000.0,148500000.0,242000000.0,1809000000.0,1271000000.0,-1250000.0,1418500000.0,0.08548275,367500000.0,1051000000.0,1.662975,1.662975,158000000.0,158000000.0,2007,FY-2007
34,4148500000.0,1662250000.0,2486250000.0,0.14982825,530000000.0,685250000.0,0.0,0.0,1215250000.0,2877500000.0,148500000.0,242000000.0,1809000000.0,1271000000.0,-1250000.0,1418500000.0,0.08548275,367500000.0,1051000000.0,1.662975,1.662975,158000000.0,158000000.0,2007,FY-2007
33,4148500000.0,1662250000.0,2486250000.0,0.14982825,530000000.0,685250000.0,0.0,0.0,1215250000.0,2877500000.0,148500000.0,242000000.0,1809000000.0,1271000000.0,-1250000.0,1418500000.0,0.08548275,367500000.0,1051000000.0,1.662975,1.662975,158000000.0,158000000.0,2007,FY-2007
32,4148500000.0,1662250000.0,2486250000.0,0.14982825,530000000.0,685250000.0,0.0,0.0,1215250000.0,2877500000.0,148500000.0,242000000.0,1809000000.0,1271000000.0,-1250000.0,1418500000.0,0.08548275,367500000.0,1051000000.0,1.662975,1.662975,158000000.0,158000000.0,2007,FY-2007
31,2651250000.0,1056250000.0,1595000000.0,0.15040075,307250000.0,400250000.0,0.0,0.0,707500000.0,1763750000.0,114500000.0,143000000.0,1260250000.0,887500000.0,750000.0,1002750000.0,0.0945545,233500000.0,769250000.0,1.24273,1.24273,154750000.0,154750000.0,2006,FY-2006
30,2651250000.0,1056250000.0,1595000000.0,0.15040075,307250000.0,400250000.0,0.0,0.0,707500000.0,1763750000.0,114500000.0,143000000.0,1260250000.0,887500000.0,750000.0,1002750000.0,0.0945545,233500000.0,769250000.0,1.24273,1.24273,154750000.0,154750000.0,2006,FY-2006
29,2651250000.0,1056250000.0,1595000000.0,0.15040075,307250000.0,400250000.0,0.0,0.0,707500000.0,1763750000.0,114500000.0,143000000.0,1260250000.0,887500000.0,750000.0,1002750000.0,0.0945545,233500000.0,769250000.0,1.24273,1.24273,154750000.0,154750000.0,2006,FY-2006
28,2651250000.0,1056250000.0,1595000000.0,0.15040075,307250000.0,400250000.0,0.0,0.0,707500000.0,1763750000.0,114500000.0,143000000.0,1260250000.0,887500000.0,750000.0,1002750000.0,0.0945545,233500000.0,769250000.0,1.24273,1.24273,154750000.0,154750000.0,2006,FY-2006
27,1534750000.0,644250000.0,890250000.0,0.1450155,150000000.0,213750000.0,0.0,0.0,386000000.0,1030250000.0,30000000.0,73500000.0,638750000.0,504250000.0,1000000.0,535500000.0,0.08722925000000001,169000000.0,366250000.0,0.6271399999999999,0.6271399999999999,146000000.0,146000000.0,2005,FY-2005
26,1534750000.0,644250000.0,890250000.0,0.1450155,150000000.0,213750000.0,0.0,0.0,386000000.0,1030250000.0,30000000.0,73500000.0,638750000.0,504250000.0,1000000.0,535500000.0,0.08722925000000001,169000000.0,366250000.0,0.6271399999999999,0.6271399999999999,146000000.0,146000000.0,2005,FY-2005
25,1534750000.0,644250000.0,890250000.0,0.1450155,150000000.0,213750000.0,0.0,0.0,386000000.0,1030250000.0,30000000.0,73500000.0,638750000.0,504250000.0,1000000.0,535500000.0,0.08722925000000001,169000000.0,366250000.0,0.6271399999999999,0.6271399999999999,146000000.0,146000000.0,2005,FY-2005
24,1534750000.0,644250000.0,890250000.0,0.1450155,150000000.0,213750000.0,0.0,0.0,386000000.0,1030250000.0,30000000.0,73500000.0,638750000.0,504250000.0,1000000.0,535500000.0,0.08722925000000001,169000000.0,366250000.0,0.6271399999999999,0.6271399999999999,146000000.0,146000000.0,2005,FY-2005
23,797250000.0,367250000.0,430000000.0,0.1348385,98750000.0,121000000.0,0.0,0.0,270000000.0,637250000.0,3750000.0,37250000.0,203500000.0,160000000.0,-1250000.0,162500000.0,0.0509565,62750000.0,99750000.0,0.1826925,0.1826925,136500000.0,136500000.0,2004,FY-2004
22,797250000.0,367250000.0,430000000.0,0.1348385,98750000.0,121000000.0,0.0,0.0,270000000.0,637250000.0,3750000.0,37250000.0,203500000.0,160000000.0,-1250000.0,162500000.0,0.0509565,62750000.0,99750000.0,0.1826925,0.1826925,136500000.0,136500000.0,2004,FY-2004
21,797250000.0,367250000.0,430000000.0,0.1348385,98750000.0,121000000.0,0.0,0.0,270000000.0,637250000.0,3750000.0,37250000.0,203500000.0,160000000.0,-1250000.0,162500000.0,0.0509565,62750000.0,99750000.0,0.1826925,0.1826925,136500000.0,136500000.0,2004,FY-2004
20,797250000.0,367250000.0,430000000.0,0.1348385,98750000.0,121000000.0,0.0,0.0,270000000.0,637250000.0,3750000.0,37250000.0,203500000.0,160000000.0,-1250000.0,162500000.0,0.0509565,62750000.0,99750000.0,0.1826925,0.1826925,136500000.0,136500000.0,2004,FY-2004
19,366500000.0,158500000.0,208000000.0,0.14188275,57500000.0,64750000.0,0.0,0.0,122250000.0,280750000.0,250000.0,12500000.0,99500000.0,85500000.0,750000.0,86750000.0,0.0591745,60250000.0,26500000.0,0.0516575,0.0516575,128250000.0,128250000.0,2003,FY-2003
18,366500000.0,158500000.0,208000000.0,0.14188275,57500000.0,64750000.0,0.0,0.0,122250000.0,280750000.0,250000.0,12500000.0,99500000.0,85500000.0,750000.0,86750000.0,0.0591745,60250000.0,26500000.0,0.0516575,0.0516575,128250000.0,128250000.0,2003,FY-2003
17,366500000.0,158500000.0,208000000.0,0.14188275,57500000.0,64750000.0,0.0,0.0,122250000.0,280750000.0,250000.0,12500000.0,99500000.0,85500000.0,750000.0,86750000.0,0.0591745,60250000.0,26500000.0,0.0516575,0.0516575,128250000.0,128250000.0,2003,FY-2003
16,366500000.0,158500000.0,208000000.0,0.14188275,57500000.0,64750000.0,0.0,0.0,122250000.0,280750000.0,250000.0,12500000.0,99500000.0,85500000.0,750000.0,86750000.0,0.0591745,60250000.0,26500000.0,0.0516575,0.0516575,128250000.0,128250000.0,2003,FY-2003
15,110000000.0,33250000.0,76750000.0,0.17443175000000002,10000000.0,20000000.0,0.0,0.0,30000000.0,63250000.0,-250000.0,4500000.0,50500000.0,46500000.0,0.0,46250000.0,0.10511375,21250000.0,25000000.0,0.05669,0.05669,110250000.0,110250000.0,2002,FY-2002
14,110000000.0,33250000.0,76750000.0,0.17443175000000002,10000000.0,20000000.0,0.0,0.0,30000000.0,63250000.0,-250000.0,4500000.0,50500000.0,46500000.0,0.0,46250000.0,0.10511375,21250000.0,25000000.0,0.05669,0.05669,110250000.0,110250000.0,2002,FY-2002
13,110000000.0,33250000.0,76750000.0,0.17443175000000002,10000000.0,20000000.0,0.0,0.0,30000000.0,63250000.0,-250000.0,4500000.0,50500000.0,46500000.0,0.0,46250000.0,0.10511375,21250000.0,25000000.0,0.05669,0.05669,110250000.0,110250000.0,2002,FY-2002
12,110000000.0,33250000.0,76750000.0,0.17443175000000002,10000000.0,20000000.0,0.0,0.0,30000000.0,63250000.0,-250000.0,4500000.0,50500000.0,46500000.0,0.0,46250000.0,0.10511375,21250000.0,25000000.0,0.05669,0.05669,110250000.0,110250000.0,2002,FY-2002
11,21500000.0,3750000.0,17750000.0,0.20639524999999997,5250000.0,9750000.0,0.0,0.0,15000000.0,18750000.0,-250000.0,2500000.0,4750000.0,2750000.0,0.0,2500000.0,0.02906975,750000.0,1750000.0,0.00468,0.00468,93500000.0,93500000.0,2001,FY-2001
10,21500000.0,3750000.0,17750000.0,0.20639524999999997,5250000.0,9750000.0,0.0,0.0,15000000.0,18750000.0,-250000.0,2500000.0,4750000.0,2750000.0,0.0,2500000.0,0.02906975,750000.0,1750000.0,0.00468,0.00468,93500000.0,93500000.0,2001,FY-2001
9,21500000.0,3750000.0,17750000.0,0.20639524999999997,5250000.0,9750000.0,0.0,0.0,15000000.0,18750000.0,-250000.0,2500000.0,4750000.0,2750000.0,0.0,2500000.0,0.02906975,750000.0,1750000.0,0.00468,0.00468,93500000.0,93500000.0,2001,FY-2001
8,21500000.0,3750000.0,17750000.0,0.20639524999999997,5250000.0,9750000.0,0.0,0.0,15000000.0,18750000.0,-250000.0,2500000.0,4750000.0,2750000.0,0.0,2500000.0,0.02906975,750000.0,1750000.0,0.00468,0.00468,93500000.0,93500000.0,2001,FY-2001
7,4750000.0,1500000.0,3250000.0,0.17105275,3000000.0,4000000.0,0.0,0.0,7000000.0,8500000.0,0.0,0.0,-3750000.0,-3750000.0,0.0,-3750000.0,-0.1973685,0.0,-3750000.0,-0.027985000000000003,-0.027985000000000003,33500000.0,33500000.0,2000,FY-2000
6,4750000.0,1500000.0,3250000.0,0.17105275,3000000.0,4000000.0,0.0,0.0,7000000.0,8500000.0,0.0,0.0,-3750000.0,-3750000.0,0.0,-3750000.0,-0.1973685,0.0,-3750000.0,-0.027985000000000003,-0.027985000000000003,33500000.0,33500000.0,2000,FY-2000
5,4750000.0,1500000.0,3250000.0,0.17105275,3000000.0,4000000.0,0.0,0.0,7000000.0,8500000.0,0.0,0.0,-3750000.0,-3750000.0,0.0,-3750000.0,-0.1973685,0.0,-3750000.0,-0.027985000000000003,-0.027985000000000003,33500000.0,33500000.0,2000,FY-2000
4,4750000.0,1500000.0,3250000.0,0.17105275,3000000.0,4000000.0,0.0,0.0,7000000.0,8500000.0,0.0,0.0,-3750000.0,-3750000.0,0.0,-3750000.0,-0.1973685,0.0,-3750000.0,-0.027985000000000003,-0.027985000000000003,33500000.0,33500000.0,2000,FY-2000
3,0.0,250000.0,-250000.0,0.0,750000.0,750000.0,0.0,0.0,1500000.0,1750000.0,0.0,0.0,-1500000.0,-1750000.0,0.0,-1500000.0,0.0,0.0,-1500000.0,-0.0176475,-0.0176475,21250000.0,21250000.0,1999,FY-1999
2,0.0,250000.0,-250000.0,0.0,750000.0,750000.0,0.0,0.0,1500000.0,1750000.0,0.0,0.0,-1500000.0,-1750000.0,0.0,-1500000.0,0.0,0.0,-1500000.0,-0.0176475,-0.0176475,21250000.0,21250000.0,1999,FY-1999
1,0.0,250000.0,-250000.0,0.0,750000.0,750000.0,0.0,0.0,1500000.0,1750000.0,0.0,0.0,-1500000.0,-1750000.0,0.0,-1500000.0,0.0,0.0,-1500000.0,-0.0176475,-0.0176475,21250000.0,21250000.0,1999,FY-1999
0,0.0,250000.0,-250000.0,0.0,750000.0,750000.0,0.0,0.0,1500000.0,1750000.0,0.0,0.0,-1500000.0,-1750000.0,0.0,-1500000.0,0.0,0.0,-1500000.0,-0.0176475,-0.0176475,21250000.0,21250000.0,1999,FY-1999
