,date,Net Revenue (Sales),Cost of Revenue (Sales),Gross Profit Margin,Gross Profit Margin Ratio,Research and Development (R&D),"Selling, General, and Administrative (SG&A)",Selling & Marketing Expenses (S&M),"Other Income/Expenses, Net",Total Operating Expenses,Cost & Expenses,"Interest Expense/Income, Net",Depreciation & Amortization (D&A),EBITDA,Operating Income,Total Other Income/Expenses,Pretax Income (Earnings),Pretax Income (Earnings) Margin,Provision For Income Taxes,Net Income (Earnings),Earnings Per Share (EPS),Earnings Per Share (EPS) Diluted,Shares Outstanding,Shares Outstanding (Diluted),finalLink,Year,QQ-YYYY,quarter avg
14,2017-04-01,52896000000,32305000000,20591000000,0.389273,2776000000,3718000000,0.0,587000000.0,6494000000.0,38799000000,530000000.0,2332000000.0,17546000000.0,14097000000.0,-165000000.0,14684000000.0,0.27760100000000004,3655000000.0,11029000000.0,0.52399,0.52399,21048000000.0,21048000000.0,https://www.sec.gov/Archives/edgar/data/320193/000162828017004790/a10-qq22017412017.htm,2017,Q2-2017,62598500000.0
15,2016-12-31,78351000000,48175000000,30176000000,0.38513867085295656,2871000000,3946000000,0.0,122000000.0,0.0,54992000000,525000000.0,0.0,27692000000.0,23359000000.0,122000000.0,24180000000.0,0.3086112493777999,6289000000.0,17891000000.0,0.845,0.84,21194644000.0,21311980000.0,https://www.sec.gov/Archives/edgar/data/320193/000162828017000717/a10-qq1201712312016.htm,2016,Q1-2016,61853625000.0
16,2016-09-24,46852000000,29039000000,17813000000,0.380197,2570000000,3482000000,0.0,427000000.0,6052000000.0,35091000000,450000000.0,2548000000.0,15186000000.0,11761000000.0,-159000000.0,12188000000.0,0.26013800000000004,3174000000.0,9014000000.0,0.41786,0.41786,21572000000.0,21572000000.0,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/a201610-k9242016.htm,2016,Q4-2016,59847625000.0
17,2016-06-25,42358000000,26252000000,16106000000,0.380235,2560000000,3441000000,0.0,364000000.0,6001000000.0,32253000000,409000000.0,2526000000.0,13404000000.0,10105000000.0,-263000000.0,10469000000.0,0.247155,2673000000.0,7796000000.0,0.35611,0.35611,21892000000.0,21892000000.0,https://www.sec.gov/Archives/edgar/data/320193/000162828016017809/a10-qq320166252016.htm,2016,Q3-2016,58484250000.0
18,2016-03-26,50557000000,30636000000,19921000000,0.394031,2511000000,3423000000,0.0,155000000.0,5934000000.0,36570000000,321000000.0,2477000000.0,16940000000.0,13987000000.0,-510000000.0,14142000000.0,0.279724,3626000000.0,10516000000.0,0.47446000000000005,0.47446000000000005,22164000000.0,22164000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312516559625/d165350d10q.htm,2016,Q2-2016,57161750000.0
19,2015-12-26,75872000000,45449000000,30423000000,0.400978,2404000000,3848000000,0.0,402000000.0,6252000000.0,51701000000,276000000.0,2954000000.0,27803000000.0,24171000000.0,-263000000.0,24573000000.0,0.323874,6212000000.0,18361000000.0,0.82057,0.82057,22376000000.0,22376000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312516439878/d66145d10q.htm,2015,Q1-2015,55609125000.0
20,2015-09-26,51501000000,30953000000,20548000000,0.398983,2220000000,3705000000,0.0,439000000.0,5925000000.0,36878000000,238000000.0,3119000000.0,18419000000.0,14623000000.0,-149000000.0,15062000000.0,0.29246,3938000000.0,11124000000.0,0.48935,0.48935,22732000000.0,22732000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/d17062d10k.htm,2015,Q4-2015,55474375000.0
21,2015-06-27,49605000000,29924000000,19681000000,0.396754,2034000000,3564000000,0.0,390000000.0,5598000000.0,35522000000,201000000.0,3084000000.0,17758000000.0,14083000000.0,-175000000.0,14473000000.0,0.291765,3796000000.0,10677000000.0,0.46237,0.46237,23092000000.0,23092000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312515259935/d927922d10q.htm,2015,Q3-2015,55999000000.0
22,2015-03-28,58010000000,34354000000,23656000000,0.407792,1918000000,3460000000,0.0,286000000.0,5378000000.0,39732000000,163000000.0,2479000000.0,21206000000.0,18278000000.0,-226000000.0,18564000000.0,0.32001399999999997,4995000000.0,13569000000.0,0.58136,0.58136,23340000000.0,23340000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312515153166/d892246d10q.htm,2015,Q2-2015,56638250000.0
23,2014-12-27,74599000000,44858000000,29741000000,0.39867800000000003,1895000000,3600000000,0.0,170000000.0,5495000000.0,50353000000,131000000.0,2575000000.0,27122000000.0,24246000000.0,-353000000.0,24416000000.0,0.327297,6392000000.0,18024000000.0,0.76607,0.76607,23528000000.0,23528000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/d783162d10k.htm,2014,Q1-2014,56169250000.0
24,2014-09-27,42123000000,26114000000,16009000000,0.380054,1686000000,3158000000,0.0,307000000.0,4844000000.0,30958000000,115000000.0,1969000000.0,13556000000.0,11165000000.0,-39000000.0,11472000000.0,0.272345,3005000000.0,8467000000.0,0.35445,0.35445,23888000000.0,23888000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/d783162d10k.htm,2014,Q4-2014,55578125000.0
25,2014-06-28,37432000000,22697000000,14735000000,0.39364699999999997,1603000000,2850000000,0.0,202000000.0,4453000000.0,27150000000,100000000.0,1946000000.0,12530000000.0,10282000000.0,-85000000.0,10484000000.0,0.28008099999999997,2736000000.0,7748000000.0,0.32006,0.32006,24208000000.0,24208000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312514277160/d740164d10q.htm,2014,Q3-2014,54962375000.0
26,2014-03-29,45646000000,27699000000,17947000000,0.393178,1422000000,2932000000,0.0,225000000.0,4354000000.0,32053000000,85000000.0,1887000000.0,15790000000.0,13593000000.0,-92000000.0,13818000000.0,0.302721,3595000000.0,10223000000.0,0.4151,0.4151,24628000000.0,24628000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312514157311/d694710d10q.htm,2014,Q2-2014,54348500000.0
27,2013-12-28,57594000000,35748000000,21846000000,0.37931,1330000000,3053000000,0.0,246000000.0,4383000000.0,40131000000,84000000.0,2144000000.0,19937000000.0,17463000000.0,-95000000.0,17709000000.0,0.30748000000000003,4637000000.0,13072000000.0,0.51791,0.51791,25240000000.0,25240000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312513416534/d590790d10k.htm,2013,Q1-2013,52063750000.0
28,2013-09-28,37472000000,23601000000,13871000000,0.37017,1168000000,2673000000,0.0,113000000.0,3841000000.0,27442000000,136000000.0,1783000000.0,12062000000.0,10030000000.0,-194000000.0,10143000000.0,0.27068200000000003,2631000000.0,7512000000.0,0.2951,0.2951,25456000000.0,25456000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312513416534/d590790d10k.htm,2013,Q4-2013,50310125000.0
29,2013-06-29,35323000000,22299000000,13024000000,0.368712,1178000000,2645000000,0.0,234000000.0,3823000000.0,26122000000,269000000.0,1694000000.0,11398000000.0,9201000000.0,-35000000.0,9435000000.0,0.267106,2535000000.0,6900000000.0,0.26661999999999997,0.26661999999999997,25880000000.0,25880000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312513300670/d552802d10q.htm,2013,Q3-2013,48524875000.0
30,2013-03-30,43603000000,27254000000,16349000000,0.37495100000000003,1119000000,2672000000,0.0,347000000.0,3791000000.0,31045000000,360000000.0,1692000000.0,14957000000.0,12558000000.0,-13000000.0,12905000000.0,0.295966,3358000000.0,9547000000.0,0.36043000000000003,0.36043000000000003,26488000000.0,26488000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312513168288/d501596d10q.htm,2013,Q2-2013,46724000000.0
31,2012-12-29,54512000000,33452000000,21060000000,0.386337,1010000000,2840000000,0.0,462000000.0,3850000000.0,37302000000,421000000.0,1588000000.0,19681000000.0,17210000000.0,41000000.0,17672000000.0,0.32418600000000003,4594000000.0,13078000000.0,0.49306000000000005,0.49306000000000005,26524000000.0,26524000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312513022339/d453687d10q.htm,2012,Q1-2012,44213125000.0
32,2012-09-29,35966000000,21565000000,14401000000,0.400406,906000000,2551000000,0.0,-51000000.0,3457000000.0,25022000000,0.0,981000000.0,11874000000.0,10944000000.0,-51000000.0,10893000000.0,0.302869,2670000000.0,8223000000.0,0.30974,0.30974,26548000000.0,26548000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312512444068/d411355d10k.htm,2012,Q4-2012,43443500000.0
33,2012-06-30,35023000000,20029000000,14994000000,0.4281186648773663,876000000,2545000000,0.0,288000000.0,0.0,23450000000,0.0,0.0,12408000000.0,11573000000.0,288000000.0,11861000000.0,0.33866316420637865,3037000000.0,8824000000.0,0.336429,0.332857,26224688000.0,26517652000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312512314552/d365704d10q.htm,2012,Q3-2012,43142375000.0
34,2012-03-31,39186000000,20622000000,18564000000,0.4737406216505895,841000000,2339000000,0.0,148000000.0,0.0,23802000000,0.0,0.0,16124000000.0,15384000000.0,148000000.0,15532000000.0,0.3963660490991681,3910000000.0,11622000000.0,0.444643,0.43928599999999995,26140296000.0,26457004000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312512182321/d297069d10q.htm,2012,Q2-2012,42334875000.0
35,2011-12-31,46333000000,25630000000,20703000000,0.4468305527377895,758000000,2605000000,0.0,137000000.0,0.0,28993000000,0.0,0.0,18061000000.0,17340000000.0,137000000.0,17477000000.0,0.3772041525478601,4413000000.0,13064000000.0,0.501071,0.495357,26069148000.0,26364016000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312512023398/d267587d10q.htm,2011,Q1-2011,40927250000.0
36,2011-09-24,28270000000,16890000000,11380000000,0.402547,645000000,2025000000,0.0,81000000.0,2670000000.0,19560000000,0.0,543000000.0,9334000000.0,8710000000.0,81000000.0,8791000000.0,0.31096599999999996,2168000000.0,6623000000.0,0.25175,0.25175,26308000000.0,26308000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312511282113/d220209d10k.htm,2011,Q4-2011,39777000000.0
37,2011-06-25,28571000000,16649000000,11922000000,0.41727600000000004,628000000,1915000000,0.0,172000000.0,2543000000.0,19192000000,0.0,481000000.0,10032000000.0,9379000000.0,172000000.0,9551000000.0,0.33429000000000003,2243000000.0,7308000000.0,0.27829,0.27829,26260000000.0,26260000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312511192493/d10q.htm,2011,Q3-2011,38933000000.0
38,2011-03-26,24667000000,14449000000,10218000000,0.414238,581000000,1763000000,0.0,26000000.0,2344000000.0,16793000000,0.0,434000000.0,8334000000.0,7874000000.0,26000000.0,7900000000.0,0.320266,1913000000.0,5987000000.0,0.22844,0.22844,26208000000.0,26208000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312511104388/d10q.htm,2011,Q2-2011,36566000000.0
39,2010-12-25,26741000000,16443000000,10298000000,0.385102,575000000,1896000000,0.0,136000000.0,2471000000.0,18914000000,0.0,356000000.0,8319000000.0,7827000000.0,136000000.0,7963000000.0,0.297782,1959000000.0,6004000000.0,0.22979000000000002,0.22979000000000002,26128000000.0,26128000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312510238044/d10k.htm,2010,Q1-2010,33094625000.0
40,2010-09-25,20343000000,12831000000,7512000000,0.369267,494000000,1571000000,0.0,14000000.0,2065000000.0,14896000000,0.0,329000000.0,5790000000.0,5447000000.0,14000000.0,5461000000.0,0.268446,1153000000.0,4308000000.0,0.16564,0.16564,26008000000.0,26008000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312510238044/d10k.htm,2010,Q4-2010,31141750000.0
41,2010-06-26,15700000000,9564000000,6136000000,0.390828,464000000,1438000000,0.0,58000000.0,1902000000.0,11466000000,0.0,273000000.0,4565000000.0,4234000000.0,58000000.0,4292000000.0,0.273376,1039000000.0,3253000000.0,0.12527,0.12527,25968000000.0,25968000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312510162840/d10q.htm,2010,Q3-2010,28726375000.0
42,2010-03-27,13499000000,7874000000,5625000000,0.41669799999999996,426000000,1220000000,0.0,50000000.0,1646000000.0,9520000000,0.0,216000000.0,4245000000.0,3979000000.0,50000000.0,4029000000.0,0.298467,955000000.0,3074000000.0,0.11896,0.11896,25840000000.0,25840000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312510088957/d10q.htm,2010,Q2-2010,25515500000.0
43,2009-12-26,15683000000,9272000000,6411000000,0.408787,398000000,1288000000,0.0,33000000.0,1686000000.0,10958000000,0.0,209000000.0,4967000000.0,4725000000.0,33000000.0,4758000000.0,0.303386,1380000000.0,3378000000.0,0.13117,0.13117,25752000000.0,25752000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312510012085/d10q.htm,2009,Q1-2009,21684250000.0
44,2009-09-26,12207000000,7102000000,5105000000,0.418203,358000000,1063000000,0.0,45000000.0,1421000000.0,8523000000,0.0,203000000.0,3932000000.0,3684000000.0,45000000.0,3729000000.0,0.30548000000000003,1197000000.0,2532000000.0,0.09888999999999999,0.09888999999999999,25604000000.0,25604000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312509214859/d10k.htm,2009,Q4-2009,19676375000.0
45,2009-06-27,9734000000,5751000000,3983000000,0.409184,341000000,1010000000,0.0,60000000.0,1351000000.0,7102000000,0.0,182000000.0,2874000000.0,2632000000.0,60000000.0,2692000000.0,0.27655599999999997,864000000.0,1828000000.0,0.07181,0.07181,25456000000.0,25456000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312509153165/d10q.htm,2009,Q3-2009,17321750000.0
46,2009-03-28,9084000000,5457000000,3627000000,0.399273,319000000,985000000,0.0,63000000.0,1304000000.0,6761000000,0.0,181000000.0,2567000000.0,2323000000.0,63000000.0,2386000000.0,0.26266,766000000.0,1620000000.0,0.06407,0.06407,25284000000.0,25284000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312509085781/d10q.htm,2009,Q2-2009,15373875000.0
47,2008-12-27,11880000000,7373000000,4507000000,0.379377,315000000,1091000000,0.0,158000000.0,1406000000.0,8779000000,0.0,168000000.0,3427000000.0,3101000000.0,158000000.0,3259000000.0,0.274327,1004000000.0,2255000000.0,0.08934,0.08934,25240000000.0,25240000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312509009937/d10q.htm,2008,Q1-2008,13516250000.0
48,2008-09-27,11520000000,7077000000,4443000000,0.385677,298000000,999000000,0.0,140000000.0,1297000000.0,8374000000,0.0,157000000.0,3443000000.0,3146000000.0,140000000.0,3286000000.0,0.28524299999999997,1039000000.0,2247000000.0,0.08868999999999999,0.08868999999999999,25336000000.0,25336000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312508224958/d10k.htm,2008,Q4-2008,12413375000.0
49,2008-06-28,7561000000,4818000000,2743000000,0.36278299999999997,292000000,916000000,0.0,118000000.0,1208000000.0,6026000000,0.0,117000000.0,1770000000.0,1535000000.0,118000000.0,1653000000.0,0.21862199999999998,522000000.0,1131000000.0,0.044719999999999996,0.044719999999999996,25288000000.0,25288000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312508156421/d10q.htm,2008,Q3-2008,11396000000.0
50,2008-03-29,7980000000,5373000000,2607000000,0.326692,273000000,886000000,0.0,162000000.0,1159000000.0,6532000000,0.0,116000000.0,1726000000.0,1448000000.0,162000000.0,1610000000.0,0.201754,509000000.0,1101000000.0,0.04373,0.04373,25180000000.0,25180000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312508097759/d10q.htm,2008,Q2-2008,10706125000.0
51,2007-12-29,10430000000,7026000000,3404000000,0.326366,246000000,960000000,0.0,200000000.0,1206000000.0,8232000000,0.0,106000000.0,2504000000.0,2198000000.0,200000000.0,2398000000.0,0.22991399999999998,758000000.0,1640000000.0,0.06508,0.06508,25200000000.0,25200000000.0,https://www.sec.gov/Archives/edgar/data/320193/000104746907009340/a2181030z10-k.htm,2007,Q1-2007,10049500000.0
52,2007-09-29,6606000000,4561000000,2045000000,0.309567,207000000,823000000,0.0,170000000.0,1030000000.0,5591000000,0.0,103000000.0,1288000000.0,1015000000.0,170000000.0,1185000000.0,0.17938199999999999,315000000.0,870000000.0,0.03469,0.03469,25080000000.0,25080000000.0,https://www.sec.gov/Archives/edgar/data/320193/000104746907009340/a2181030z10-k.htm,2007,Q4-2007,9349375000.0
53,2007-06-30,5410000000,3415000000,1995000000,0.3687615526802218,208000000,746000000,0.0,-13000000.0,0.0,4369000000,0.0,0.0,1122000000.0,1041000000.0,-13000000.0,1196000000.0,0.2210720887245841,378000000.0,818000000.0,0.033571,0.032857,24270568000.0,24938788000.0,https://www.sec.gov/Archives/edgar/data/320193/000110465907059873/a07-19295_110q.htm,2007,Q3-2007,8808875000.0
54,2007-03-31,5264000000,3415000000,1849000000,0.3512537993920973,183000000,680000000,0.0,-10000000.0,0.0,4278000000,0.0,0.0,1055000000.0,986000000.0,-10000000.0,1134000000.0,0.2154255319148936,364000000.0,770000000.0,0.031786,0.031070999999999998,24164084000.0,24826284000.0,https://www.sec.gov/Archives/edgar/data/320193/000110465907037745/a07-13266_110q.htm,2007,Q2-2007,8331375000.0
55,2006-12-30,7123000000,4900000000,2223000000,0.31208800000000003,184000000,714000000,0.0,126000000.0,898000000.0,5798000000,0.0,74000000.0,1525000000.0,1325000000.0,126000000.0,1451000000.0,0.203706,440000000.0,1011000000.0,0.04088,0.04088,24732000000.0,24732000000.0,https://www.sec.gov/Archives/edgar/data/320193/000110465906084288/a06-25759_210k.htm,2006,Q1-2006,7736750000.0
56,2006-09-30,4837000000,3425000000,1412000000,0.29191647715526153,179000000,625000000,0.0,-7000000.0,0.0,4229000000,0.0,0.0,1039000000.0,608000000.0,-7000000.0,721000000.0,0.14905933429811866,179000000.0,542000000.0,0.0,0.0,0.0,0.0,https://www.sec.gov/Archives/edgar/data/320193/000110465906084288/a06-25759_210k.htm,2006,Q4-2006,6901375000.0
57,2006-07-01,4370000000,3045000000,1325000000,0.303204,175000000,584000000,0.0,95000000.0,759000000.0,3804000000,99000000.0,57000000.0,817000000.0,566000000.0,-4000000.0,661000000.0,0.151259,189000000.0,472000000.0,0.01923,0.01923,24540000000.0,24540000000.0,https://www.sec.gov/Archives/edgar/data/320193/000110465906084286/a06-23473_110q.htm,2006,Q3-2006,6502500000.0
58,2006-04-01,4359000000,3062000000,1297000000,0.297545,176000000,592000000,0.0,76000000.0,768000000.0,3830000000,87000000.0,50000000.0,742000000.0,529000000.0,-11000000.0,605000000.0,0.138793,195000000.0,410000000.0,0.016669999999999997,0.016669999999999997,24600000000.0,24600000000.0,https://www.sec.gov/Archives/edgar/data/320193/000110465906031303/a06-10806_110q.htm,2006,Q2-2006,6049875000.0
59,2005-12-31,5749000000,4185000000,1564000000,0.2720473125761002,182000000,632000000,0.0,-7000000.0,0.0,4999000000,0.0,0.0,802000000.0,750000000.0,-7000000.0,831000000.0,0.14454687771786398,266000000.0,565000000.0,0.024286000000000002,0.023214,23261868000.0,24477796000.0,https://www.sec.gov/Archives/edgar/data/320193/000110465905058421/a05-20674_110k.htm,2005,Q1-2005,5464750000.0
60,2005-09-24,3678000000,2643000000,1035000000,0.281403,147000000,470000000,0.0,60000000.0,617000000.0,3260000000,65000000.0,51000000.0,594000000.0,418000000.0,-5000000.0,478000000.0,0.129962,48000000.0,430000000.0,0.01772,0.01772,24260000000.0,24260000000.0,https://www.sec.gov/Archives/edgar/data/320193/000110465905058421/a05-20674_110k.htm,2005,Q4-2005,5098750000.0
61,2005-06-25,3520000000,2476000000,1044000000,0.296591,145000000,472000000,0.0,46000000.0,617000000.0,3093000000,51000000.0,46000000.0,570000000.0,427000000.0,-5000000.0,473000000.0,0.134375,153000000.0,320000000.0,0.013280000000000002,0.013280000000000002,24100000000.0,24100000000.0,https://www.sec.gov/Archives/edgar/data/320193/000110465905035792/a05-12535_110q.htm,2005,Q3-2005,4862500000.0
62,2005-03-26,3243000000,2276000000,967000000,0.298181,120000000,451000000,0.0,33000000.0,571000000.0,2847000000,39000000.0,41000000.0,509000000.0,396000000.0,-6000000.0,429000000.0,0.13228499999999999,144000000.0,285000000.0,0.01193,0.01193,23896000000.0,23896000000.0,https://www.sec.gov/Archives/edgar/data/320193/000110465905020421/a05-7551_110q.htm,2005,Q2-2005,4609875000.0
63,2004-12-25,3490000000,2494000000,996000000,0.285387,123000000,470000000,0.0,26000000.0,593000000.0,3087000000,28000000.0,41000000.0,498000000.0,403000000.0,-2000000.0,429000000.0,0.122923,134000000.0,295000000.0,0.01257,0.01257,23468000000.0,23468000000.0,https://www.sec.gov/Archives/edgar/data/320193/000104746904035975/a2147337z10-k.htm,2004,Q1-2004,4155750000.0
64,2004-09-25,2350000000,1716000000,634000000,0.269787,122000000,379000000,0.0,5000000.0,506000000.0,2222000000,17000000.0,40000000.0,204000000.0,128000000.0,2000000.0,147000000.0,0.062553,41000000.0,106000000.0,0.0047,0.0047,22564000000.0,22564000000.0,https://www.sec.gov/Archives/edgar/data/320193/000104746904035975/a2147337z10-k.htm,2004,Q4-2004,3844875000.0
65,2004-06-26,2014000000,1455000000,559000000,0.277557,125000000,354000000,0.0,8000000.0,487000000.0,1942000000,15000000.0,41000000.0,141000000.0,72000000.0,-2000000.0,85000000.0,0.042205,24000000.0,61000000.0,0.00277,0.00277,21988000000.0,21988000000.0,https://www.sec.gov/Archives/edgar/data/320193/000110465904022384/a04-8198_110q.htm,2004,Q3-2004,3550375000.0
