,date,Net Revenue (Sales),Cost of Revenue (Sales),Gross Profit Margin,Gross Profit Margin Ratio,Research and Development (R&D),"Selling, General, and Administrative (SG&A)",Selling & Marketing Expenses (S&M),"Other Income/Expenses, Net",Total Operating Expenses,Cost & Expenses,"Interest Expense/Income, Net",Depreciation & Amortization (D&A),EBITDA,Operating Income,Total Other Income/Expenses,Pretax Income (Earnings),Pretax Income (Earnings) Margin,Provision For Income Taxes,Net Income (Earnings),Earnings Per Share (EPS),Earnings Per Share (EPS) Diluted,Shares Outstanding,Shares Outstanding (Diluted),finalLink,Year,QQ-YYYY
93,2017-06-30,25176250000.0,3468500000.0,25176250000.0,0.25,0.0,16201250000.0,0.0,1564000000.0,19669750000.0,9678750000.0,3468500000.0,1544750000.0,13988250000.0,8975000000.0,0.0,8975000000.0,0.0900887336385,2864750000.0,6110250000.0,1.7083,1.7083,894200000.0,894200000.0,https://www.sec.gov/Archives/edgar/data/19617/000001961718000057/corp10k2017.htm,2017,FY-2017
92,2017-03-31,25176250000.0,3468500000.0,25176250000.0,0.25,0.0,16201250000.0,0.0,1564000000.0,19669750000.0,9678750000.0,3468500000.0,1544750000.0,13988250000.0,8975000000.0,0.0,8975000000.0,0.0900887336385,2864750000.0,6110250000.0,1.7083,1.7083,894200000.0,894200000.0,https://www.sec.gov/Archives/edgar/data/19617/000001961718000057/corp10k2017.htm,2017,FY-2017
91,2016-12-31,24142250000.0,2454500000.0,24142250000.0,0.25,0.0,15508250000.0,0.0,1439000000.0,17962750000.0,9206250000.0,2454500000.0,1369500000.0,12458000000.0,8634000000.0,0.0,8634000000.0,0.09024961324575,2450750000.0,6183250000.0,1.6756775000000002,1.6756775000000002,922500000.0,922500000.0,https://www.sec.gov/Archives/edgar/data/19617/000001961717000314/corp10k2016.htm,2016,FY-2016
90,2016-09-30,24142250000.0,2454500000.0,24142250000.0,0.25,0.0,15508250000.0,0.0,1439000000.0,17962750000.0,9206250000.0,2454500000.0,1369500000.0,12458000000.0,8634000000.0,0.0,8634000000.0,0.09024961324575,2450750000.0,6183250000.0,1.6756775000000002,1.6756775000000002,922500000.0,922500000.0,https://www.sec.gov/Archives/edgar/data/19617/000001961717000314/corp10k2016.htm,2016,FY-2016
89,2016-06-30,24142250000.0,2454500000.0,24142250000.0,0.25,0.0,15508250000.0,0.0,1439000000.0,17962750000.0,9206250000.0,2454500000.0,1369500000.0,12458000000.0,8634000000.0,0.0,8634000000.0,0.09024961324575,2450750000.0,6183250000.0,1.6756775000000002,1.6756775000000002,922500000.0,922500000.0,https://www.sec.gov/Archives/edgar/data/19617/000001961717000314/corp10k2016.htm,2016,FY-2016
88,2016-03-31,24142250000.0,2454500000.0,24142250000.0,0.25,0.0,15508250000.0,0.0,1439000000.0,17962750000.0,9206250000.0,2454500000.0,1369500000.0,12458000000.0,8634000000.0,0.0,8634000000.0,0.09024961324575,2450750000.0,6183250000.0,1.6756775000000002,1.6756775000000002,922500000.0,922500000.0,https://www.sec.gov/Archives/edgar/data/19617/000001961717000314/corp10k2016.htm,2016,FY-2016
87,2015-12-31,23385750000.0,1865750000.0,23385750000.0,0.25,0.0,15710250000.0,0.0,2398250000.0,17576000000.0,8985750000.0,1865750000.0,1235000000.0,10776250000.0,7675500000.0,0.0,7675500000.0,0.082053173407,1565000000.0,6110500000.0,1.619275,1.619275,943400000.0,943400000.0,https://www.sec.gov/Archives/edgar/data/19617/000001961716000902/corp10k2015.htm,2015,FY-2015
86,2015-09-30,23385750000.0,1865750000.0,23385750000.0,0.25,0.0,15710250000.0,0.0,2398250000.0,17576000000.0,8985750000.0,1865750000.0,1235000000.0,10776250000.0,7675500000.0,0.0,7675500000.0,0.082053173407,1565000000.0,6110500000.0,1.619275,1.619275,943400000.0,943400000.0,https://www.sec.gov/Archives/edgar/data/19617/000001961716000902/corp10k2015.htm,2015,FY-2015
85,2015-06-30,23385750000.0,1865750000.0,23385750000.0,0.25,0.0,15710250000.0,0.0,2398250000.0,17576000000.0,8985750000.0,1865750000.0,1235000000.0,10776250000.0,7675500000.0,0.0,7675500000.0,0.082053173407,1565000000.0,6110500000.0,1.619275,1.619275,943400000.0,943400000.0,https://www.sec.gov/Archives/edgar/data/19617/000001961716000902/corp10k2015.htm,2015,FY-2015
84,2015-03-31,23385750000.0,1865750000.0,23385750000.0,0.25,0.0,15710250000.0,0.0,2398250000.0,17576000000.0,8985750000.0,1865750000.0,1235000000.0,10776250000.0,7675500000.0,0.0,7675500000.0,0.082053173407,1565000000.0,6110500000.0,1.619275,1.619275,943400000.0,943400000.0,https://www.sec.gov/Archives/edgar/data/19617/000001961716000902/corp10k2015.htm,2015,FY-2015
83,2014-12-31,23551250000.0,1974250000.0,23551250000.0,0.25,0.0,16103250000.0,0.0,2786500000.0,18077500000.0,8991000000.0,1974250000.0,1189750000.0,10612000000.0,7448000000.0,0.0,7448000000.0,0.079061620933,2007500000.0,5440500000.0,1.4324649999999999,1.4324649999999999,949500000.0,949500000.0,https://www.sec.gov/Archives/edgar/data/19617/000001961715000272/corp10k2014.htm,2014,FY-2014
82,2014-09-30,23551250000.0,1974250000.0,23551250000.0,0.25,0.0,16103250000.0,0.0,2786500000.0,18077500000.0,8991000000.0,1974250000.0,1189750000.0,10612000000.0,7448000000.0,0.0,7448000000.0,0.079061620933,2007500000.0,5440500000.0,1.4324649999999999,1.4324649999999999,949500000.0,949500000.0,https://www.sec.gov/Archives/edgar/data/19617/000001961715000272/corp10k2014.htm,2014,FY-2014
81,2014-06-30,23551250000.0,1974250000.0,23551250000.0,0.25,0.0,16103250000.0,0.0,2786500000.0,18077500000.0,8991000000.0,1974250000.0,1189750000.0,10612000000.0,7448000000.0,0.0,7448000000.0,0.079061620933,2007500000.0,5440500000.0,1.4324649999999999,1.4324649999999999,949500000.0,949500000.0,https://www.sec.gov/Archives/edgar/data/19617/000001961715000272/corp10k2014.htm,2014,FY-2014
80,2014-03-31,23551250000.0,1974250000.0,23551250000.0,0.25,0.0,16103250000.0,0.0,2786500000.0,18077500000.0,8991000000.0,1974250000.0,1189750000.0,10612000000.0,7448000000.0,0.0,7448000000.0,0.079061620933,2007500000.0,5440500000.0,1.4324649999999999,1.4324649999999999,949500000.0,949500000.0,https://www.sec.gov/Archives/edgar/data/19617/000001961715000272/corp10k2014.htm,2014,FY-2014
79,2013-12-31,24151500000.0,2419250000.0,24151500000.0,0.25,0.0,17673000000.0,0.0,4940250000.0,20092250000.0,9218000000.0,2419250000.0,1326500000.0,10224250000.0,6478500000.0,0.0,6478500000.0,0.06706105210850001,1997750000.0,4480750000.0,1.1745075,1.1745075,953750000.0,953750000.0,https://www.sec.gov/Archives/edgar/data/19617/000001961714000289/corp10k2013.htm,2013,FY-2013
78,2013-09-30,24151500000.0,2419250000.0,24151500000.0,0.25,0.0,17673000000.0,0.0,4940250000.0,20092250000.0,9218000000.0,2419250000.0,1326500000.0,10224250000.0,6478500000.0,0.0,6478500000.0,0.06706105210850001,1997750000.0,4480750000.0,1.1745075,1.1745075,953750000.0,953750000.0,https://www.sec.gov/Archives/edgar/data/19617/000001961714000289/corp10k2013.htm,2013,FY-2013
77,2013-06-30,24151500000.0,2419250000.0,24151500000.0,0.25,0.0,17673000000.0,0.0,4940250000.0,20092250000.0,9218000000.0,2419250000.0,1326500000.0,10224250000.0,6478500000.0,0.0,6478500000.0,0.06706105210850001,1997750000.0,4480750000.0,1.1745075,1.1745075,953750000.0,953750000.0,https://www.sec.gov/Archives/edgar/data/19617/000001961714000289/corp10k2013.htm,2013,FY-2013
76,2013-03-31,24151500000.0,2419250000.0,24151500000.0,0.25,0.0,17673000000.0,0.0,4940250000.0,20092250000.0,9218000000.0,2419250000.0,1326500000.0,10224250000.0,6478500000.0,0.0,6478500000.0,0.06706105210850001,1997750000.0,4480750000.0,1.1745075,1.1745075,953750000.0,953750000.0,https://www.sec.gov/Archives/edgar/data/19617/000001961714000289/corp10k2013.htm,2013,FY-2013
75,2012-12-31,24257750000.0,2788250000.0,24257750000.0,0.25,0.0,17028500000.0,0.0,3508000000.0,19816750000.0,9191500000.0,2788250000.0,1286750000.0,11304250000.0,7229250000.0,0.0,7229250000.0,0.011323700672975001,1908250000.0,5321000000.0,1.3922025,1.3922025,955500000.0,955500000.0,https://www.sec.gov/Archives/edgar/data/19617/000001961713000221/corp10k2012.htm,2012,FY-2012
74,2012-09-30,24257750000.0,2788250000.0,24257750000.0,0.25,0.0,17028500000.0,0.0,3508000000.0,19816750000.0,9191500000.0,2788250000.0,1286750000.0,11304250000.0,7229250000.0,0.0,7229250000.0,0.011323700672975001,1908250000.0,5321000000.0,1.3922025,1.3922025,955500000.0,955500000.0,https://www.sec.gov/Archives/edgar/data/19617/000001961713000221/corp10k2012.htm,2012,FY-2012
73,2012-06-30,24257750000.0,2788250000.0,24257750000.0,0.25,0.0,17028500000.0,0.0,3508000000.0,19816750000.0,9191500000.0,2788250000.0,1286750000.0,11304250000.0,7229250000.0,0.0,7229250000.0,0.011323700672975001,1908250000.0,5321000000.0,1.3922025,1.3922025,955500000.0,955500000.0,https://www.sec.gov/Archives/edgar/data/19617/000001961713000221/corp10k2012.htm,2012,FY-2012
72,2012-03-31,24257750000.0,2788250000.0,24257750000.0,0.25,0.0,17028500000.0,0.0,3508000000.0,19816750000.0,9191500000.0,2788250000.0,1286750000.0,11304250000.0,7229250000.0,0.0,7229250000.0,0.011323700672975001,1908250000.0,5321000000.0,1.3922025,1.3922025,955500000.0,955500000.0,https://www.sec.gov/Archives/edgar/data/19617/000001961713000221/corp10k2012.htm,2012,FY-2012
71,2011-12-31,24308500000.0,3401000000.0,24308500000.0,0.25,0.0,17621250000.0,0.0,3389750000.0,21022250000.0,7471250000.0,3401000000.0,1276250000.0,11364500000.0,6687250000.0,0.0,6687250000.0,0.06877481128,1943250000.0,4744000000.0,1.210205,1.210205,980000000.0,980000000.0,https://www.sec.gov/Archives/edgar/data/19617/000001961712000163/corp10k2011.htm,2011,FY-2011
70,2011-09-30,24308500000.0,3401000000.0,24308500000.0,0.25,0.0,17621250000.0,0.0,3389750000.0,21022250000.0,7471250000.0,3401000000.0,1276250000.0,11364500000.0,6687250000.0,0.0,6687250000.0,0.06877481128,1943250000.0,4744000000.0,1.210205,1.210205,980000000.0,980000000.0,https://www.sec.gov/Archives/edgar/data/19617/000001961712000163/corp10k2011.htm,2011,FY-2011
69,2011-06-30,24308500000.0,3401000000.0,24308500000.0,0.25,0.0,17621250000.0,0.0,3389750000.0,21022250000.0,7471250000.0,3401000000.0,1276250000.0,11364500000.0,6687250000.0,0.0,6687250000.0,0.06877481128,1943250000.0,4744000000.0,1.210205,1.210205,980000000.0,980000000.0,https://www.sec.gov/Archives/edgar/data/19617/000001961712000163/corp10k2011.htm,2011,FY-2011
68,2011-03-31,24308500000.0,3401000000.0,24308500000.0,0.25,0.0,17621250000.0,0.0,3389750000.0,21022250000.0,7471250000.0,3401000000.0,1276250000.0,11364500000.0,6687250000.0,0.0,6687250000.0,0.06877481128,1943250000.0,4744000000.0,1.210205,1.210205,980000000.0,980000000.0,https://www.sec.gov/Archives/edgar/data/19617/000001961712000163/corp10k2011.htm,2011,FY-2011
67,2010-12-31,25673500000.0,3195250000.0,25673500000.0,0.25,0.0,19458750000.0,0.0,3639500000.0,22654000000.0,611500000.0,3195250000.0,1241250000.0,10651250000.0,6214750000.0,0.0,6214750000.0,0.060517167507351935,1872250000.0,4342500000.0,1.0919025,1.0919025,994250000.0,994250000.0,https://www.sec.gov/Archives/edgar/data/19617/000095012311019773/y86143e10vk.htm,2010,FY-2010
66,2010-09-30,25673500000.0,3195250000.0,25673500000.0,0.25,0.0,19458750000.0,0.0,3639500000.0,22654000000.0,611500000.0,3195250000.0,1241250000.0,10651250000.0,6214750000.0,0.0,6214750000.0,0.060517167507351935,1872250000.0,4342500000.0,1.0919025,1.0919025,994250000.0,994250000.0,https://www.sec.gov/Archives/edgar/data/19617/000095012311019773/y86143e10vk.htm,2010,FY-2010
65,2010-06-30,25673500000.0,3195250000.0,25673500000.0,0.25,0.0,19458750000.0,0.0,3639500000.0,22654000000.0,611500000.0,3195250000.0,1241250000.0,10651250000.0,6214750000.0,0.0,6214750000.0,0.060517167507351935,1872250000.0,4342500000.0,1.0919025,1.0919025,994250000.0,994250000.0,https://www.sec.gov/Archives/edgar/data/19617/000095012311019773/y86143e10vk.htm,2010,FY-2010
64,2010-03-31,25673500000.0,3195250000.0,25673500000.0,0.25,0.0,19458750000.0,0.0,3639500000.0,22654000000.0,611500000.0,3195250000.0,1241250000.0,10651250000.0,6214750000.0,0.0,6214750000.0,0.060517167507351935,1872250000.0,4342500000.0,1.0919025,1.0919025,994250000.0,994250000.0,https://www.sec.gov/Archives/edgar/data/19617/000095012311019773/y86143e10vk.htm,2010,FY-2010
63,2009-12-31,25108500000.0,3799500000.0,25108500000.0,0.25,0.0,21091750000.0,0.0,1898500000.0,24891250000.0,444250000.0,3799500000.0,958250000.0,8793500000.0,4016750000.0,0.0,4016750000.0,0.039993926359599336,1103750000.0,2932000000.0,0.75567,0.75567,970000000.0,970000000.0,https://www.sec.gov/Archives/edgar/data/19617/000095012310016029/e82150e10vk.htm,2009,FY-2009
62,2009-09-30,25108500000.0,3799500000.0,25108500000.0,0.25,0.0,21091750000.0,0.0,1898500000.0,24891250000.0,444250000.0,3799500000.0,958250000.0,8793500000.0,4016750000.0,0.0,4016750000.0,0.039993926359599336,1103750000.0,2932000000.0,0.75567,0.75567,970000000.0,970000000.0,https://www.sec.gov/Archives/edgar/data/19617/000095012310016029/e82150e10vk.htm,2009,FY-2009
61,2009-06-30,25108500000.0,3799500000.0,25108500000.0,0.25,0.0,21091750000.0,0.0,1898500000.0,24891250000.0,444250000.0,3799500000.0,958250000.0,8793500000.0,4016750000.0,0.0,4016750000.0,0.039993926359599336,1103750000.0,2932000000.0,0.75567,0.75567,970000000.0,970000000.0,https://www.sec.gov/Archives/edgar/data/19617/000095012310016029/e82150e10vk.htm,2009,FY-2009
60,2009-03-31,25108500000.0,3799500000.0,25108500000.0,0.25,0.0,21091750000.0,0.0,1898500000.0,24891250000.0,444250000.0,3799500000.0,958250000.0,8793500000.0,4016750000.0,0.0,4016750000.0,0.039993926359599336,1103750000.0,2932000000.0,0.75567,0.75567,970000000.0,970000000.0,https://www.sec.gov/Archives/edgar/data/19617/000095012310016029/e82150e10vk.htm,2009,FY-2009
59,2008-12-31,16813000000.0,8559750000.0,16813000000.0,0.25,0.0,16119750000.0,0.0,935000000.0,24679500000.0,478250000.0,8559750000.0,1101500000.0,10831000000.0,693250000.0,0.0,693250000.0,0.010308243621007554,-231500000.0,1401250000.0,0.3978575,0.3978575,880500000.0,880500000.0,https://www.sec.gov/Archives/edgar/data/19617/000095012309003840/y74757e10vk.htm,2008,FY-2008
58,2008-09-30,16813000000.0,8559750000.0,16813000000.0,0.25,0.0,16119750000.0,0.0,935000000.0,24679500000.0,478250000.0,8559750000.0,1101500000.0,10831000000.0,693250000.0,0.0,693250000.0,0.010308243621007554,-231500000.0,1401250000.0,0.3978575,0.3978575,880500000.0,880500000.0,https://www.sec.gov/Archives/edgar/data/19617/000095012309003840/y74757e10vk.htm,2008,FY-2008
57,2008-06-30,16813000000.0,8559750000.0,16813000000.0,0.25,0.0,16119750000.0,0.0,935000000.0,24679500000.0,478250000.0,8559750000.0,1101500000.0,10831000000.0,693250000.0,0.0,693250000.0,0.010308243621007554,-231500000.0,1401250000.0,0.3978575,0.3978575,880500000.0,880500000.0,https://www.sec.gov/Archives/edgar/data/19617/000095012309003840/y74757e10vk.htm,2008,FY-2008
56,2008-03-31,16813000000.0,8559750000.0,16813000000.0,0.25,0.0,16119750000.0,0.0,935000000.0,24679500000.0,478250000.0,8559750000.0,1101500000.0,10831000000.0,693250000.0,0.0,693250000.0,0.010308243621007554,-231500000.0,1401250000.0,0.3978575,0.3978575,880500000.0,880500000.0,https://www.sec.gov/Archives/edgar/data/19617/000095012309003840/y74757e10vk.htm,2008,FY-2008
55,2007-12-31,17843000000.0,11245250000.0,17843000000.0,0.25,0.0,12141750000.0,0.0,953500000.0,23387000000.0,517500000.0,11245250000.0,955250000.0,17901750000.0,5701250000.0,0.0,5701250000.0,0.07988076556632852,1860000000.0,3841250000.0,1.0949975,1.0949975,877000000.0,877000000.0,https://www.sec.gov/Archives/edgar/data/19617/000119312508043536/d10k.htm,2007,FY-2007
54,2007-09-30,17843000000.0,11245250000.0,17843000000.0,0.25,0.0,12141750000.0,0.0,953500000.0,23387000000.0,517500000.0,11245250000.0,955250000.0,17901750000.0,5701250000.0,0.0,5701250000.0,0.07988076556632852,1860000000.0,3841250000.0,1.0949975,1.0949975,877000000.0,877000000.0,https://www.sec.gov/Archives/edgar/data/19617/000119312508043536/d10k.htm,2007,FY-2007
53,2007-06-30,17843000000.0,11245250000.0,17843000000.0,0.25,0.0,12141750000.0,0.0,953500000.0,23387000000.0,517500000.0,11245250000.0,955250000.0,17901750000.0,5701250000.0,0.0,5701250000.0,0.07988076556632852,1860000000.0,3841250000.0,1.0949975,1.0949975,877000000.0,877000000.0,https://www.sec.gov/Archives/edgar/data/19617/000119312508043536/d10k.htm,2007,FY-2007
52,2007-03-31,17843000000.0,11245250000.0,17843000000.0,0.25,0.0,12141750000.0,0.0,953500000.0,23387000000.0,517500000.0,11245250000.0,955250000.0,17901750000.0,5701250000.0,0.0,5701250000.0,0.07988076556632852,1860000000.0,3841250000.0,1.0949975,1.0949975,877000000.0,877000000.0,https://www.sec.gov/Archives/edgar/data/19617/000119312508043536/d10k.htm,2007,FY-2007
51,2006-12-31,15359250000.0,9466250000.0,15359250000.0,0.25,0.0,10387750000.0,0.0,818000000.0,19854000000.0,552250000.0,9466250000.0,894250000.0,15530750000.0,4971500000.0,0.0,4971500000.0,0.08092029233198235,1559250000.0,3611000000.0,1.0103525,1.0103525,893500000.0,893500000.0,https://www.sec.gov/Archives/edgar/data/19617/000095012307003015/y30834e10vk.htm,2006,FY-2006
50,2006-09-30,15359250000.0,9466250000.0,15359250000.0,0.25,0.0,10387750000.0,0.0,818000000.0,19854000000.0,552250000.0,9466250000.0,894250000.0,15530750000.0,4971500000.0,0.0,4971500000.0,0.08092029233198235,1559250000.0,3611000000.0,1.0103525,1.0103525,893500000.0,893500000.0,https://www.sec.gov/Archives/edgar/data/19617/000095012307003015/y30834e10vk.htm,2006,FY-2006
49,2006-06-30,15359250000.0,9466250000.0,15359250000.0,0.25,0.0,10387750000.0,0.0,818000000.0,19854000000.0,552250000.0,9466250000.0,894250000.0,15530750000.0,4971500000.0,0.0,4971500000.0,0.08092029233198235,1559250000.0,3611000000.0,1.0103525,1.0103525,893500000.0,893500000.0,https://www.sec.gov/Archives/edgar/data/19617/000095012307003015/y30834e10vk.htm,2006,FY-2006
48,2006-03-31,15359250000.0,9466250000.0,15359250000.0,0.25,0.0,10387750000.0,0.0,818000000.0,19854000000.0,552250000.0,9466250000.0,894250000.0,15530750000.0,4971500000.0,0.0,4971500000.0,0.08092029233198235,1559250000.0,3611000000.0,1.0103525,1.0103525,893500000.0,893500000.0,https://www.sec.gov/Archives/edgar/data/19617/000095012307003015/y30834e10vk.htm,2006,FY-2006
47,2005-12-31,13633250000.0,6342250000.0,13633250000.0,0.25,0.0,10579500000.0,0.0,926250000.0,16921750000.0,479250000.0,6342250000.0,1079500000.0,10475500000.0,3053750000.0,0.0,3053750000.0,0.055998202923000756,933000000.0,2120750000.0,0.5962175000000001,0.5962175000000001,889250000.0,889250000.0,https://www.sec.gov/Archives/edgar/data/19617/000095012306002875/y17599e10vk.htm,2005,FY-2005
46,2005-09-30,13633250000.0,6342250000.0,13633250000.0,0.25,0.0,10579500000.0,0.0,926250000.0,16921750000.0,479250000.0,6342250000.0,1079500000.0,10475500000.0,3053750000.0,0.0,3053750000.0,0.055998202923000756,933000000.0,2120750000.0,0.5962175000000001,0.5962175000000001,889250000.0,889250000.0,https://www.sec.gov/Archives/edgar/data/19617/000095012306002875/y17599e10vk.htm,2005,FY-2005
45,2005-06-30,13633250000.0,6342250000.0,13633250000.0,0.25,0.0,10579500000.0,0.0,926250000.0,16921750000.0,479250000.0,6342250000.0,1079500000.0,10475500000.0,3053750000.0,0.0,3053750000.0,0.055998202923000756,933000000.0,2120750000.0,0.5962175000000001,0.5962175000000001,889250000.0,889250000.0,https://www.sec.gov/Archives/edgar/data/19617/000095012306002875/y17599e10vk.htm,2005,FY-2005
44,2005-03-31,13633250000.0,6342250000.0,13633250000.0,0.25,0.0,10579500000.0,0.0,926250000.0,16921750000.0,479250000.0,6342250000.0,1079500000.0,10475500000.0,3053750000.0,0.0,3053750000.0,0.055998202923000756,933000000.0,2120750000.0,0.5962175000000001,0.5962175000000001,889250000.0,889250000.0,https://www.sec.gov/Archives/edgar/data/19617/000095012306002875/y17599e10vk.htm,2005,FY-2005
43,2004-12-31,10774250000.0,3458500000.0,10774250000.0,0.25,0.0,9225750000.0,0.0,714750000.0,12684250000.0,7323500000.0,3458500000.0,958750000.0,5965750000.0,1548500000.0,0.0,1548500000.0,0.035930575214052025,432000000.0,1116500000.0,0.3916175,0.3916175,712750000.0,712750000.0,https://www.sec.gov/Archives/edgar/data/19617/000095012305002539/y05475e10vk.htm,2004,FY-2004
42,2004-09-30,10774250000.0,3458500000.0,10774250000.0,0.25,0.0,9225750000.0,0.0,714750000.0,12684250000.0,7323500000.0,3458500000.0,958750000.0,5965750000.0,1548500000.0,0.0,1548500000.0,0.035930575214052025,432000000.0,1116500000.0,0.3916175,0.3916175,712750000.0,712750000.0,https://www.sec.gov/Archives/edgar/data/19617/000095012305002539/y05475e10vk.htm,2004,FY-2004
41,2004-06-30,10774250000.0,3458500000.0,10774250000.0,0.25,0.0,9225750000.0,0.0,714750000.0,12684250000.0,7323500000.0,3458500000.0,958750000.0,5965750000.0,1548500000.0,0.0,1548500000.0,0.035930575214052025,432000000.0,1116500000.0,0.3916175,0.3916175,712750000.0,712750000.0,https://www.sec.gov/Archives/edgar/data/19617/000095012305002539/y05475e10vk.htm,2004,FY-2004
40,2004-03-31,10774250000.0,3458500000.0,10774250000.0,0.25,0.0,9225750000.0,0.0,714750000.0,12684250000.0,7323500000.0,3458500000.0,958750000.0,5965750000.0,1548500000.0,0.0,1548500000.0,0.035930575214052025,432000000.0,1116500000.0,0.3916175,0.3916175,712750000.0,712750000.0,https://www.sec.gov/Archives/edgar/data/19617/000095012305002539/y05475e10vk.htm,2004,FY-2004
39,2003-12-31,8314000000.0,2776750000.0,8314000000.0,0.25,0.0,5807000000.0,0.0,0.0,8583750000.0,0.0,2776750000.0,775250000.0,6059000000.0,2507000000.0,0.0,2507000000.0,0.07538489295164782,827250000.0,1679750000.0,0.8173975,0.8173975,513750000.0,513750000.0,https://www.sec.gov/Archives/edgar/data/19617/000095012304002022/y94051e10vk.htm,2003,FY-2003
