,symbol,historical
10,0001.HK,"{'date': '2021-01-28', 'open': 55.200001, 'high': 55.650002, 'low': 54.599998, 'close': 55.150002, 'adjClose': 55.150002, 'volume': 6894970.0, 'unadjustedVolume': 6894970.0, 'change': -0.05, 'changePercent': -0.091, 'vwap': 55.13333, 'label': 'January 28, 21', 'changeOverTime': -0.00091}"
11,0001.HK,"{'date': '2021-01-27', 'open': 55.900002, 'high': 56.549999, 'low': 55.799999, 'close': 56.099998, 'adjClose': 56.099998, 'volume': 6786243.0, 'unadjustedVolume': 6786243.0, 'change': 0.2, 'changePercent': 0.358, 'vwap': 56.15, 'label': 'January 27, 21', 'changeOverTime': 0.00358}"
12,0001.HK,"{'date': '2021-01-26', 'open': 54.900002, 'high': 55.900002, 'low': 54.700001, 'close': 55.25, 'adjClose': 55.25, 'volume': 8115961.0, 'unadjustedVolume': 8115961.0, 'change': 0.35, 'changePercent': 0.638, 'vwap': 55.28333, 'label': 'January 26, 21', 'changeOverTime': 0.00638}"
13,0001.HK,"{'date': '2021-01-25', 'open': 56.5, 'high': 56.700001, 'low': 54.200001, 'close': 54.900002, 'adjClose': 54.900002, 'volume': 13630330.0, 'unadjustedVolume': 13630330.0, 'change': -1.6, 'changePercent': -2.832, 'vwap': 55.26667, 'label': 'January 25, 21', 'changeOverTime': -0.02832}"
14,0001.HK,"{'date': '2021-01-22', 'open': 58.099998, 'high': 58.099998, 'low': 56.150002, 'close': 56.5, 'adjClose': 56.5, 'volume': 8147197.0, 'unadjustedVolume': 8147197.0, 'change': -1.6, 'changePercent': -2.754, 'vwap': 56.91667, 'label': 'January 22, 21', 'changeOverTime': -0.02754}"
15,0001.HK,"{'date': '2021-01-21', 'open': 58.049999, 'high': 58.099998, 'low': 56.900002, 'close': 57.549999, 'adjClose': 57.549999, 'volume': 6050077.0, 'unadjustedVolume': 6050077.0, 'change': -0.5, 'changePercent': -0.861, 'vwap': 57.51667, 'label': 'January 21, 21', 'changeOverTime': -0.00861}"
16,0001.HK,"{'date': '2021-01-20', 'open': 58.099998, 'high': 58.200001, 'low': 57.150002, 'close': 57.75, 'adjClose': 57.75, 'volume': 7284164.0, 'unadjustedVolume': 7284164.0, 'change': -0.35, 'changePercent': -0.602, 'vwap': 57.7, 'label': 'January 20, 21', 'changeOverTime': -0.00602}"
17,0001.HK,"{'date': '2021-01-19', 'open': 57.150002, 'high': 58.349998, 'low': 56.650002, 'close': 58.200001, 'adjClose': 58.200001, 'volume': 8357330.0, 'unadjustedVolume': 8357330.0, 'change': 1.05, 'changePercent': 1.837, 'vwap': 57.73333, 'label': 'January 19, 21', 'changeOverTime': 0.01837}"
18,0001.HK,"{'date': '2021-01-18', 'open': 57.049999, 'high': 57.400002, 'low': 56.549999, 'close': 57.150002, 'adjClose': 57.150002, 'volume': 4504241.0, 'unadjustedVolume': 4504241.0, 'change': 0.1, 'changePercent': 0.175, 'vwap': 57.03333, 'label': 'January 18, 21', 'changeOverTime': 0.00175}"
19,0001.HK,"{'date': '2021-01-15', 'open': 57.950001, 'high': 57.950001, 'low': 56.700001, 'close': 56.849998, 'adjClose': 56.849998, 'volume': 6439995.0, 'unadjustedVolume': 6439995.0, 'change': -1.1, 'changePercent': -1.898, 'vwap': 57.16667, 'label': 'January 15, 21', 'changeOverTime': -0.01898}"
20,0001.HK,"{'date': '2021-01-14', 'open': 57.950001, 'high': 58.099998, 'low': 57.200001, 'close': 57.400002, 'adjClose': 57.400002, 'volume': 5021038.0, 'unadjustedVolume': 5021038.0, 'change': -0.55, 'changePercent': -0.949, 'vwap': 57.56667, 'label': 'January 14, 21', 'changeOverTime': -0.00949}"
21,0001.HK,"{'date': '2021-01-13', 'open': 57.5, 'high': 58.099998, 'low': 57.150002, 'close': 58.099998, 'adjClose': 58.099998, 'volume': 6227280.0, 'unadjustedVolume': 6227280.0, 'change': 0.6, 'changePercent': 1.043, 'vwap': 57.78333, 'label': 'January 13, 21', 'changeOverTime': 0.01043}"
22,0001.HK,"{'date': '2021-01-12', 'open': 57.0, 'high': 58.099998, 'low': 56.799999, 'close': 57.549999, 'adjClose': 57.549999, 'volume': 8233665.0, 'unadjustedVolume': 8233665.0, 'change': 0.55, 'changePercent': 0.965, 'vwap': 57.48333, 'label': 'January 12, 21', 'changeOverTime': 0.00965}"
23,0001.HK,"{'date': '2021-01-11', 'open': 57.400002, 'high': 57.400002, 'low': 56.349998, 'close': 56.650002, 'adjClose': 56.650002, 'volume': 5321964.0, 'unadjustedVolume': 5321964.0, 'change': -0.75, 'changePercent': -1.307, 'vwap': 56.8, 'label': 'January 11, 21', 'changeOverTime': -0.01307}"
24,0001.HK,"{'date': '2021-01-08', 'open': 57.25, 'high': 57.25, 'low': 55.900002, 'close': 57.200001, 'adjClose': 57.200001, 'volume': 6376366.0, 'unadjustedVolume': 6376366.0, 'change': -0.05, 'changePercent': -0.087, 'vwap': 56.78333, 'label': 'January 08, 21', 'changeOverTime': -0.00087}"
25,0001.HK,"{'date': '2021-01-07', 'open': 56.75, 'high': 57.349998, 'low': 56.349998, 'close': 57.0, 'adjClose': 57.0, 'volume': 9225540.0, 'unadjustedVolume': 9225540.0, 'change': 0.25, 'changePercent': 0.441, 'vwap': 56.9, 'label': 'January 07, 21', 'changeOverTime': 0.00441}"
26,0001.HK,"{'date': '2021-01-06', 'open': 56.0, 'high': 56.099998, 'low': 55.400002, 'close': 56.099998, 'adjClose': 56.099998, 'volume': 5445803.0, 'unadjustedVolume': 5445803.0, 'change': 0.1, 'changePercent': 0.179, 'vwap': 55.86667, 'label': 'January 06, 21', 'changeOverTime': 0.00179}"
27,0001.HK,"{'date': '2021-01-05', 'open': 55.099998, 'high': 56.0, 'low': 54.700001, 'close': 56.0, 'adjClose': 56.0, 'volume': 6587213.0, 'unadjustedVolume': 6587213.0, 'change': 0.9, 'changePercent': 1.633, 'vwap': 55.56667, 'label': 'January 05, 21', 'changeOverTime': 0.01633}"
28,0001.HK,"{'date': '2021-01-04', 'open': 54.450001, 'high': 55.650002, 'low': 54.450001, 'close': 55.650002, 'adjClose': 55.650002, 'volume': 5341440.0, 'unadjustedVolume': 5341440.0, 'change': 1.2, 'changePercent': 2.204, 'vwap': 55.25, 'label': 'January 04, 21', 'changeOverTime': 0.02204}"
29,0001.HK,"{'date': '2020-12-31', 'open': 55.0, 'high': 55.299999, 'low': 54.099998, 'close': 54.099998, 'adjClose': 54.099998, 'volume': 3889493.0, 'unadjustedVolume': 3889493.0, 'change': -0.9, 'changePercent': -1.636, 'vwap': 54.5, 'label': 'December 31, 20', 'changeOverTime': -0.01636}"
30,0001.HK,"{'date': '2020-12-30', 'open': 54.599998, 'high': 54.950001, 'low': 54.200001, 'close': 54.950001, 'adjClose': 54.950001, 'volume': 3998051.0, 'unadjustedVolume': 3998051.0, 'change': 0.35, 'changePercent': 0.641, 'vwap': 54.7, 'label': 'December 30, 20', 'changeOverTime': 0.00641}"
31,0001.HK,"{'date': '2020-12-29', 'open': 54.150002, 'high': 54.650002, 'low': 53.900002, 'close': 54.400002, 'adjClose': 54.400002, 'volume': 3881217.0, 'unadjustedVolume': 3881217.0, 'change': 0.25, 'changePercent': 0.462, 'vwap': 54.31667, 'label': 'December 29, 20', 'changeOverTime': 0.00462}"
32,0001.HK,"{'date': '2020-12-28', 'open': 54.049999, 'high': 54.900002, 'low': 53.900002, 'close': 54.5, 'adjClose': 54.5, 'volume': 4250335.0, 'unadjustedVolume': 4250335.0, 'change': 0.45, 'changePercent': 0.833, 'vwap': 54.43333, 'label': 'December 28, 20', 'changeOverTime': 0.00833}"
33,0001.HK,"{'date': '2020-12-24', 'open': 52.799999, 'high': 54.25, 'low': 52.799999, 'close': 53.650002, 'adjClose': 53.650002, 'volume': 2817181.0, 'unadjustedVolume': 2817181.0, 'change': 0.85, 'changePercent': 1.61, 'vwap': 53.56667, 'label': 'December 24, 20', 'changeOverTime': 0.0161}"
34,0001.HK,"{'date': '2020-12-23', 'open': 52.75, 'high': 53.150002, 'low': 52.5, 'close': 53.150002, 'adjClose': 53.150002, 'volume': 4241973.0, 'unadjustedVolume': 4241973.0, 'change': 0.4, 'changePercent': 0.758, 'vwap': 52.93333, 'label': 'December 23, 20', 'changeOverTime': 0.00758}"
35,0001.HK,"{'date': '2020-12-22', 'open': 53.400002, 'high': 53.5, 'low': 52.099998, 'close': 52.549999, 'adjClose': 52.549999, 'volume': 8525578.0, 'unadjustedVolume': 8525578.0, 'change': -0.85, 'changePercent': -1.592, 'vwap': 52.71667, 'label': 'December 22, 20', 'changeOverTime': -0.01592}"
36,0001.HK,"{'date': '2020-12-21', 'open': 54.150002, 'high': 54.25, 'low': 53.299999, 'close': 54.0, 'adjClose': 54.0, 'volume': 6585877.0, 'unadjustedVolume': 6585877.0, 'change': -0.15, 'changePercent': -0.277, 'vwap': 53.85, 'label': 'December 21, 20', 'changeOverTime': -0.00277}"
37,0001.HK,"{'date': '2020-12-18', 'open': 54.0, 'high': 54.900002, 'low': 53.549999, 'close': 54.450001, 'adjClose': 54.450001, 'volume': 9361071.0, 'unadjustedVolume': 9361071.0, 'change': 0.45, 'changePercent': 0.833, 'vwap': 54.3, 'label': 'December 18, 20', 'changeOverTime': 0.00833}"
38,0001.HK,"{'date': '2020-12-17', 'open': 53.75, 'high': 54.349998, 'low': 53.400002, 'close': 54.099998, 'adjClose': 54.099998, 'volume': 7440081.0, 'unadjustedVolume': 7440081.0, 'change': 0.35, 'changePercent': 0.651, 'vwap': 53.95, 'label': 'December 17, 20', 'changeOverTime': 0.00651}"
39,0001.HK,"{'date': '2020-12-16', 'open': 54.5, 'high': 54.75, 'low': 53.700001, 'close': 54.200001, 'adjClose': 54.200001, 'volume': 8384327.0, 'unadjustedVolume': 8384327.0, 'change': -0.3, 'changePercent': -0.55, 'vwap': 54.21667, 'label': 'December 16, 20', 'changeOverTime': -0.0055}"
40,0001.HK,"{'date': '2020-12-15', 'open': 54.75, 'high': 55.299999, 'low': 53.450001, 'close': 53.75, 'adjClose': 53.75, 'volume': 9523140.0, 'unadjustedVolume': 9523140.0, 'change': -1.0, 'changePercent': -1.826, 'vwap': 54.16667, 'label': 'December 15, 20', 'changeOverTime': -0.01826}"
41,0001.HK,"{'date': '2020-12-14', 'open': 56.0, 'high': 56.0, 'low': 55.049999, 'close': 55.049999, 'adjClose': 55.049999, 'volume': 4064629.0, 'unadjustedVolume': 4064629.0, 'change': -0.95, 'changePercent': -1.696, 'vwap': 55.36667, 'label': 'December 14, 20', 'changeOverTime': -0.01696}"
42,0001.HK,"{'date': '2020-12-11', 'open': 55.950001, 'high': 56.950001, 'low': 55.599998, 'close': 55.700001, 'adjClose': 55.700001, 'volume': 5105821.0, 'unadjustedVolume': 5105821.0, 'change': -0.25, 'changePercent': -0.447, 'vwap': 56.08333, 'label': 'December 11, 20', 'changeOverTime': -0.00447}"
43,0001.HK,"{'date': '2020-12-10', 'open': 55.75, 'high': 56.299999, 'low': 55.450001, 'close': 55.849998, 'adjClose': 55.849998, 'volume': 6864142.0, 'unadjustedVolume': 6864142.0, 'change': 0.1, 'changePercent': 0.179, 'vwap': 55.86667, 'label': 'December 10, 20', 'changeOverTime': 0.00179}"
44,0001.HK,"{'date': '2020-12-09', 'open': 55.450001, 'high': 56.450001, 'low': 55.450001, 'close': 55.799999, 'adjClose': 55.799999, 'volume': 8305680.0, 'unadjustedVolume': 8305680.0, 'change': 0.35, 'changePercent': 0.631, 'vwap': 55.9, 'label': 'December 09, 20', 'changeOverTime': 0.00631}"
45,0001.HK,"{'date': '2020-12-08', 'open': 55.299999, 'high': 56.400002, 'low': 55.299999, 'close': 55.950001, 'adjClose': 55.950001, 'volume': 7438449.0, 'unadjustedVolume': 7438449.0, 'change': 0.65, 'changePercent': 1.175, 'vwap': 55.88333, 'label': 'December 08, 20', 'changeOverTime': 0.01175}"
46,0001.HK,"{'date': '2020-12-07', 'open': 56.650002, 'high': 56.700001, 'low': 55.650002, 'close': 56.0, 'adjClose': 56.0, 'volume': 7460131.0, 'unadjustedVolume': 7460131.0, 'change': -0.65, 'changePercent': -1.147, 'vwap': 56.11667, 'label': 'December 07, 20', 'changeOverTime': -0.01147}"
47,0001.HK,"{'date': '2020-12-04', 'open': 56.900002, 'high': 57.200001, 'low': 56.549999, 'close': 56.75, 'adjClose': 56.75, 'volume': 8590021.0, 'unadjustedVolume': 8590021.0, 'change': -0.15, 'changePercent': -0.264, 'vwap': 56.83333, 'label': 'December 04, 20', 'changeOverTime': -0.00264}"
48,0001.HK,"{'date': '2020-12-03', 'open': 56.799999, 'high': 56.900002, 'low': 56.099998, 'close': 56.450001, 'adjClose': 56.450001, 'volume': 5831124.0, 'unadjustedVolume': 5831124.0, 'change': -0.35, 'changePercent': -0.616, 'vwap': 56.48333, 'label': 'December 03, 20', 'changeOverTime': -0.00616}"
49,0001.HK,"{'date': '2020-12-02', 'open': 56.0, 'high': 57.5, 'low': 55.900002, 'close': 57.450001, 'adjClose': 57.450001, 'volume': 6665881.0, 'unadjustedVolume': 6665881.0, 'change': 1.45, 'changePercent': 2.589, 'vwap': 56.95, 'label': 'December 02, 20', 'changeOverTime': 0.02589}"
50,0001.HK,"{'date': '2020-12-01', 'open': 55.0, 'high': 56.099998, 'low': 55.0, 'close': 56.0, 'adjClose': 56.0, 'volume': 7718619.0, 'unadjustedVolume': 7718619.0, 'change': 1.0, 'changePercent': 1.818, 'vwap': 55.7, 'label': 'December 01, 20', 'changeOverTime': 0.01818}"
51,0001.HK,"{'date': '2020-11-30', 'open': 57.5, 'high': 57.5, 'low': 56.0, 'close': 56.25, 'adjClose': 56.25, 'volume': 14730860.0, 'unadjustedVolume': 14730860.0, 'change': -1.25, 'changePercent': -2.174, 'vwap': 56.58333, 'label': 'November 30, 20', 'changeOverTime': -0.02174}"
52,0001.HK,"{'date': '2020-11-27', 'open': 57.5, 'high': 57.900002, 'low': 56.900002, 'close': 57.5, 'adjClose': 57.5, 'volume': 4796807.0, 'unadjustedVolume': 4796807.0, 'change': 0.0, 'changePercent': 0.0, 'vwap': 57.43333, 'label': 'November 27, 20', 'changeOverTime': 0.0}"
53,0001.HK,"{'date': '2020-11-26', 'open': 58.200001, 'high': 58.200001, 'low': 57.099998, 'close': 57.799999, 'adjClose': 57.799999, 'volume': 4052222.0, 'unadjustedVolume': 4052222.0, 'change': -0.4, 'changePercent': -0.687, 'vwap': 57.7, 'label': 'November 26, 20', 'changeOverTime': -0.00687}"
54,0001.HK,"{'date': '2020-11-25', 'open': 57.150002, 'high': 58.5, 'low': 57.049999, 'close': 57.900002, 'adjClose': 57.900002, 'volume': 10099740.0, 'unadjustedVolume': 10099740.0, 'change': 0.75, 'changePercent': 1.312, 'vwap': 57.81667, 'label': 'November 25, 20', 'changeOverTime': 0.01312}"
55,0001.HK,"{'date': '2020-11-24', 'open': 56.75, 'high': 57.349998, 'low': 56.5, 'close': 56.849998, 'adjClose': 56.849998, 'volume': 5648126.0, 'unadjustedVolume': 5648126.0, 'change': 0.1, 'changePercent': 0.176, 'vwap': 56.9, 'label': 'November 24, 20', 'changeOverTime': 0.00176}"
56,0001.HK,"{'date': '2020-11-23', 'open': 57.0, 'high': 57.0, 'low': 55.799999, 'close': 56.599998, 'adjClose': 56.599998, 'volume': 7884584.0, 'unadjustedVolume': 7884584.0, 'change': -0.4, 'changePercent': -0.702, 'vwap': 56.46667, 'label': 'November 23, 20', 'changeOverTime': -0.00702}"
57,0001.HK,"{'date': '2020-11-20', 'open': 57.5, 'high': 57.5, 'low': 56.299999, 'close': 56.849998, 'adjClose': 56.849998, 'volume': 7166073.0, 'unadjustedVolume': 7166073.0, 'change': -0.65, 'changePercent': -1.13, 'vwap': 56.88333, 'label': 'November 20, 20', 'changeOverTime': -0.0113}"
58,0001.HK,"{'date': '2020-11-19', 'open': 57.849998, 'high': 58.799999, 'low': 57.450001, 'close': 58.049999, 'adjClose': 58.049999, 'volume': 9892112.0, 'unadjustedVolume': 9892112.0, 'change': 0.2, 'changePercent': 0.346, 'vwap': 58.1, 'label': 'November 19, 20', 'changeOverTime': 0.00346}"
59,0001.HK,"{'date': '2020-11-18', 'open': 58.0, 'high': 58.099998, 'low': 57.25, 'close': 57.75, 'adjClose': 57.75, 'volume': 10609940.0, 'unadjustedVolume': 10609940.0, 'change': -0.25, 'changePercent': -0.431, 'vwap': 57.7, 'label': 'November 18, 20', 'changeOverTime': -0.00431}"
60,0001.HK,"{'date': '2020-11-17', 'open': 56.0, 'high': 58.0, 'low': 55.5, 'close': 58.0, 'adjClose': 58.0, 'volume': 22762980.0, 'unadjustedVolume': 22762980.0, 'change': 2.0, 'changePercent': 3.571, 'vwap': 57.16667, 'label': 'November 17, 20', 'changeOverTime': 0.03571}"
61,0001.HK,"{'date': '2020-11-16', 'open': 54.5, 'high': 55.450001, 'low': 54.349998, 'close': 55.150002, 'adjClose': 55.150002, 'volume': 10758230.0, 'unadjustedVolume': 10758230.0, 'change': 0.65, 'changePercent': 1.193, 'vwap': 54.98333, 'label': 'November 16, 20', 'changeOverTime': 0.01193}"
62,0001.HK,"{'date': '2020-11-13', 'open': 54.599998, 'high': 55.450001, 'low': 53.75, 'close': 54.200001, 'adjClose': 54.200001, 'volume': 17366030.0, 'unadjustedVolume': 17366030.0, 'change': -0.4, 'changePercent': -0.733, 'vwap': 54.46667, 'label': 'November 13, 20', 'changeOverTime': -0.00733}"
63,0001.HK,"{'date': '2020-11-12', 'open': 54.5, 'high': 54.599998, 'low': 52.75, 'close': 53.5, 'adjClose': 53.5, 'volume': 14229240.0, 'unadjustedVolume': 14229240.0, 'change': -1.0, 'changePercent': -1.835, 'vwap': 53.61667, 'label': 'November 12, 20', 'changeOverTime': -0.01835}"
64,0001.HK,"{'date': '2020-11-11', 'open': 52.0, 'high': 54.5, 'low': 51.849998, 'close': 54.400002, 'adjClose': 54.400002, 'volume': 22254690.0, 'unadjustedVolume': 22254690.0, 'change': 2.4, 'changePercent': 4.615, 'vwap': 53.58333, 'label': 'November 11, 20', 'changeOverTime': 0.04615}"
65,0001.HK,"{'date': '2020-11-10', 'open': 51.75, 'high': 52.200001, 'low': 51.5, 'close': 51.799999, 'adjClose': 51.799999, 'volume': 17592960.0, 'unadjustedVolume': 17592960.0, 'change': 0.05, 'changePercent': 0.097, 'vwap': 51.83333, 'label': 'November 10, 20', 'changeOverTime': 0.00097}"
66,0001.HK,"{'date': '2020-11-09', 'open': 51.700001, 'high': 51.799999, 'low': 50.099998, 'close': 50.400002, 'adjClose': 50.400002, 'volume': 12319210.0, 'unadjustedVolume': 12319210.0, 'change': -1.3, 'changePercent': -2.515, 'vwap': 50.76667, 'label': 'November 09, 20', 'changeOverTime': -0.02515}"
67,0001.HK,"{'date': '2020-11-06', 'open': 52.400002, 'high': 52.5, 'low': 51.099998, 'close': 51.5, 'adjClose': 51.5, 'volume': 10373670.0, 'unadjustedVolume': 10373670.0, 'change': -0.9, 'changePercent': -1.718, 'vwap': 51.7, 'label': 'November 06, 20', 'changeOverTime': -0.01718}"
68,0001.HK,"{'date': '2020-11-05', 'open': 51.599998, 'high': 52.900002, 'low': 51.450001, 'close': 52.799999, 'adjClose': 52.799999, 'volume': 27156680.0, 'unadjustedVolume': 27156680.0, 'change': 1.2, 'changePercent': 2.326, 'vwap': 52.38333, 'label': 'November 05, 20', 'changeOverTime': 0.02326}"
69,0001.HK,"{'date': '2020-11-04', 'open': 48.299999, 'high': 49.400002, 'low': 48.200001, 'close': 48.5, 'adjClose': 48.5, 'volume': 4846441.0, 'unadjustedVolume': 4846441.0, 'change': 0.2, 'changePercent': 0.414, 'vwap': 48.7, 'label': 'November 04, 20', 'changeOverTime': 0.00414}"
70,0001.HK,"{'date': '2020-11-03', 'open': 47.799999, 'high': 49.200001, 'low': 47.650002, 'close': 48.700001, 'adjClose': 48.700001, 'volume': 8777554.0, 'unadjustedVolume': 8777554.0, 'change': 0.9, 'changePercent': 1.883, 'vwap': 48.51667, 'label': 'November 03, 20', 'changeOverTime': 0.01883}"
71,0001.HK,"{'date': '2020-11-02', 'open': 47.150002, 'high': 47.599998, 'low': 46.599998, 'close': 47.299999, 'adjClose': 47.299999, 'volume': 7113002.0, 'unadjustedVolume': 7113002.0, 'change': 0.15, 'changePercent': 0.318, 'vwap': 47.16667, 'label': 'November 02, 20', 'changeOverTime': 0.00318}"
72,0001.HK,"{'date': '2020-10-30', 'open': 46.299999, 'high': 47.299999, 'low': 46.0, 'close': 46.700001, 'adjClose': 46.700001, 'volume': 8866764.0, 'unadjustedVolume': 8866764.0, 'change': 0.4, 'changePercent': 0.864, 'vwap': 46.66667, 'label': 'October 30, 20', 'changeOverTime': 0.00864}"
73,0001.HK,"{'date': '2020-10-29', 'open': 46.0, 'high': 46.5, 'low': 45.950001, 'close': 46.25, 'adjClose': 46.25, 'volume': 5534049.0, 'unadjustedVolume': 5534049.0, 'change': 0.25, 'changePercent': 0.543, 'vwap': 46.23333, 'label': 'October 29, 20', 'changeOverTime': 0.00543}"
74,0001.HK,"{'date': '2020-10-28', 'open': 46.75, 'high': 47.0, 'low': 45.900002, 'close': 46.299999, 'adjClose': 46.299999, 'volume': 9793752.0, 'unadjustedVolume': 9793752.0, 'change': -0.45, 'changePercent': -0.963, 'vwap': 46.4, 'label': 'October 28, 20', 'changeOverTime': -0.00963}"
75,0001.HK,"{'date': '2020-10-27', 'open': 46.799999, 'high': 47.150002, 'low': 46.5, 'close': 46.75, 'adjClose': 46.75, 'volume': 12095100.0, 'unadjustedVolume': 12095100.0, 'change': -0.05, 'changePercent': -0.107, 'vwap': 46.8, 'label': 'October 27, 20', 'changeOverTime': -0.00107}"
76,0001.HK,"{'date': '2020-10-23', 'open': 46.299999, 'high': 46.5, 'low': 45.799999, 'close': 46.400002, 'adjClose': 46.400002, 'volume': 3814539.0, 'unadjustedVolume': 3814539.0, 'change': 0.1, 'changePercent': 0.216, 'vwap': 46.23333, 'label': 'October 23, 20', 'changeOverTime': 0.00216}"
77,0001.HK,"{'date': '2020-10-22', 'open': 46.099998, 'high': 46.349998, 'low': 45.900002, 'close': 46.099998, 'adjClose': 46.099998, 'volume': 4902349.0, 'unadjustedVolume': 4902349.0, 'change': 0.0, 'changePercent': 0.0, 'vwap': 46.11667, 'label': 'October 22, 20', 'changeOverTime': 0.0}"
78,0001.HK,"{'date': '2020-10-21', 'open': 46.25, 'high': 46.5, 'low': 45.950001, 'close': 46.150002, 'adjClose': 46.150002, 'volume': 4829584.0, 'unadjustedVolume': 4829584.0, 'change': -0.1, 'changePercent': -0.216, 'vwap': 46.2, 'label': 'October 21, 20', 'changeOverTime': -0.00216}"
79,0001.HK,"{'date': '2020-10-20', 'open': 46.099998, 'high': 46.349998, 'low': 45.849998, 'close': 46.049999, 'adjClose': 46.049999, 'volume': 4193083.0, 'unadjustedVolume': 4193083.0, 'change': -0.05, 'changePercent': -0.108, 'vwap': 46.08333, 'label': 'October 20, 20', 'changeOverTime': -0.00108}"
80,0001.HK,"{'date': '2020-10-19', 'open': 46.400002, 'high': 47.200001, 'low': 46.049999, 'close': 46.349998, 'adjClose': 46.349998, 'volume': 3802996.0, 'unadjustedVolume': 3802996.0, 'change': -0.05, 'changePercent': -0.108, 'vwap': 46.53333, 'label': 'October 19, 20', 'changeOverTime': -0.00108}"
81,0001.HK,"{'date': '2020-10-16', 'open': 46.5, 'high': 46.799999, 'low': 46.0, 'close': 46.049999, 'adjClose': 46.049999, 'volume': 5208505.0, 'unadjustedVolume': 5208505.0, 'change': -0.45, 'changePercent': -0.968, 'vwap': 46.28333, 'label': 'October 16, 20', 'changeOverTime': -0.00968}"
82,0001.HK,"{'date': '2020-10-15', 'open': 46.549999, 'high': 46.900002, 'low': 46.099998, 'close': 46.400002, 'adjClose': 46.400002, 'volume': 5567503.0, 'unadjustedVolume': 5567503.0, 'change': -0.15, 'changePercent': -0.322, 'vwap': 46.46667, 'label': 'October 15, 20', 'changeOverTime': -0.00322}"
83,0001.HK,"{'date': '2020-10-14', 'open': 46.849998, 'high': 47.549999, 'low': 46.799999, 'close': 46.900002, 'adjClose': 46.900002, 'volume': 6466392.0, 'unadjustedVolume': 6466392.0, 'change': 0.05, 'changePercent': 0.107, 'vwap': 47.08333, 'label': 'October 14, 20', 'changeOverTime': 0.00107}"
