,sectors_list,symbols_list
301,Basic Materials,NP
302,Basic Materials,NTIC
303,Basic Materials,NTR.TO
304,Basic Materials,NTR
305,Basic Materials,NUE
306,Basic Materials,NVG.LS
307,Basic Materials,NYR.BR
308,Basic Materials,OCI.AS
309,Basic Materials,OCIP
310,Basic Materials,ODC
311,Basic Materials,OEC
312,Basic Materials,OGC.TO
313,Basic Materials,OGD.TO
314,Basic Materials,OLN
315,Basic Materials,OMI.TO
316,Basic Materials,OMN
317,Basic Materials,OR.TO
318,Basic Materials,ORA.TO
319,Basic Materials,ORAP.PA
320,Basic Materials,ORL.TO
321,Basic Materials,ORV.TO
322,Basic Materials,OR
323,Basic Materials,OSB.TO
324,Basic Materials,OSB
325,Basic Materials,OSK.TO
326,Basic Materials,OSN
327,Basic Materials,PAAS
328,Basic Materials,PCA.PA
329,Basic Materials,PG.TO
330,Basic Materials,PGEM
331,Basic Materials,PGLC
332,Basic Materials,PKX
333,Basic Materials,PLG
334,Basic Materials,PLL
335,Basic Materials,PLM
336,Basic Materials,POL
337,Basic Materials,POM.TO
338,Basic Materials,POPE
339,Basic Materials,PPG
340,Basic Materials,PQG
341,Basic Materials,PRU.TO
342,Basic Materials,PTM.TO
343,Basic Materials,PVG.TO
344,Basic Materials,PVG
345,Basic Materials,PX
346,Basic Materials,PZG
347,Basic Materials,RAM.LS
348,Basic Materials,RBT.PA
349,Basic Materials,REC.BR
350,Basic Materials,RETO
351,Basic Materials,RFP.TO
352,Basic Materials,RFP
353,Basic Materials,RGLD
354,Basic Materials,RIO
355,Basic Materials,RKDA
356,Basic Materials,RPM
357,Basic Materials,RS
358,Basic Materials,RTG.TO
359,Basic Materials,RX.PA
360,Basic Materials,RYAM
361,Basic Materials,S.TO
362,Basic Materials,SAM.TO
363,Basic Materials,SAND
364,Basic Materials,SAU.TO
365,Basic Materials,SA
366,Basic Materials,SBB.TO
367,Basic Materials,SBI.TO
368,Basic Materials,SBR.TO
369,Basic Materials,SBSW
370,Basic Materials,SCCO
371,Basic Materials,SCHD.BR
372,Basic Materials,SCHN
373,Basic Materials,SCL
374,Basic Materials,SCY.TO
375,Basic Materials,SEA.TO
376,Basic Materials,SEED
377,Basic Materials,SEM.LS
378,Basic Materials,SES
379,Basic Materials,SHLM
380,Basic Materials,SHW
381,Basic Materials,SID
382,Basic Materials,SILV
383,Basic Materials,SJ.TO
384,Basic Materials,SLR.TO
385,Basic Materials,SMC.TO
386,Basic Materials,SMG
387,Basic Materials,SMT.TO
388,Basic Materials,SMTS
389,Basic Materials,SNES
390,Basic Materials,SNMX
391,Basic Materials,SOLB.BR
392,Basic Materials,SOLV.BR
393,Basic Materials,SONI.LS
394,Basic Materials,SQM
395,Basic Materials,SSL.TO
396,Basic Materials,SSRM
397,Basic Materials,STAL.PA
398,Basic Materials,STLD
399,Basic Materials,SUM
400,Basic Materials,SUZ
401,Basic Materials,SVM.TO
402,Basic Materials,SVM
403,Basic Materials,SWM
404,Basic Materials,SXCP
405,Basic Materials,SXC
406,Basic Materials,SXT
407,Basic Materials,SYNL
408,Basic Materials,TANH
409,Basic Materials,TECK
410,Basic Materials,TESB.BR
411,Basic Materials,TGB
412,Basic Materials,TGZ.TO
413,Basic Materials,TG
414,Basic Materials,THM
415,Basic Materials,TITC.BR
416,Basic Materials,TKO.TO
417,Basic Materials,TLO.TO
418,Basic Materials,TML.TO
419,Basic Materials,TMQ.TO
420,Basic Materials,TMQ
421,Basic Materials,TMR.TO
422,Basic Materials,TMST
423,Basic Materials,TNH
424,Basic Materials,TNX.TO
425,Basic Materials,TREC
426,Basic Materials,TROX
427,Basic Materials,TRQ.TO
428,Basic Materials,TRQ
429,Basic Materials,TRX
430,Basic Materials,TSE
431,Basic Materials,TSL.TO
432,Basic Materials,TV.TO
433,Basic Materials,TXG.TO
434,Basic Materials,TX
435,Basic Materials,UAMY
436,Basic Materials,UAN
437,Basic Materials,UEX.TO
438,Basic Materials,UFPI
439,Basic Materials,UFS.TO
440,Basic Materials,UFS
441,Basic Materials,UNVR
442,Basic Materials,USA.TO
443,Basic Materials,USAP
444,Basic Materials,USAS
445,Basic Materials,USAU
446,Basic Materials,USCR
447,Basic Materials,USG
448,Basic Materials,USLM
449,Basic Materials,VALE
450,Basic Materials,VCT.PA
451,Basic Materials,VEDL
452,Basic Materials,VGZ.TO
453,Basic Materials,VGZ
454,Basic Materials,VHI
455,Basic Materials,VIO.BR
456,Basic Materials,VK.PA
457,Basic Materials,VMC
458,Basic Materials,VNP.TO
459,Basic Materials,VNTR
460,Basic Materials,VRS
461,Basic Materials,VSM
462,Basic Materials,WDFC
463,Basic Materials,WDO.TO
464,Basic Materials,WEF.TO
465,Basic Materials,WFT.TO
466,Basic Materials,WLKP
467,Basic Materials,WLK
468,Basic Materials,WM.TO
469,Basic Materials,WMLP
470,Basic Materials,WOR
471,Basic Materials,WPM
472,Basic Materials,WRN.TO
473,Basic Materials,WRN
474,Basic Materials,WWR
475,Basic Materials,XPL
476,Basic Materials,XTG.TO
477,Basic Materials,X
478,Basic Materials,YECO
479,Basic Materials,YRI.TO
480,Basic Materials,YTEN
481,Basic Materials,ZEUS
482,Basic Materials,ZKIN
483,Communication Services,ADUX.PA
484,Communication Services,AESE
485,Communication Services,AHC
486,Communication Services,ALACT.PA
487,Communication Services,ALADM.PA
488,Communication Services,ALALO.PA
489,Communication Services,ALANT.PA
490,Communication Services,ALATF.PA
491,Communication Services,ALBDM.PA
492,Communication Services,ALBLD.PA
493,Communication Services,ALBUD.PA
494,Communication Services,ALDNE.PA
495,Communication Services,ALEMK.BR
496,Communication Services,ALENT.PA
497,Communication Services,ALFIL.PA
498,Communication Services,ALFOC.PA
499,Communication Services,ALINV.PA
500,Communication Services,ALKER.PA
501,Communication Services,ALLLN.PA
502,Communication Services,ALMAK.PA
503,Communication Services,ALMIL.PA
504,Communication Services,ALMNG.PA
505,Communication Services,ALNXT.PA
506,Communication Services,ALOSM.PA
507,Communication Services,ALP.PA
508,Communication Services,ALPBS.BR
509,Communication Services,ALPLA.PA
510,Communication Services,ALPRI.PA
511,Communication Services,ALREW.PA
512,Communication Services,ALSEI.PA
513,Communication Services,ALSK
514,Communication Services,ALTBG.PA
515,Communication Services,ALWIT.PA
516,Communication Services,AMCX
517,Communication Services,AMC
518,Communication Services,AMOV
519,Communication Services,AND.AS
520,Communication Services,ANGI
521,Communication Services,ANTE
522,Communication Services,ATA.PA
523,Communication Services,ATC.AS
524,Communication Services,ATEX
525,Communication Services,ATHM
526,Communication Services,ATNI
527,Communication Services,ATUS
528,Communication Services,ATVI
529,Communication Services,AUTO
530,Communication Services,AVID
531,Communication Services,BATRA
532,Communication Services,BBGI
533,Communication Services,BCE.TO
534,Communication Services,BCE
535,Communication Services,BCOM
536,Communication Services,BHAT
537,Communication Services,BIDU
538,Communication Services,BILI
539,Communication Services,BITA
540,Communication Services,BOL.PA
541,Communication Services,BOMN
542,Communication Services,BRILL.AS
543,Communication Services,CABO
544,Communication Services,CALL
545,Communication Services,CANG
546,Communication Services,CARG
547,Communication Services,CBB
548,Communication Services,CCA.TO
549,Communication Services,CCOI
550,Communication Services,CCO
551,Communication Services,CDLX
552,Communication Services,CEL
553,Communication Services,CFN.LS
554,Communication Services,CGO.TO
555,Communication Services,CGX.TO
556,Communication Services,CHA
557,Communication Services,CHTR
558,Communication Services,CHT
559,Communication Services,CHU
560,Communication Services,CIDM
561,Communication Services,CJR-B.TO
562,Communication Services,CMCSA
563,Communication Services,CMLS
564,Communication Services,CMPR
565,Communication Services,CNET
566,Communication Services,CNK
567,Communication Services,CNSL
568,Communication Services,CSSEP
569,Communication Services,CSSE
570,Communication Services,CTL
571,Communication Services,DAO
572,Communication Services,DEC.PA
573,Communication Services,DISCA
574,Communication Services,DISCB
575,Communication Services,DISCK
576,Communication Services,DISH
577,Communication Services,DJCO
578,Communication Services,DLB
579,Communication Services,DLPN
580,Communication Services,DLX
581,Communication Services,DOYU
582,Communication Services,EA
583,Communication Services,ECP.PA
584,Communication Services,EDUC
585,Communication Services,EEX
586,Communication Services,EMMS
587,Communication Services,ENT
588,Communication Services,EROS
589,Communication Services,ETM
590,Communication Services,EVC
591,Communication Services,EVER
592,Communication Services,FB
593,Communication Services,FENG
594,Communication Services,FLNT
595,Communication Services,FOXA
596,Communication Services,FOX
597,Communication Services,FSNN
598,Communication Services,FTRPR
599,Communication Services,FTR
600,Communication Services,FVRR
601,Communication Services,GAIA
602,Communication Services,GAM.PA
603,Communication Services,GCI
604,Communication Services,GCT.TO
605,Communication Services,GIGM
606,Communication Services,GLIBA
607,Communication Services,GLIBP
608,Communication Services,GLOW
609,Communication Services,GLUU
610,Communication Services,GNUS
611,Communication Services,GOGO
612,Communication Services,GOOGL
613,Communication Services,GOOG
614,Communication Services,GREV.PA
615,Communication Services,GRUB
616,Communication Services,GRVY
617,Communication Services,GSAT
618,Communication Services,GTN-A
619,Communication Services,GTN
620,Communication Services,GTT
621,Communication Services,GVC.TO
622,Communication Services,HCHC
623,Communication Services,HCO.PA
624,Communication Services,HCOM
625,Communication Services,HHS
626,Communication Services,HMTV
627,Communication Services,HOP.PA
628,Communication Services,HUYA
629,Communication Services,IAC
630,Communication Services,IAM.PA
631,Communication Services,ICLK
632,Communication Services,IDCC
633,Communication Services,IDT
634,Communication Services,IHRT
635,Communication Services,ILD.PA
636,Communication Services,IMAX
637,Communication Services,IMTE
638,Communication Services,INUV
639,Communication Services,INWK
640,Communication Services,IPAS
641,Communication Services,IPG
642,Communication Services,IPR.LS
643,Communication Services,IPS.PA
644,Communication Services,IQ
645,Communication Services,IRDMB
646,Communication Services,IRDM
647,Communication Services,ISIG
648,Communication Services,IZEA
649,Communication Services,JFIN
650,Communication Services,JW-A
651,Communication Services,JW-B
652,Communication Services,KIN.BR
653,Communication Services,KLR
654,Communication Services,KPN.AS
655,Communication Services,KRKR
656,Communication Services,KT
657,Communication Services,LBRDA
658,Communication Services,LBRDK
659,Communication Services,LBTYA
660,Communication Services,LBTYB
661,Communication Services,LBTYK
662,Communication Services,LEAF
663,Communication Services,LEE
664,Communication Services,LGF-A
665,Communication Services,LGF-B
666,Communication Services,LILAK
667,Communication Services,LILA
668,Communication Services,LIVX
669,Communication Services,LIZI
670,Communication Services,LKCO
671,Communication Services,LN
672,Communication Services,LOCAL.PA
673,Communication Services,LOV
674,Communication Services,LSXMA
675,Communication Services,LSXMB
676,Communication Services,LSXMK
677,Communication Services,LTRPA
678,Communication Services,LTRPB
679,Communication Services,LYV
680,Communication Services,MAGIS.PA
681,Communication Services,MARK
682,Communication Services,MBT
683,Communication Services,MCHX
684,Communication Services,MCP.LS
685,Communication Services,MCS
686,Communication Services,MDCA
687,Communication Services,MDF.TO
688,Communication Services,MDIA
689,Communication Services,MDP
690,Communication Services,MDW.PA
691,Communication Services,MEET
692,Communication Services,MLEDS.PA
693,Communication Services,MLHPE.PA
694,Communication Services,MLIML.PA
695,Communication Services,MLIMP.PA
696,Communication Services,MLNEO.PA
697,Communication Services,MLVST.PA
698,Communication Services,MLWEA.PA
699,Communication Services,MMT.PA
700,Communication Services,MOMO
701,Communication Services,MOXC
702,Communication Services,MSGE
703,Communication Services,MSGN
704,Communication Services,MSGS
705,Communication Services,MTCH
706,Communication Services,MTSL
707,Communication Services,NCMI
708,Communication Services,NCTY
709,Communication Services,NFLX
710,Communication Services,NIHD
711,Communication Services,NOS.LS
712,Communication Services,NRG.PA
713,Communication Services,NTES
714,Communication Services,NTN
715,Communication Services,NWSA
716,Communication Services,NWS
717,Communication Services,NXST
718,Communication Services,NYT
719,Communication Services,OBEL.BR
720,Communication Services,OMC
721,Communication Services,OOMA
722,Communication Services,ORA.PA
723,Communication Services,ORAN
724,Communication Services,ORBC
725,Communication Services,OTEL
726,Communication Services,PCOM
727,Communication Services,PERI
728,Communication Services,PHI
729,Communication Services,PHR.LS
730,Communication Services,PINS
731,Communication Services,PRC.PA
732,Communication Services,PROX.BR
733,Communication Services,PSO
734,Communication Services,PTNR
735,Communication Services,PTS.TO
736,Communication Services,PUB.PA
737,Communication Services,QNST
738,Communication Services,QTT
739,Communication Services,QUOT
740,Communication Services,RBBN
741,Communication Services,RCI
742,Communication Services,RDIB
743,Communication Services,RDI
744,Communication Services,RELX
745,Communication Services,REN.AS
746,Communication Services,RNWK
747,Communication Services,ROKU
748,Communication Services,ROU.BR
749,Communication Services,SALM
750,Communication Services,SBGI
751,Communication Services,SCHL
752,Communication Services,SCOR
753,Communication Services,SCPL
754,Communication Services,SESG.PA
755,Communication Services,SE
756,Communication Services,SGA
757,Communication Services,SHEN
758,Communication Services,SIFY
759,Communication Services,SINA
760,Communication Services,SIRI
761,Communication Services,SITO
762,Communication Services,SJR
763,Communication Services,SKM
764,Communication Services,SLGG
765,Communication Services,SNAP
766,Communication Services,SOGO
767,Communication Services,SOHU
768,Communication Services,SPI.PA
769,Communication Services,SPOK
770,Communication Services,SPOT
771,Communication Services,SRAX
772,Communication Services,SSP
773,Communication Services,SSTK
774,Communication Services,S
775,Communication Services,T.TO
776,Communication Services,TCH.PA
777,Communication Services,TC
778,Communication Services,TDA
779,Communication Services,TDS
780,Communication Services,TEF
781,Communication Services,TEO
782,Communication Services,TEUM
783,Communication Services,TFI.PA
784,Communication Services,TGNA
785,Communication Services,TGO.TO
786,Communication Services,TIGO
787,Communication Services,TKC
788,Communication Services,TKWY.AS
789,Communication Services,TLK
790,Communication Services,TME
791,Communication Services,TMUS
792,Communication Services,TNET.BR
793,Communication Services,TPCO
794,Communication Services,TRVG
795,Communication Services,TSQ
796,Communication Services,TSU
797,Communication Services,TTGT
798,Communication Services,TTWO
799,Communication Services,TU
800,Communication Services,TV
801,Communication Services,TWLO
802,Communication Services,TWTR
803,Communication Services,T
804,Communication Services,UBI.PA
805,Communication Services,UCL
806,Communication Services,UONEK
807,Communication Services,UONE
808,Communication Services,USM
809,Communication Services,UXIN
810,Communication Services,UZA
811,Communication Services,VEON.AS
812,Communication Services,VEON
813,Communication Services,VG
814,Communication Services,VIACA
815,Communication Services,VIAC
816,Communication Services,VIV.PA
817,Communication Services,VIV
818,Communication Services,VOD
819,Communication Services,VZA
820,Communication Services,VZ
821,Communication Services,WIFI
822,Communication Services,WIMI
823,Communication Services,WKL.AS
824,Communication Services,WMG
825,Communication Services,WOW
826,Communication Services,WPP
827,Communication Services,WSG
828,Communication Services,WUBA
829,Communication Services,WWE
830,Communication Services,XIL.PA
831,Communication Services,XNET
832,Communication Services,Y.TO
833,Communication Services,YELP
834,Communication Services,YNDX
835,Communication Services,YVR
836,Communication Services,YY
837,Communication Services,ZG
838,Communication Services,ZM
839,Communication Services,ZNGA
840,Communication Services,Z
841,Consumer Cyclical,AAP
842,Consumer Cyclical,ABEO.PA
843,Consumer Cyclical,ABG
844,Consumer Cyclical,AC.PA
845,Consumer Cyclical,ACCEL.AS
846,Consumer Cyclical,ACEL
847,Consumer Cyclical,ACQ.TO
848,Consumer Cyclical,ADNT
849,Consumer Cyclical,ADOM
850,Consumer Cyclical,AEO
851,Consumer Cyclical,AGS
852,Consumer Cyclical,AIN
853,Consumer Cyclical,AJAX.AS
854,Consumer Cyclical,AKW.PA
855,Consumer Cyclical,ALBI.PA
856,Consumer Cyclical,ALBOU.PA
857,Consumer Cyclical,ALCES.PA
858,Consumer Cyclical,ALCYB.PA
859,Consumer Cyclical,ALDAR.PA
860,Consumer Cyclical,ALDBL.PA
861,Consumer Cyclical,ALDEL.PA
862,Consumer Cyclical,ALDEV.PA
863,Consumer Cyclical,ALEMV.PA
864,Consumer Cyclical,ALFBA.PA
865,Consumer Cyclical,ALFPC.PA
866,Consumer Cyclical,ALGAU.PA
867,Consumer Cyclical,ALGEV.PA
868,Consumer Cyclical,ALGIL.PA
869,Consumer Cyclical,ALLDL.PA
870,Consumer Cyclical,ALLEX.PA
871,Consumer Cyclical,ALLHB.PA
872,Consumer Cyclical,ALMLB.PA
873,Consumer Cyclical,ALMND.PA
874,Consumer Cyclical,ALNLF.PA
875,Consumer Cyclical,ALPAR.PA
876,Consumer Cyclical,ALPDX.PA
877,Consumer Cyclical,ALPHS.PA
878,Consumer Cyclical,ALSN
879,Consumer Cyclical,ALTAN.PA
880,Consumer Cyclical,ALU10.PA
881,Consumer Cyclical,ALUNT.PA
882,Consumer Cyclical,ALUPG.PA
883,Consumer Cyclical,ALVDM.PA
884,Consumer Cyclical,ALVIA.PA
885,Consumer Cyclical,ALVU.PA
886,Consumer Cyclical,ALV
887,Consumer Cyclical,ALX.AS
888,Consumer Cyclical,AMCR
889,Consumer Cyclical,AMWD
890,Consumer Cyclical,AMZN
891,Consumer Cyclical,ANF
892,Consumer Cyclical,ANTA.PA
893,Consumer Cyclical,AN
894,Consumer Cyclical,APEX
895,Consumer Cyclical,APRN
896,Consumer Cyclical,APTV
897,Consumer Cyclical,ARCO
898,Consumer Cyclical,ARD
899,Consumer Cyclical,ARKR
900,Consumer Cyclical,ARMK
901,Consumer Cyclical,ASNA
902,Consumer Cyclical,ASP.PA
903,Consumer Cyclical,ATI.PA
904,Consumer Cyclical,ATR
905,Consumer Cyclical,ATV
906,Consumer Cyclical,ATZ.TO
907,Consumer Cyclical,AUGR.PA
908,Consumer Cyclical,AVHI
909,Consumer Cyclical,AXL
910,Consumer Cyclical,AYRO
911,Consumer Cyclical,AZO
912,Consumer Cyclical,BABA
913,Consumer Cyclical,BAIN.PA
914,Consumer Cyclical,BALTA.BR
915,Consumer Cyclical,BBBY
916,Consumer Cyclical,BBED.AS
917,Consumer Cyclical,BBQ
918,Consumer Cyclical,BBRG
919,Consumer Cyclical,BBW
920,Consumer Cyclical,BBX
921,Consumer Cyclical,BBY
922,Consumer Cyclical,BCI.TO
923,Consumer Cyclical,BC
924,Consumer Cyclical,BDL
925,Consumer Cyclical,BELI.PA
926,Consumer Cyclical,BEL
927,Consumer Cyclical,BEN.PA
928,Consumer Cyclical,BERY
929,Consumer Cyclical,BFAM
930,Consumer Cyclical,BFIT.AS
931,Consumer Cyclical,BGFV
932,Consumer Cyclical,BGI
933,Consumer Cyclical,BH-A
934,Consumer Cyclical,BH
935,Consumer Cyclical,BID
936,Consumer Cyclical,BJRI
937,Consumer Cyclical,BKE
938,Consumer Cyclical,BKNG
939,Consumer Cyclical,BKS
940,Consumer Cyclical,BLBD
941,Consumer Cyclical,BLL
942,Consumer Cyclical,BLMN
943,Consumer Cyclical,BLNK
944,Consumer Cyclical,BMS
945,Consumer Cyclical,BNED
946,Consumer Cyclical,BOJA
947,Consumer Cyclical,BOOT
948,Consumer Cyclical,BOY.TO
949,Consumer Cyclical,BSET
950,Consumer Cyclical,BTN
951,Consumer Cyclical,BUI.PA
952,Consumer Cyclical,BUR.PA
953,Consumer Cyclical,BURG
954,Consumer Cyclical,BURL
955,Consumer Cyclical,BWA
956,Consumer Cyclical,BXG
957,Consumer Cyclical,BYD
958,Consumer Cyclical,BZH
959,Consumer Cyclical,BZUN
960,Consumer Cyclical,CAAS
961,Consumer Cyclical,CAFO.PA
