,Cash and Cash Equivalents,Short Term Investments,Cash And Short-Term Investments,Accounts Receivables,Inventory,Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Long-term Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payables,Short-term Debt,Income Tax Payables,Deferred Revenue,Other Current Liabilities,Total Current Liabilities,Long-term Debt,Deferred Revenue Non-Current,Deferred Tax Liabilities Non-Current,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Total Liabilities,Common Stock,Retained Earnings,Accumulated Other Comprehensive Income Loss,Other Shareholders Equity,Total Shareholders Equity,Total Liabilities & Stockholders Equity,Total Investments,Total Debt,Net Debt,Year,QQ-YYYY
73,2686500000.0,4595750000.0,7282250000.0,4673000000.0,197750000.0,2260250000.0,14413250000.0,3863000000.0,283750000.0,1056000000.0,1339750000.0,23030500000.0,3461750000.0,1369500000.0,29602750000.0,3629750000.0,44016000000.0,5293750000.0,0.0,0.0,1488250000.0,3521000000.0,9635500000.0,0.0,662000000.0,645750000.0,1366250000.0,4828000000.0,1366250000.0,14463500000.0,4105500000.0,25322250000.0,124750000.0,122750000.0,29552500000.0,44016000000.0,27626250000.0,0.0,-2686500000.0,2012,FY-2012
72,2686500000.0,4595750000.0,7282250000.0,4673000000.0,197750000.0,2260250000.0,14413250000.0,3863000000.0,283750000.0,1056000000.0,1339750000.0,23030500000.0,3461750000.0,1369500000.0,29602750000.0,3629750000.0,44016000000.0,5293750000.0,0.0,0.0,1488250000.0,3521000000.0,9635500000.0,0.0,662000000.0,645750000.0,1366250000.0,4828000000.0,1366250000.0,14463500000.0,4105500000.0,25322250000.0,124750000.0,122750000.0,29552500000.0,44016000000.0,27626250000.0,0.0,-2686500000.0,2012,FY-2012
71,2453750000.0,4034250000.0,6488000000.0,2929250000.0,194000000.0,1635750000.0,11247000000.0,1944250000.0,224000000.0,884000000.0,1108000000.0,13904500000.0,2039750000.0,889000000.0,17845750000.0,2524750000.0,29092750000.0,3658000000.0,0.0,0.0,1022750000.0,2727500000.0,6992500000.0,0.0,421500000.0,503500000.0,906750000.0,2946500000.0,906750000.0,9939000000.0,3332750000.0,15710250000.0,110750000.0,105000000.0,19153750000.0,29092750000.0,17938750000.0,0.0,-2453750000.0,2011,FY-2011
70,2453750000.0,4034250000.0,6488000000.0,2929250000.0,194000000.0,1635750000.0,11247000000.0,1944250000.0,224000000.0,884000000.0,1108000000.0,13904500000.0,2039750000.0,889000000.0,17845750000.0,2524750000.0,29092750000.0,3658000000.0,0.0,0.0,1022750000.0,2727500000.0,6992500000.0,0.0,421500000.0,503500000.0,906750000.0,2946500000.0,906750000.0,9939000000.0,3332750000.0,15710250000.0,110750000.0,105000000.0,19153750000.0,29092750000.0,17938750000.0,0.0,-2453750000.0,2011,FY-2011
69,2453750000.0,4034250000.0,6488000000.0,2929250000.0,194000000.0,1635750000.0,11247000000.0,1944250000.0,224000000.0,884000000.0,1108000000.0,13904500000.0,2039750000.0,889000000.0,17845750000.0,2524750000.0,29092750000.0,3658000000.0,0.0,0.0,1022750000.0,2727500000.0,6992500000.0,0.0,421500000.0,503500000.0,906750000.0,2946500000.0,906750000.0,9939000000.0,3332750000.0,15710250000.0,110750000.0,105000000.0,19153750000.0,29092750000.0,17938750000.0,0.0,-2453750000.0,2011,FY-2011
68,2453750000.0,4034250000.0,6488000000.0,2929250000.0,194000000.0,1635750000.0,11247000000.0,1944250000.0,224000000.0,884000000.0,1108000000.0,13904500000.0,2039750000.0,889000000.0,17845750000.0,2524750000.0,29092750000.0,3658000000.0,0.0,0.0,1022750000.0,2727500000.0,6992500000.0,0.0,421500000.0,503500000.0,906750000.0,2946500000.0,906750000.0,9939000000.0,3332750000.0,15710250000.0,110750000.0,105000000.0,19153750000.0,29092750000.0,17938750000.0,0.0,-2453750000.0,2011,FY-2011
67,2815250000.0,3589750000.0,6405000000.0,2481000000.0,262750000.0,1270750000.0,10419500000.0,1192000000.0,185250000.0,85500000.0,270750000.0,6347750000.0,1075000000.0,565750000.0,8376250000.0,1836500000.0,18795750000.0,3003750000.0,0.0,0.0,746000000.0,1778500000.0,5180500000.0,0.0,284750000.0,409000000.0,592500000.0,1667500000.0,592500000.0,6848000000.0,2667000000.0,9292250000.0,-11500000.0,0.0,11947750000.0,18795750000.0,9937500000.0,0.0,-2815250000.0,2010,FY-2010
66,2815250000.0,3589750000.0,6405000000.0,2481000000.0,262750000.0,1270750000.0,10419500000.0,1192000000.0,185250000.0,85500000.0,270750000.0,6347750000.0,1075000000.0,565750000.0,8376250000.0,1836500000.0,18795750000.0,3003750000.0,0.0,0.0,746000000.0,1778500000.0,5180500000.0,0.0,284750000.0,409000000.0,592500000.0,1667500000.0,592500000.0,6848000000.0,2667000000.0,9292250000.0,-11500000.0,0.0,11947750000.0,18795750000.0,9937500000.0,0.0,-2815250000.0,2010,FY-2010
65,2815250000.0,3589750000.0,6405000000.0,2481000000.0,262750000.0,1270750000.0,10419500000.0,1192000000.0,185250000.0,85500000.0,270750000.0,6347750000.0,1075000000.0,565750000.0,8376250000.0,1836500000.0,18795750000.0,3003750000.0,0.0,0.0,746000000.0,1778500000.0,5180500000.0,0.0,284750000.0,409000000.0,592500000.0,1667500000.0,592500000.0,6848000000.0,2667000000.0,9292250000.0,-11500000.0,0.0,11947750000.0,18795750000.0,9937500000.0,0.0,-2815250000.0,2010,FY-2010
64,2815250000.0,3589750000.0,6405000000.0,2481000000.0,262750000.0,1270750000.0,10419500000.0,1192000000.0,185250000.0,85500000.0,270750000.0,6347750000.0,1075000000.0,565750000.0,8376250000.0,1836500000.0,18795750000.0,3003750000.0,0.0,0.0,746000000.0,1778500000.0,5180500000.0,0.0,284750000.0,409000000.0,592500000.0,1667500000.0,592500000.0,6848000000.0,2667000000.0,9292250000.0,-11500000.0,0.0,11947750000.0,18795750000.0,9937500000.0,0.0,-2815250000.0,2010,FY-2010
63,1315750000.0,4550250000.0,5866000000.0,1264250000.0,113750000.0,644750000.0,7888750000.0,738500000.0,51500000.0,88250000.0,139750000.0,2632000000.0,554000000.0,476250000.0,3986500000.0,1043750000.0,11875250000.0,1400250000.0,0.0,0.0,2576250000.0,1153000000.0,2876500000.0,0.0,1121250000.0,0.0,534750000.0,1088750000.0,534750000.0,3965250000.0,2052500000.0,5838250000.0,19250000.0,0.0,7910000000.0,11875250000.0,7182250000.0,0.0,-1315750000.0,2009,FY-2009
62,1315750000.0,4550250000.0,5866000000.0,1264250000.0,113750000.0,644750000.0,7888750000.0,738500000.0,51500000.0,88250000.0,139750000.0,2632000000.0,554000000.0,476250000.0,3986500000.0,1043750000.0,11875250000.0,1400250000.0,0.0,0.0,2576250000.0,1153000000.0,2876500000.0,0.0,1121250000.0,0.0,534750000.0,1088750000.0,534750000.0,3965250000.0,2052500000.0,5838250000.0,19250000.0,0.0,7910000000.0,11875250000.0,7182250000.0,0.0,-1315750000.0,2009,FY-2009
61,1315750000.0,4550250000.0,5866000000.0,1264250000.0,113750000.0,644750000.0,7888750000.0,738500000.0,51500000.0,88250000.0,139750000.0,2632000000.0,554000000.0,476250000.0,3986500000.0,1043750000.0,11875250000.0,1400250000.0,0.0,0.0,2576250000.0,1153000000.0,2876500000.0,0.0,1121250000.0,0.0,534750000.0,1088750000.0,534750000.0,3965250000.0,2052500000.0,5838250000.0,19250000.0,0.0,7910000000.0,11875250000.0,7182250000.0,0.0,-1315750000.0,2009,FY-2009
60,1315750000.0,4550250000.0,5866000000.0,1264250000.0,113750000.0,644750000.0,7888750000.0,738500000.0,51500000.0,88250000.0,139750000.0,2632000000.0,554000000.0,476250000.0,3986500000.0,1043750000.0,11875250000.0,1400250000.0,0.0,0.0,2576250000.0,1153000000.0,2876500000.0,0.0,1121250000.0,0.0,534750000.0,1088750000.0,534750000.0,3965250000.0,2052500000.0,5838250000.0,19250000.0,0.0,7910000000.0,11875250000.0,7182250000.0,0.0,-1315750000.0,2009,FY-2009
59,2968750000.0,3153750000.0,6122500000.0,1176000000.0,127250000.0,1246750000.0,8672500000.0,613750000.0,51750000.0,88000000.0,139750000.0,0.0,168750000.0,467000000.0,1220500000.0,1595000000.0,9893000000.0,1380000000.0,0.0,0.0,0.0,1914000000.0,3523000000.0,0.0,0.0,0.0,943750000.0,1112500000.0,943750000.0,4635500000.0,1794250000.0,3461250000.0,2000000.0,0.0,5257500000.0,9893000000.0,3153750000.0,0.0,-2968750000.0,2008,FY-2008
58,2968750000.0,3153750000.0,6122500000.0,1176000000.0,127250000.0,1246750000.0,8672500000.0,613750000.0,51750000.0,88000000.0,139750000.0,0.0,168750000.0,467000000.0,1220500000.0,1595000000.0,9893000000.0,1380000000.0,0.0,0.0,0.0,1914000000.0,3523000000.0,0.0,0.0,0.0,943750000.0,1112500000.0,943750000.0,4635500000.0,1794250000.0,3461250000.0,2000000.0,0.0,5257500000.0,9893000000.0,3153750000.0,0.0,-2968750000.0,2008,FY-2008
57,2968750000.0,3153750000.0,6122500000.0,1176000000.0,127250000.0,1246750000.0,8672500000.0,613750000.0,51750000.0,88000000.0,139750000.0,0.0,168750000.0,467000000.0,1220500000.0,1595000000.0,9893000000.0,1380000000.0,0.0,0.0,0.0,1914000000.0,3523000000.0,0.0,0.0,0.0,943750000.0,1112500000.0,943750000.0,4635500000.0,1794250000.0,3461250000.0,2000000.0,0.0,5257500000.0,9893000000.0,3153750000.0,0.0,-2968750000.0,2008,FY-2008
56,2968750000.0,3153750000.0,6122500000.0,1176000000.0,127250000.0,1246750000.0,8672500000.0,613750000.0,51750000.0,88000000.0,139750000.0,0.0,168750000.0,467000000.0,1220500000.0,1595000000.0,9893000000.0,1380000000.0,0.0,0.0,0.0,1914000000.0,3523000000.0,0.0,0.0,0.0,943750000.0,1112500000.0,943750000.0,4635500000.0,1794250000.0,3461250000.0,2000000.0,0.0,5257500000.0,9893000000.0,3153750000.0,0.0,-2968750000.0,2008,FY-2008
55,2338000000.0,1508500000.0,3846500000.0,1007250000.0,86500000.0,548750000.0,5489000000.0,458000000.0,9500000.0,74750000.0,84250000.0,0.0,154750000.0,305500000.0,847750000.0,750000000.0,6336750000.0,1242500000.0,0.0,0.0,0.0,889250000.0,2324750000.0,0.0,0.0,,224250000.0,379000000.0,224250000.0,2703750000.0,1342000000.0,2275250000.0,15750000.0,0.0,3633000000.0,6336750000.0,1508500000.0,0.0,-2338000000.0,2007,FY-2007
54,2338000000.0,1508500000.0,3846500000.0,1007250000.0,86500000.0,548750000.0,5489000000.0,458000000.0,9500000.0,74750000.0,84250000.0,0.0,154750000.0,305500000.0,847750000.0,750000000.0,6336750000.0,1242500000.0,0.0,0.0,0.0,889250000.0,2324750000.0,0.0,0.0,,224250000.0,379000000.0,224250000.0,2703750000.0,1342000000.0,2275250000.0,15750000.0,0.0,3633000000.0,6336750000.0,1508500000.0,0.0,-2338000000.0,2007,FY-2007
53,2338000000.0,1508500000.0,3846500000.0,1007250000.0,86500000.0,548750000.0,5489000000.0,458000000.0,9500000.0,74750000.0,84250000.0,0.0,154750000.0,305500000.0,847750000.0,750000000.0,6336750000.0,1242500000.0,0.0,0.0,0.0,889250000.0,2324750000.0,0.0,0.0,,224250000.0,379000000.0,224250000.0,2703750000.0,1342000000.0,2275250000.0,15750000.0,0.0,3633000000.0,6336750000.0,1508500000.0,0.0,-2338000000.0,2007,FY-2007
52,2338000000.0,1508500000.0,3846500000.0,1007250000.0,86500000.0,548750000.0,5489000000.0,458000000.0,9500000.0,74750000.0,84250000.0,0.0,154750000.0,305500000.0,847750000.0,750000000.0,6336750000.0,1242500000.0,0.0,0.0,0.0,889250000.0,2324750000.0,0.0,0.0,,224250000.0,379000000.0,224250000.0,2703750000.0,1342000000.0,2275250000.0,15750000.0,0.0,3633000000.0,6336750000.0,1508500000.0,0.0,-2338000000.0,2007,FY-2007
51,1598000000.0,929500000.0,2527500000.0,711250000.0,67500000.0,117250000.0,3627250000.0,320250000.0,9500000.0,34750000.0,44250000.0,0.0,0.0,43750000.0,674000000.0,117250000.0,4301250000.0,847500000.0,929500000.0,0.0,186500000.0,205000000.0,1617750000.0,0.0,88750000.0,95250000.0,3500000.0,187500000.0,205000000.0,1805250000.0,1088750000.0,1401750000.0,-198500000.0,0.0,2496000000.0,1805250000.0,0.0,0.0,-1598000000.0,2006,FY-2006
50,1598000000.0,929500000.0,2527500000.0,711250000.0,67500000.0,117250000.0,3627250000.0,320250000.0,9500000.0,34750000.0,44250000.0,0.0,0.0,43750000.0,674000000.0,117250000.0,4301250000.0,847500000.0,929500000.0,0.0,186500000.0,205000000.0,1617750000.0,0.0,88750000.0,95250000.0,3500000.0,187500000.0,205000000.0,1805250000.0,1088750000.0,1401750000.0,-198500000.0,0.0,2496000000.0,1805250000.0,0.0,0.0,-1598000000.0,2006,FY-2006
49,1598000000.0,929500000.0,2527500000.0,711250000.0,67500000.0,117250000.0,3627250000.0,320250000.0,9500000.0,34750000.0,44250000.0,0.0,0.0,43750000.0,674000000.0,117250000.0,4301250000.0,847500000.0,929500000.0,0.0,186500000.0,205000000.0,1617750000.0,0.0,88750000.0,95250000.0,3500000.0,187500000.0,205000000.0,1805250000.0,1088750000.0,1401750000.0,-198500000.0,0.0,2496000000.0,1805250000.0,0.0,0.0,-1598000000.0,2006,FY-2006
48,1598000000.0,929500000.0,2527500000.0,711250000.0,67500000.0,117250000.0,3627250000.0,320250000.0,9500000.0,34750000.0,44250000.0,0.0,0.0,43750000.0,674000000.0,117250000.0,4301250000.0,847500000.0,929500000.0,0.0,186500000.0,205000000.0,1617750000.0,0.0,88750000.0,95250000.0,3500000.0,187500000.0,205000000.0,1805250000.0,1088750000.0,1401750000.0,-198500000.0,0.0,2496000000.0,1805250000.0,0.0,0.0,-1598000000.0,2006,FY-2006
47,872750000.0,1192500000.0,2065250000.0,328000000.0,41250000.0,140500000.0,2575000000.0,204250000.0,17250000.0,16250000.0,33500000.0,0.0,77000000.0,75000000.0,312750000.0,215500000.0,2887750000.0,444750000.0,0.0,0.0,0.0,282250000.0,871000000.0,0.0,0.0,,73250000.0,150250000.0,73250000.0,1021250000.0,880250000.0,1001250000.0,-166000000.0,-15000000.0,1866500000.0,2887750000.0,1192500000.0,0.0,-872750000.0,2005,FY-2005
46,872750000.0,1192500000.0,2065250000.0,328000000.0,41250000.0,140500000.0,2575000000.0,204250000.0,17250000.0,16250000.0,33500000.0,0.0,77000000.0,75000000.0,312750000.0,215500000.0,2887750000.0,444750000.0,0.0,0.0,0.0,282250000.0,871000000.0,0.0,0.0,,73250000.0,150250000.0,73250000.0,1021250000.0,880250000.0,1001250000.0,-166000000.0,-15000000.0,1866500000.0,2887750000.0,1192500000.0,0.0,-872750000.0,2005,FY-2005
