,Net Revenue (Sales),Cost of Revenue (Sales),Gross Profit Margin,Gross Profit Margin Ratio,Research and Development (R&D),"Selling, General, and Administrative (SG&A)",Selling & Marketing Expenses (S&M),Total Operating Expenses,Cost & Expenses,"Interest Expense/Income, Net",Depreciation & Amortization (D&A),EBITDA,Operating Income,Pretax Income (Earnings),Pretax Income (Earnings) Margin,Provision For Income Taxes,Net Income (Earnings),Earnings Per Share (EPS),Earnings Per Share (EPS) Diluted,Shares Outstanding,Shares Outstanding (Diluted),Year,QQ-YYYY
93,25176250000.0,3468500000.0,25176250000.0,0.25,0.0,16201250000.0,0.0,19669750000.0,9678750000.0,3468500000.0,1544750000.0,13988250000.0,8975000000.0,8975000000.0,0.0900887336385,2864750000.0,6110250000.0,1.7083,1.7083,894200000.0,894200000.0,2017,FY-2017
92,25176250000.0,3468500000.0,25176250000.0,0.25,0.0,16201250000.0,0.0,19669750000.0,9678750000.0,3468500000.0,1544750000.0,13988250000.0,8975000000.0,8975000000.0,0.0900887336385,2864750000.0,6110250000.0,1.7083,1.7083,894200000.0,894200000.0,2017,FY-2017
91,24142250000.0,2454500000.0,24142250000.0,0.25,0.0,15508250000.0,0.0,17962750000.0,9206250000.0,2454500000.0,1369500000.0,12458000000.0,8634000000.0,8634000000.0,0.09024961324575,2450750000.0,6183250000.0,1.6756775000000002,1.6756775000000002,922500000.0,922500000.0,2016,FY-2016
90,24142250000.0,2454500000.0,24142250000.0,0.25,0.0,15508250000.0,0.0,17962750000.0,9206250000.0,2454500000.0,1369500000.0,12458000000.0,8634000000.0,8634000000.0,0.09024961324575,2450750000.0,6183250000.0,1.6756775000000002,1.6756775000000002,922500000.0,922500000.0,2016,FY-2016
89,24142250000.0,2454500000.0,24142250000.0,0.25,0.0,15508250000.0,0.0,17962750000.0,9206250000.0,2454500000.0,1369500000.0,12458000000.0,8634000000.0,8634000000.0,0.09024961324575,2450750000.0,6183250000.0,1.6756775000000002,1.6756775000000002,922500000.0,922500000.0,2016,FY-2016
88,24142250000.0,2454500000.0,24142250000.0,0.25,0.0,15508250000.0,0.0,17962750000.0,9206250000.0,2454500000.0,1369500000.0,12458000000.0,8634000000.0,8634000000.0,0.09024961324575,2450750000.0,6183250000.0,1.6756775000000002,1.6756775000000002,922500000.0,922500000.0,2016,FY-2016
87,23385750000.0,1865750000.0,23385750000.0,0.25,0.0,15710250000.0,0.0,17576000000.0,8985750000.0,1865750000.0,1235000000.0,10776250000.0,7675500000.0,7675500000.0,0.082053173407,1565000000.0,6110500000.0,1.619275,1.619275,943400000.0,943400000.0,2015,FY-2015
86,23385750000.0,1865750000.0,23385750000.0,0.25,0.0,15710250000.0,0.0,17576000000.0,8985750000.0,1865750000.0,1235000000.0,10776250000.0,7675500000.0,7675500000.0,0.082053173407,1565000000.0,6110500000.0,1.619275,1.619275,943400000.0,943400000.0,2015,FY-2015
85,23385750000.0,1865750000.0,23385750000.0,0.25,0.0,15710250000.0,0.0,17576000000.0,8985750000.0,1865750000.0,1235000000.0,10776250000.0,7675500000.0,7675500000.0,0.082053173407,1565000000.0,6110500000.0,1.619275,1.619275,943400000.0,943400000.0,2015,FY-2015
84,23385750000.0,1865750000.0,23385750000.0,0.25,0.0,15710250000.0,0.0,17576000000.0,8985750000.0,1865750000.0,1235000000.0,10776250000.0,7675500000.0,7675500000.0,0.082053173407,1565000000.0,6110500000.0,1.619275,1.619275,943400000.0,943400000.0,2015,FY-2015
83,23551250000.0,1974250000.0,23551250000.0,0.25,0.0,16103250000.0,0.0,18077500000.0,8991000000.0,1974250000.0,1189750000.0,10612000000.0,7448000000.0,7448000000.0,0.079061620933,2007500000.0,5440500000.0,1.4324649999999999,1.4324649999999999,949500000.0,949500000.0,2014,FY-2014
82,23551250000.0,1974250000.0,23551250000.0,0.25,0.0,16103250000.0,0.0,18077500000.0,8991000000.0,1974250000.0,1189750000.0,10612000000.0,7448000000.0,7448000000.0,0.079061620933,2007500000.0,5440500000.0,1.4324649999999999,1.4324649999999999,949500000.0,949500000.0,2014,FY-2014
81,23551250000.0,1974250000.0,23551250000.0,0.25,0.0,16103250000.0,0.0,18077500000.0,8991000000.0,1974250000.0,1189750000.0,10612000000.0,7448000000.0,7448000000.0,0.079061620933,2007500000.0,5440500000.0,1.4324649999999999,1.4324649999999999,949500000.0,949500000.0,2014,FY-2014
80,23551250000.0,1974250000.0,23551250000.0,0.25,0.0,16103250000.0,0.0,18077500000.0,8991000000.0,1974250000.0,1189750000.0,10612000000.0,7448000000.0,7448000000.0,0.079061620933,2007500000.0,5440500000.0,1.4324649999999999,1.4324649999999999,949500000.0,949500000.0,2014,FY-2014
79,24151500000.0,2419250000.0,24151500000.0,0.25,0.0,17673000000.0,0.0,20092250000.0,9218000000.0,2419250000.0,1326500000.0,10224250000.0,6478500000.0,6478500000.0,0.06706105210850001,1997750000.0,4480750000.0,1.1745075,1.1745075,953750000.0,953750000.0,2013,FY-2013
78,24151500000.0,2419250000.0,24151500000.0,0.25,0.0,17673000000.0,0.0,20092250000.0,9218000000.0,2419250000.0,1326500000.0,10224250000.0,6478500000.0,6478500000.0,0.06706105210850001,1997750000.0,4480750000.0,1.1745075,1.1745075,953750000.0,953750000.0,2013,FY-2013
77,24151500000.0,2419250000.0,24151500000.0,0.25,0.0,17673000000.0,0.0,20092250000.0,9218000000.0,2419250000.0,1326500000.0,10224250000.0,6478500000.0,6478500000.0,0.06706105210850001,1997750000.0,4480750000.0,1.1745075,1.1745075,953750000.0,953750000.0,2013,FY-2013
76,24151500000.0,2419250000.0,24151500000.0,0.25,0.0,17673000000.0,0.0,20092250000.0,9218000000.0,2419250000.0,1326500000.0,10224250000.0,6478500000.0,6478500000.0,0.06706105210850001,1997750000.0,4480750000.0,1.1745075,1.1745075,953750000.0,953750000.0,2013,FY-2013
75,24257750000.0,2788250000.0,24257750000.0,0.25,0.0,17028500000.0,0.0,19816750000.0,9191500000.0,2788250000.0,1286750000.0,11304250000.0,7229250000.0,7229250000.0,0.011323700672975001,1908250000.0,5321000000.0,1.3922025,1.3922025,955500000.0,955500000.0,2012,FY-2012
74,24257750000.0,2788250000.0,24257750000.0,0.25,0.0,17028500000.0,0.0,19816750000.0,9191500000.0,2788250000.0,1286750000.0,11304250000.0,7229250000.0,7229250000.0,0.011323700672975001,1908250000.0,5321000000.0,1.3922025,1.3922025,955500000.0,955500000.0,2012,FY-2012
73,24257750000.0,2788250000.0,24257750000.0,0.25,0.0,17028500000.0,0.0,19816750000.0,9191500000.0,2788250000.0,1286750000.0,11304250000.0,7229250000.0,7229250000.0,0.011323700672975001,1908250000.0,5321000000.0,1.3922025,1.3922025,955500000.0,955500000.0,2012,FY-2012
72,24257750000.0,2788250000.0,24257750000.0,0.25,0.0,17028500000.0,0.0,19816750000.0,9191500000.0,2788250000.0,1286750000.0,11304250000.0,7229250000.0,7229250000.0,0.011323700672975001,1908250000.0,5321000000.0,1.3922025,1.3922025,955500000.0,955500000.0,2012,FY-2012
71,24308500000.0,3401000000.0,24308500000.0,0.25,0.0,17621250000.0,0.0,21022250000.0,7471250000.0,3401000000.0,1276250000.0,11364500000.0,6687250000.0,6687250000.0,0.06877481128,1943250000.0,4744000000.0,1.210205,1.210205,980000000.0,980000000.0,2011,FY-2011
70,24308500000.0,3401000000.0,24308500000.0,0.25,0.0,17621250000.0,0.0,21022250000.0,7471250000.0,3401000000.0,1276250000.0,11364500000.0,6687250000.0,6687250000.0,0.06877481128,1943250000.0,4744000000.0,1.210205,1.210205,980000000.0,980000000.0,2011,FY-2011
69,24308500000.0,3401000000.0,24308500000.0,0.25,0.0,17621250000.0,0.0,21022250000.0,7471250000.0,3401000000.0,1276250000.0,11364500000.0,6687250000.0,6687250000.0,0.06877481128,1943250000.0,4744000000.0,1.210205,1.210205,980000000.0,980000000.0,2011,FY-2011
68,24308500000.0,3401000000.0,24308500000.0,0.25,0.0,17621250000.0,0.0,21022250000.0,7471250000.0,3401000000.0,1276250000.0,11364500000.0,6687250000.0,6687250000.0,0.06877481128,1943250000.0,4744000000.0,1.210205,1.210205,980000000.0,980000000.0,2011,FY-2011
67,25673500000.0,3195250000.0,25673500000.0,0.25,0.0,19458750000.0,0.0,22654000000.0,611500000.0,3195250000.0,1241250000.0,10651250000.0,6214750000.0,6214750000.0,0.060517167507351935,1872250000.0,4342500000.0,1.0919025,1.0919025,994250000.0,994250000.0,2010,FY-2010
66,25673500000.0,3195250000.0,25673500000.0,0.25,0.0,19458750000.0,0.0,22654000000.0,611500000.0,3195250000.0,1241250000.0,10651250000.0,6214750000.0,6214750000.0,0.060517167507351935,1872250000.0,4342500000.0,1.0919025,1.0919025,994250000.0,994250000.0,2010,FY-2010
65,25673500000.0,3195250000.0,25673500000.0,0.25,0.0,19458750000.0,0.0,22654000000.0,611500000.0,3195250000.0,1241250000.0,10651250000.0,6214750000.0,6214750000.0,0.060517167507351935,1872250000.0,4342500000.0,1.0919025,1.0919025,994250000.0,994250000.0,2010,FY-2010
64,25673500000.0,3195250000.0,25673500000.0,0.25,0.0,19458750000.0,0.0,22654000000.0,611500000.0,3195250000.0,1241250000.0,10651250000.0,6214750000.0,6214750000.0,0.060517167507351935,1872250000.0,4342500000.0,1.0919025,1.0919025,994250000.0,994250000.0,2010,FY-2010
63,25108500000.0,3799500000.0,25108500000.0,0.25,0.0,21091750000.0,0.0,24891250000.0,444250000.0,3799500000.0,958250000.0,8793500000.0,4016750000.0,4016750000.0,0.039993926359599336,1103750000.0,2932000000.0,0.75567,0.75567,970000000.0,970000000.0,2009,FY-2009
62,25108500000.0,3799500000.0,25108500000.0,0.25,0.0,21091750000.0,0.0,24891250000.0,444250000.0,3799500000.0,958250000.0,8793500000.0,4016750000.0,4016750000.0,0.039993926359599336,1103750000.0,2932000000.0,0.75567,0.75567,970000000.0,970000000.0,2009,FY-2009
61,25108500000.0,3799500000.0,25108500000.0,0.25,0.0,21091750000.0,0.0,24891250000.0,444250000.0,3799500000.0,958250000.0,8793500000.0,4016750000.0,4016750000.0,0.039993926359599336,1103750000.0,2932000000.0,0.75567,0.75567,970000000.0,970000000.0,2009,FY-2009
60,25108500000.0,3799500000.0,25108500000.0,0.25,0.0,21091750000.0,0.0,24891250000.0,444250000.0,3799500000.0,958250000.0,8793500000.0,4016750000.0,4016750000.0,0.039993926359599336,1103750000.0,2932000000.0,0.75567,0.75567,970000000.0,970000000.0,2009,FY-2009
59,16813000000.0,8559750000.0,16813000000.0,0.25,0.0,16119750000.0,0.0,24679500000.0,478250000.0,8559750000.0,1101500000.0,10831000000.0,693250000.0,693250000.0,0.010308243621007554,-231500000.0,1401250000.0,0.3978575,0.3978575,880500000.0,880500000.0,2008,FY-2008
58,16813000000.0,8559750000.0,16813000000.0,0.25,0.0,16119750000.0,0.0,24679500000.0,478250000.0,8559750000.0,1101500000.0,10831000000.0,693250000.0,693250000.0,0.010308243621007554,-231500000.0,1401250000.0,0.3978575,0.3978575,880500000.0,880500000.0,2008,FY-2008
57,16813000000.0,8559750000.0,16813000000.0,0.25,0.0,16119750000.0,0.0,24679500000.0,478250000.0,8559750000.0,1101500000.0,10831000000.0,693250000.0,693250000.0,0.010308243621007554,-231500000.0,1401250000.0,0.3978575,0.3978575,880500000.0,880500000.0,2008,FY-2008
56,16813000000.0,8559750000.0,16813000000.0,0.25,0.0,16119750000.0,0.0,24679500000.0,478250000.0,8559750000.0,1101500000.0,10831000000.0,693250000.0,693250000.0,0.010308243621007554,-231500000.0,1401250000.0,0.3978575,0.3978575,880500000.0,880500000.0,2008,FY-2008
55,17843000000.0,11245250000.0,17843000000.0,0.25,0.0,12141750000.0,0.0,23387000000.0,517500000.0,11245250000.0,955250000.0,17901750000.0,5701250000.0,5701250000.0,0.07988076556632852,1860000000.0,3841250000.0,1.0949975,1.0949975,877000000.0,877000000.0,2007,FY-2007
54,17843000000.0,11245250000.0,17843000000.0,0.25,0.0,12141750000.0,0.0,23387000000.0,517500000.0,11245250000.0,955250000.0,17901750000.0,5701250000.0,5701250000.0,0.07988076556632852,1860000000.0,3841250000.0,1.0949975,1.0949975,877000000.0,877000000.0,2007,FY-2007
53,17843000000.0,11245250000.0,17843000000.0,0.25,0.0,12141750000.0,0.0,23387000000.0,517500000.0,11245250000.0,955250000.0,17901750000.0,5701250000.0,5701250000.0,0.07988076556632852,1860000000.0,3841250000.0,1.0949975,1.0949975,877000000.0,877000000.0,2007,FY-2007
52,17843000000.0,11245250000.0,17843000000.0,0.25,0.0,12141750000.0,0.0,23387000000.0,517500000.0,11245250000.0,955250000.0,17901750000.0,5701250000.0,5701250000.0,0.07988076556632852,1860000000.0,3841250000.0,1.0949975,1.0949975,877000000.0,877000000.0,2007,FY-2007
51,15359250000.0,9466250000.0,15359250000.0,0.25,0.0,10387750000.0,0.0,19854000000.0,552250000.0,9466250000.0,894250000.0,15530750000.0,4971500000.0,4971500000.0,0.08092029233198235,1559250000.0,3611000000.0,1.0103525,1.0103525,893500000.0,893500000.0,2006,FY-2006
50,15359250000.0,9466250000.0,15359250000.0,0.25,0.0,10387750000.0,0.0,19854000000.0,552250000.0,9466250000.0,894250000.0,15530750000.0,4971500000.0,4971500000.0,0.08092029233198235,1559250000.0,3611000000.0,1.0103525,1.0103525,893500000.0,893500000.0,2006,FY-2006
49,15359250000.0,9466250000.0,15359250000.0,0.25,0.0,10387750000.0,0.0,19854000000.0,552250000.0,9466250000.0,894250000.0,15530750000.0,4971500000.0,4971500000.0,0.08092029233198235,1559250000.0,3611000000.0,1.0103525,1.0103525,893500000.0,893500000.0,2006,FY-2006
48,15359250000.0,9466250000.0,15359250000.0,0.25,0.0,10387750000.0,0.0,19854000000.0,552250000.0,9466250000.0,894250000.0,15530750000.0,4971500000.0,4971500000.0,0.08092029233198235,1559250000.0,3611000000.0,1.0103525,1.0103525,893500000.0,893500000.0,2006,FY-2006
47,13633250000.0,6342250000.0,13633250000.0,0.25,0.0,10579500000.0,0.0,16921750000.0,479250000.0,6342250000.0,1079500000.0,10475500000.0,3053750000.0,3053750000.0,0.055998202923000756,933000000.0,2120750000.0,0.5962175000000001,0.5962175000000001,889250000.0,889250000.0,2005,FY-2005
46,13633250000.0,6342250000.0,13633250000.0,0.25,0.0,10579500000.0,0.0,16921750000.0,479250000.0,6342250000.0,1079500000.0,10475500000.0,3053750000.0,3053750000.0,0.055998202923000756,933000000.0,2120750000.0,0.5962175000000001,0.5962175000000001,889250000.0,889250000.0,2005,FY-2005
45,13633250000.0,6342250000.0,13633250000.0,0.25,0.0,10579500000.0,0.0,16921750000.0,479250000.0,6342250000.0,1079500000.0,10475500000.0,3053750000.0,3053750000.0,0.055998202923000756,933000000.0,2120750000.0,0.5962175000000001,0.5962175000000001,889250000.0,889250000.0,2005,FY-2005
44,13633250000.0,6342250000.0,13633250000.0,0.25,0.0,10579500000.0,0.0,16921750000.0,479250000.0,6342250000.0,1079500000.0,10475500000.0,3053750000.0,3053750000.0,0.055998202923000756,933000000.0,2120750000.0,0.5962175000000001,0.5962175000000001,889250000.0,889250000.0,2005,FY-2005
43,10774250000.0,3458500000.0,10774250000.0,0.25,0.0,9225750000.0,0.0,12684250000.0,7323500000.0,3458500000.0,958750000.0,5965750000.0,1548500000.0,1548500000.0,0.035930575214052025,432000000.0,1116500000.0,0.3916175,0.3916175,712750000.0,712750000.0,2004,FY-2004
42,10774250000.0,3458500000.0,10774250000.0,0.25,0.0,9225750000.0,0.0,12684250000.0,7323500000.0,3458500000.0,958750000.0,5965750000.0,1548500000.0,1548500000.0,0.035930575214052025,432000000.0,1116500000.0,0.3916175,0.3916175,712750000.0,712750000.0,2004,FY-2004
41,10774250000.0,3458500000.0,10774250000.0,0.25,0.0,9225750000.0,0.0,12684250000.0,7323500000.0,3458500000.0,958750000.0,5965750000.0,1548500000.0,1548500000.0,0.035930575214052025,432000000.0,1116500000.0,0.3916175,0.3916175,712750000.0,712750000.0,2004,FY-2004
40,10774250000.0,3458500000.0,10774250000.0,0.25,0.0,9225750000.0,0.0,12684250000.0,7323500000.0,3458500000.0,958750000.0,5965750000.0,1548500000.0,1548500000.0,0.035930575214052025,432000000.0,1116500000.0,0.3916175,0.3916175,712750000.0,712750000.0,2004,FY-2004
39,8314000000.0,2776750000.0,8314000000.0,0.25,0.0,5807000000.0,0.0,8583750000.0,0.0,2776750000.0,775250000.0,6059000000.0,2507000000.0,2507000000.0,0.07538489295164782,827250000.0,1679750000.0,0.8173975,0.8173975,513750000.0,513750000.0,2003,FY-2003
38,8314000000.0,2776750000.0,8314000000.0,0.25,0.0,5807000000.0,0.0,8583750000.0,0.0,2776750000.0,775250000.0,6059000000.0,2507000000.0,2507000000.0,0.07538489295164782,827250000.0,1679750000.0,0.8173975,0.8173975,513750000.0,513750000.0,2003,FY-2003
37,8314000000.0,2776750000.0,8314000000.0,0.25,0.0,5807000000.0,0.0,8583750000.0,0.0,2776750000.0,775250000.0,6059000000.0,2507000000.0,2507000000.0,0.07538489295164782,827250000.0,1679750000.0,0.8173975,0.8173975,513750000.0,513750000.0,2003,FY-2003
36,8314000000.0,2776750000.0,8314000000.0,0.25,0.0,5807000000.0,0.0,8583750000.0,0.0,2776750000.0,775250000.0,6059000000.0,2507000000.0,2507000000.0,0.07538489295164782,827250000.0,1679750000.0,0.8173975,0.8173975,513750000.0,513750000.0,2003,FY-2003
35,7403500000.0,3439500000.0,7403500000.0,0.25,0.0,6773750000.0,0.0,10213250000.0,0.0,3439500000.0,856500000.0,4925750000.0,629750000.0,629750000.0,0.0212652799351658,214000000.0,415750000.0,0.206945,0.206945,502250000.0,502250000.0,2002,FY-2002
34,7403500000.0,3439500000.0,7403500000.0,0.25,0.0,6773750000.0,0.0,10213250000.0,0.0,3439500000.0,856500000.0,4925750000.0,629750000.0,629750000.0,0.0212652799351658,214000000.0,415750000.0,0.206945,0.206945,502250000.0,502250000.0,2002,FY-2002
33,7403500000.0,3439500000.0,7403500000.0,0.25,0.0,6773750000.0,0.0,10213250000.0,0.0,3439500000.0,856500000.0,4925750000.0,629750000.0,629750000.0,0.0212652799351658,214000000.0,415750000.0,0.206945,0.206945,502250000.0,502250000.0,2002,FY-2002
32,7403500000.0,3439500000.0,7403500000.0,0.25,0.0,6773750000.0,0.0,10213250000.0,0.0,3439500000.0,856500000.0,4925750000.0,629750000.0,629750000.0,0.0212652799351658,214000000.0,415750000.0,0.206945,0.206945,502250000.0,502250000.0,2002,FY-2002
31,7262500000.0,5344750000.0,7262500000.0,0.25,0.0,6621000000.0,0.0,11965750000.0,0.0,5344750000.0,722750000.0,6702750000.0,641500000.0,641500000.0,0.0,211750000.0,423500000.0,0.209135,0.209135,506250000.0,506250000.0,2001,FY-2001
30,7262500000.0,5344750000.0,7262500000.0,0.25,0.0,6621000000.0,0.0,11965750000.0,0.0,5344750000.0,722750000.0,6702750000.0,641500000.0,641500000.0,0.0,211750000.0,423500000.0,0.209135,0.209135,506250000.0,506250000.0,2001,FY-2001
29,7262500000.0,5344750000.0,7262500000.0,0.25,0.0,6621000000.0,0.0,11965750000.0,0.0,5344750000.0,722750000.0,6702750000.0,641500000.0,641500000.0,0.0,211750000.0,423500000.0,0.209135,0.209135,506250000.0,506250000.0,2001,FY-2001
28,7262500000.0,5344750000.0,7262500000.0,0.25,0.0,6621000000.0,0.0,11965750000.0,0.0,5344750000.0,722750000.0,6702750000.0,641500000.0,641500000.0,0.0,211750000.0,423500000.0,0.209135,0.209135,506250000.0,506250000.0,2001,FY-2001
27,8233500000.0,6782750000.0,8233500000.0,0.25,0.0,6050250000.0,0.0,12833000000.0,0.0,6782750000.0,636250000.0,9602250000.0,2183250000.0,2183250000.0,0.0,751500000.0,1431750000.0,0.7267775,0.7267775,492500000.0,492500000.0,2000,FY-2000
26,8233500000.0,6782750000.0,8233500000.0,0.25,0.0,6050250000.0,0.0,12833000000.0,0.0,6782750000.0,636250000.0,9602250000.0,2183250000.0,2183250000.0,0.0,751500000.0,1431750000.0,0.7267775,0.7267775,492500000.0,492500000.0,2000,FY-2000
25,8233500000.0,6782750000.0,8233500000.0,0.25,0.0,6050250000.0,0.0,12833000000.0,0.0,6782750000.0,636250000.0,9602250000.0,2183250000.0,2183250000.0,0.0,751500000.0,1431750000.0,0.7267775,0.7267775,492500000.0,492500000.0,2000,FY-2000
24,8233500000.0,6782750000.0,8233500000.0,0.25,0.0,6050250000.0,0.0,12833000000.0,0.0,6782750000.0,636250000.0,9602250000.0,2183250000.0,2183250000.0,0.0,751500000.0,1431750000.0,0.7267775,0.7267775,492500000.0,492500000.0,2000,FY-2000
23,5554250000.0,2873250000.0,5554250000.0,0.25,0.0,3460500000.0,0.0,6333750000.0,0.0,2873250000.0,350750000.0,5317750000.0,2093750000.0,2093750000.0,0.0,732250000.0,1361500000.0,1.05871,1.05871,321500000.0,321500000.0,1999,FY-1999
22,5554250000.0,2873250000.0,5554250000.0,0.25,0.0,3460500000.0,0.0,6333750000.0,0.0,2873250000.0,350750000.0,5317750000.0,2093750000.0,2093750000.0,0.0,732250000.0,1361500000.0,1.05871,1.05871,321500000.0,321500000.0,1999,FY-1999
21,5554250000.0,2873250000.0,5554250000.0,0.25,0.0,3460500000.0,0.0,6333750000.0,0.0,2873250000.0,350750000.0,5317750000.0,2093750000.0,2093750000.0,0.0,732250000.0,1361500000.0,1.05871,1.05871,321500000.0,321500000.0,1999,FY-1999
20,5554250000.0,2873250000.0,5554250000.0,0.25,0.0,3460500000.0,0.0,6333750000.0,0.0,2873250000.0,350750000.0,5317750000.0,2093750000.0,2093750000.0,0.0,732250000.0,1361500000.0,1.05871,1.05871,321500000.0,321500000.0,1999,FY-1999
19,4664000000.0,3430750000.0,4664000000.0,0.25,0.0,3181500000.0,0.0,6612250000.0,0.0,3430750000.0,292500000.0,5205750000.0,1482500000.0,1482500000.0,0.0,537000000.0,945500000.0,0.7250774999999999,0.7250774999999999,326000000.0,326000000.0,1998,FY-1998
18,4664000000.0,3430750000.0,4664000000.0,0.25,0.0,3181500000.0,0.0,6612250000.0,0.0,3430750000.0,292500000.0,5205750000.0,1482500000.0,1482500000.0,0.0,537000000.0,945500000.0,0.7250774999999999,0.7250774999999999,326000000.0,326000000.0,1998,FY-1998
17,4664000000.0,3430750000.0,4664000000.0,0.25,0.0,3181500000.0,0.0,6612250000.0,0.0,3430750000.0,292500000.0,5205750000.0,1482500000.0,1482500000.0,0.0,537000000.0,945500000.0,0.7250774999999999,0.7250774999999999,326000000.0,326000000.0,1998,FY-1998
16,4664000000.0,3430750000.0,4664000000.0,0.25,0.0,3181500000.0,0.0,6612250000.0,0.0,3430750000.0,292500000.0,5205750000.0,1482500000.0,1482500000.0,0.0,537000000.0,945500000.0,0.7250774999999999,0.7250774999999999,326000000.0,326000000.0,1998,FY-1998
15,4195750000.0,3399500000.0,4195750000.0,0.25,0.0,2718250000.0,0.0,6117750000.0,0.0,3399500000.0,237750000.0,5114750000.0,1477500000.0,1477500000.0,0.0,550500000.0,927000000.0,0.7033375,0.7033375,329500000.0,329500000.0,1997,FY-1997
14,4195750000.0,3399500000.0,4195750000.0,0.25,0.0,2718250000.0,0.0,6117750000.0,0.0,3399500000.0,237750000.0,5114750000.0,1477500000.0,1477500000.0,0.0,550500000.0,927000000.0,0.7033375,0.7033375,329500000.0,329500000.0,1997,FY-1997
13,4195750000.0,3399500000.0,4195750000.0,0.25,0.0,2718250000.0,0.0,6117750000.0,0.0,3399500000.0,237750000.0,5114750000.0,1477500000.0,1477500000.0,0.0,550500000.0,927000000.0,0.7033375,0.7033375,329500000.0,329500000.0,1997,FY-1997
12,4195750000.0,3399500000.0,4195750000.0,0.25,0.0,2718250000.0,0.0,6117750000.0,0.0,3399500000.0,237750000.0,5114750000.0,1477500000.0,1477500000.0,0.0,550500000.0,927000000.0,0.7033375,0.7033375,329500000.0,329500000.0,1997,FY-1997
11,3963000000.0,2892250000.0,3963000000.0,0.25,0.0,3010250000.0,0.0,5902500000.0,0.0,2892250000.0,217250000.0,4062250000.0,952750000.0,952750000.0,0.0,337500000.0,615250000.0,0.45238999999999996,0.45238999999999996,340000000.0,340000000.0,1996,FY-1996
