,index,Unnamed: 0,date,symbol,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,Year,QQ-YYYY
10,2,0.0,2018-06-30,AAPL,11/5/2018 0:00,11/5/2018 8:01,FY,14882750000.0,2725750000.0,-8147500000.0,1335000000.0,-3105250000.0,-1330500000.0,207000000.0,2293750000.0,3852500000.0,1224000000.0,19358500000.0,-3328250000.0,-180250000.0,-18652250000.0,14058500000.0,12118750000.0,4016500000.0,-1625000000.0,167250000.0,-18017250000.0,-3428000000.0,1101250000.0,-21969000000.0,0.0,1406000000.0,6478250000.0,5072250000.0,19358500000.0,-3328250000.0,16030250000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/0000320193-18-000145-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/a10-k20189292018.htm,2018,FY-2018
11,2,0.0,2018-03-31,AAPL,11/5/2018 0:00,11/5/2018 8:01,FY,14882750000.0,2725750000.0,-8147500000.0,1335000000.0,-3105250000.0,-1330500000.0,207000000.0,2293750000.0,3852500000.0,1224000000.0,19358500000.0,-3328250000.0,-180250000.0,-18652250000.0,14058500000.0,12118750000.0,4016500000.0,-1625000000.0,167250000.0,-18017250000.0,-3428000000.0,1101250000.0,-21969000000.0,0.0,1406000000.0,6478250000.0,5072250000.0,19358500000.0,-3328250000.0,16030250000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/0000320193-18-000145-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/a10-k20189292018.htm,2018,FY-2018
12,3,0.0,2017-12-31,AAPL,11/3/2017 0:00,11/3/2017 8:01,FY,12087750000.0,2539250000.0,1491500000.0,1210000000.0,-1387500000.0,-523250000.0,-680750000.0,2404500000.0,-156500000.0,-41500000.0,15899500000.0,0.0,0.0,-40000000000.0,31500000000.0,55000000.0,0.0,-875000000.0,138750000.0,-8225000000.0,-3192250000.0,-311750000.0,0.0,0.0,0.0,5072250000.0,5121000000.0,15899500000.0,-3198750000.0,12700750000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/0000320193-17-000070-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/a10-k20179302017.htm,2017,FY-2017
13,3,0.0,2017-09-30,AAPL,11/3/2017 0:00,11/3/2017 8:01,FY,12087750000.0,2539250000.0,1491500000.0,1210000000.0,-1387500000.0,-523250000.0,-680750000.0,2404500000.0,-156500000.0,-41500000.0,15899500000.0,0.0,0.0,-40000000000.0,31500000000.0,55000000.0,0.0,-875000000.0,138750000.0,-8225000000.0,-3192250000.0,-311750000.0,0.0,0.0,0.0,5072250000.0,5121000000.0,15899500000.0,-3198750000.0,12700750000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/0000320193-17-000070-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/a10-k20179302017.htm,2017,FY-2017
14,3,0.0,2017-06-30,AAPL,11/3/2017 0:00,11/3/2017 8:01,FY,12087750000.0,2539250000.0,1491500000.0,1210000000.0,-1387500000.0,-523250000.0,-680750000.0,2404500000.0,-156500000.0,-41500000.0,15899500000.0,0.0,0.0,-40000000000.0,31500000000.0,55000000.0,0.0,-875000000.0,138750000.0,-8225000000.0,-3192250000.0,-311750000.0,0.0,0.0,0.0,5072250000.0,5121000000.0,15899500000.0,-3198750000.0,12700750000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/0000320193-17-000070-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/a10-k20179302017.htm,2017,FY-2017
15,3,0.0,2017-03-31,AAPL,11/3/2017 0:00,11/3/2017 8:01,FY,12087750000.0,2539250000.0,1491500000.0,1210000000.0,-1387500000.0,-523250000.0,-680750000.0,2404500000.0,-156500000.0,-41500000.0,15899500000.0,0.0,0.0,-40000000000.0,31500000000.0,55000000.0,0.0,-875000000.0,138750000.0,-8225000000.0,-3192250000.0,-311750000.0,0.0,0.0,0.0,5072250000.0,5121000000.0,15899500000.0,-3198750000.0,12700750000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/0000320193-17-000070-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/a10-k20179302017.htm,2017,FY-2017
16,4,0.0,2016-12-31,AAPL,10/26/2016 0:00,10/26/2016 16:42,FY,11421750000.0,2626250000.0,1234500000.0,1052500000.0,4773750000.0,273750000.0,54250000.0,447750000.0,6965750000.0,1174000000.0,16557750000.0,-3183500000.0,-74250000.0,-7777500000.0,5314500000.0,-5773500000.0,-11494250000.0,-625000000.0,123750000.0,-7306750000.0,-3037500000.0,5848500000.0,-5222500000.0,0.0,-159000000.0,5121000000.0,5280000000.0,16557750000.0,-3183500000.0,13374250000.0,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/0001628280-16-020309-index.html,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/a201610-k9242016.htm,2016,FY-2016
17,4,0.0,2016-09-30,AAPL,10/26/2016 0:00,10/26/2016 16:42,FY,11421750000.0,2626250000.0,1234500000.0,1052500000.0,4773750000.0,273750000.0,54250000.0,447750000.0,6965750000.0,1174000000.0,16557750000.0,-3183500000.0,-74250000.0,-7777500000.0,5314500000.0,-5773500000.0,-11494250000.0,-625000000.0,123750000.0,-7306750000.0,-3037500000.0,5848500000.0,-5222500000.0,0.0,-159000000.0,5121000000.0,5280000000.0,16557750000.0,-3183500000.0,13374250000.0,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/0001628280-16-020309-index.html,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/a201610-k9242016.htm,2016,FY-2016
18,4,0.0,2016-06-30,AAPL,10/26/2016 0:00,10/26/2016 16:42,FY,11421750000.0,2626250000.0,1234500000.0,1052500000.0,4773750000.0,273750000.0,54250000.0,447750000.0,6965750000.0,1174000000.0,16557750000.0,-3183500000.0,-74250000.0,-7777500000.0,5314500000.0,-5773500000.0,-11494250000.0,-625000000.0,123750000.0,-7306750000.0,-3037500000.0,5848500000.0,-5222500000.0,0.0,-159000000.0,5121000000.0,5280000000.0,16557750000.0,-3183500000.0,13374250000.0,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/0001628280-16-020309-index.html,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/a201610-k9242016.htm,2016,FY-2016
19,4,0.0,2016-03-31,AAPL,10/26/2016 0:00,10/26/2016 16:42,FY,11421750000.0,2626250000.0,1234500000.0,1052500000.0,4773750000.0,273750000.0,54250000.0,447750000.0,6965750000.0,1174000000.0,16557750000.0,-3183500000.0,-74250000.0,-7777500000.0,5314500000.0,-5773500000.0,-11494250000.0,-625000000.0,123750000.0,-7306750000.0,-3037500000.0,5848500000.0,-5222500000.0,0.0,-159000000.0,5121000000.0,5280000000.0,16557750000.0,-3183500000.0,13374250000.0,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/0001628280-16-020309-index.html,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/a201610-k9242016.htm,2016,FY-2016
20,5,0.0,2015-12-31,AAPL,10/28/2015 0:00,10/28/2015 16:31,FY,13348500000.0,2814250000.0,345500000.0,896500000.0,921250000.0,152750000.0,-59500000.0,1350000000.0,2192000000.0,896500000.0,20316500000.0,-2811750000.0,-85750000.0,-8813250000.0,3634500000.0,-5992250000.0,-14068500000.0,-374750000.0,135750000.0,-8677500000.0,-2890250000.0,7138750000.0,-4429000000.0,0.0,1819000000.0,5280000000.0,3461000000.0,20316500000.0,-2872000000.0,17444500000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/0001193125-15-356351-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/d17062d10k.htm,2015,FY-2015
21,5,0.0,2015-09-30,AAPL,10/28/2015 0:00,10/28/2015 16:31,FY,13348500000.0,2814250000.0,345500000.0,896500000.0,921250000.0,152750000.0,-59500000.0,1350000000.0,2192000000.0,896500000.0,20316500000.0,-2811750000.0,-85750000.0,-8813250000.0,3634500000.0,-5992250000.0,-14068500000.0,-374750000.0,135750000.0,-8677500000.0,-2890250000.0,7138750000.0,-4429000000.0,0.0,1819000000.0,5280000000.0,3461000000.0,20316500000.0,-2872000000.0,17444500000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/0001193125-15-356351-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/d17062d10k.htm,2015,FY-2015
22,5,0.0,2015-06-30,AAPL,10/28/2015 0:00,10/28/2015 16:31,FY,13348500000.0,2814250000.0,345500000.0,896500000.0,921250000.0,152750000.0,-59500000.0,1350000000.0,2192000000.0,896500000.0,20316500000.0,-2811750000.0,-85750000.0,-8813250000.0,3634500000.0,-5992250000.0,-14068500000.0,-374750000.0,135750000.0,-8677500000.0,-2890250000.0,7138750000.0,-4429000000.0,0.0,1819000000.0,5280000000.0,3461000000.0,20316500000.0,-2872000000.0,17444500000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/0001193125-15-356351-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/d17062d10k.htm,2015,FY-2015
23,5,0.0,2015-03-31,AAPL,10/28/2015 0:00,10/28/2015 16:31,FY,13348500000.0,2814250000.0,345500000.0,896500000.0,921250000.0,152750000.0,-59500000.0,1350000000.0,2192000000.0,896500000.0,20316500000.0,-2811750000.0,-85750000.0,-8813250000.0,3634500000.0,-5992250000.0,-14068500000.0,-374750000.0,135750000.0,-8677500000.0,-2890250000.0,7138750000.0,-4429000000.0,0.0,1819000000.0,5280000000.0,3461000000.0,20316500000.0,-2872000000.0,17444500000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/0001193125-15-356351-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/d17062d10k.htm,2015,FY-2015
24,6,0.0,2014-12-31,AAPL,10/27/2014 0:00,10/27/2014 17:11,FY,9877500000.0,1986500000.0,586750000.0,715750000.0,-6136250000.0,-1058000000.0,-19000000.0,1484500000.0,1270750000.0,715750000.0,14928250000.0,-2392750000.0,-941250000.0,-11250000000.0,4702500000.0,4236750000.0,-5644750000.0,-289500000.0,182500000.0,-11067500000.0,-2781500000.0,4461750000.0,-9387250000.0,0.0,-103750000.0,3461000000.0,3564750000.0,14928250000.0,-2453250000.0,12475000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/0001193125-14-383437-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/d783162d10k.htm,2014,FY-2014
25,6,0.0,2014-09-30,AAPL,10/27/2014 0:00,10/27/2014 17:11,FY,9877500000.0,1986500000.0,586750000.0,715750000.0,-6136250000.0,-1058000000.0,-19000000.0,1484500000.0,1270750000.0,715750000.0,14928250000.0,-2392750000.0,-941250000.0,-11250000000.0,4702500000.0,4236750000.0,-5644750000.0,-289500000.0,182500000.0,-11067500000.0,-2781500000.0,4461750000.0,-9387250000.0,0.0,-103750000.0,3461000000.0,3564750000.0,14928250000.0,-2453250000.0,12475000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/0001193125-14-383437-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/d783162d10k.htm,2014,FY-2014
26,6,0.0,2014-06-30,AAPL,10/27/2014 0:00,10/27/2014 17:11,FY,9877500000.0,1986500000.0,586750000.0,715750000.0,-6136250000.0,-1058000000.0,-19000000.0,1484500000.0,1270750000.0,715750000.0,14928250000.0,-2392750000.0,-941250000.0,-11250000000.0,4702500000.0,4236750000.0,-5644750000.0,-289500000.0,182500000.0,-11067500000.0,-2781500000.0,4461750000.0,-9387250000.0,0.0,-103750000.0,3461000000.0,3564750000.0,14928250000.0,-2453250000.0,12475000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/0001193125-14-383437-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/d783162d10k.htm,2014,FY-2014
27,6,0.0,2014-03-31,AAPL,10/27/2014 0:00,10/27/2014 17:11,FY,9877500000.0,1986500000.0,586750000.0,715750000.0,-6136250000.0,-1058000000.0,-19000000.0,1484500000.0,1270750000.0,715750000.0,14928250000.0,-2392750000.0,-941250000.0,-11250000000.0,4702500000.0,4236750000.0,-5644750000.0,-289500000.0,182500000.0,-11067500000.0,-2781500000.0,4461750000.0,-9387250000.0,0.0,-103750000.0,3461000000.0,3564750000.0,14928250000.0,-2453250000.0,12475000000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/0001193125-14-383437-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/d783162d10k.htm,2014,FY-2014
28,7,0.0,2013-12-31,AAPL,10/30/2013 0:00,10/29/2013 20:38,FY,9259250000.0,1689250000.0,285250000.0,563250000.0,2629250000.0,-543000000.0,-243250000.0,585000000.0,7407000000.0,563250000.0,13416500000.0,-2041250000.0,-124000000.0,-5715000000.0,5079250000.0,-5642500000.0,-8443500000.0,-270500000.0,132500000.0,-5582500000.0,-2641000000.0,4128750000.0,-4094750000.0,0.0,878250000.0,3564750000.0,2686500000.0,13416500000.0,-2269000000.0,11147500000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312513416534/0001193125-13-416534-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312513416534/d590790d10k.htm,2013,FY-2013
29,7,0.0,2013-09-30,AAPL,10/30/2013 0:00,10/29/2013 20:38,FY,9259250000.0,1689250000.0,285250000.0,563250000.0,2629250000.0,-543000000.0,-243250000.0,585000000.0,7407000000.0,563250000.0,13416500000.0,-2041250000.0,-124000000.0,-5715000000.0,5079250000.0,-5642500000.0,-8443500000.0,-270500000.0,132500000.0,-5582500000.0,-2641000000.0,4128750000.0,-4094750000.0,0.0,878250000.0,3564750000.0,2686500000.0,13416500000.0,-2269000000.0,11147500000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312513416534/0001193125-13-416534-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312513416534/d590790d10k.htm,2013,FY-2013
30,7,0.0,2013-06-30,AAPL,10/30/2013 0:00,10/29/2013 20:38,FY,9259250000.0,1689250000.0,285250000.0,563250000.0,2629250000.0,-543000000.0,-243250000.0,585000000.0,7407000000.0,563250000.0,13416500000.0,-2041250000.0,-124000000.0,-5715000000.0,5079250000.0,-5642500000.0,-8443500000.0,-270500000.0,132500000.0,-5582500000.0,-2641000000.0,4128750000.0,-4094750000.0,0.0,878250000.0,3564750000.0,2686500000.0,13416500000.0,-2269000000.0,11147500000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312513416534/0001193125-13-416534-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312513416534/d590790d10k.htm,2013,FY-2013
31,7,0.0,2013-03-31,AAPL,10/30/2013 0:00,10/29/2013 20:38,FY,9259250000.0,1689250000.0,285250000.0,563250000.0,2629250000.0,-543000000.0,-243250000.0,585000000.0,7407000000.0,563250000.0,13416500000.0,-2041250000.0,-124000000.0,-5715000000.0,5079250000.0,-5642500000.0,-8443500000.0,-270500000.0,132500000.0,-5582500000.0,-2641000000.0,4128750000.0,-4094750000.0,0.0,878250000.0,3564750000.0,2686500000.0,13416500000.0,-2269000000.0,11147500000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312513416534/0001193125-13-416534-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312513416534/d590790d10k.htm,2013,FY-2013
32,8,0.0,2012-12-31,AAPL,10/31/2012 0:00,10/31/2012 17:07,FY,10433250000.0,819250000.0,1101250000.0,435000000.0,523250000.0,-1387750000.0,-3750000.0,1116750000.0,4777750000.0,435000000.0,12714000000.0,-2073750000.0,-87500000.0,-37750000000.0,3258750000.0,-13154250000.0,-12056750000.0,-306500000.0,166250000.0,166250000.0,-622000000.0,2717750000.0,-424500000.0,0.0,232750000.0,2686500000.0,2453750000.0,12714000000.0,-2350500000.0,10363500000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312512444068/0001193125-12-444068-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312512444068/d411355d10k.htm,2012,FY-2012
33,8,0.0,2012-09-30,AAPL,10/31/2012 0:00,10/31/2012 17:07,FY,10433250000.0,819250000.0,1101250000.0,435000000.0,523250000.0,-1387750000.0,-3750000.0,1116750000.0,4777750000.0,435000000.0,12714000000.0,-2073750000.0,-87500000.0,-37750000000.0,3258750000.0,-13154250000.0,-12056750000.0,-306500000.0,166250000.0,166250000.0,-622000000.0,2717750000.0,-424500000.0,0.0,232750000.0,2686500000.0,2453750000.0,12714000000.0,-2350500000.0,10363500000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312512444068/0001193125-12-444068-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312512444068/d411355d10k.htm,2012,FY-2012
34,8,0.0,2012-06-30,AAPL,10/31/2012 0:00,10/31/2012 17:07,FY,10433250000.0,819250000.0,1101250000.0,435000000.0,523250000.0,-1387750000.0,-3750000.0,1116750000.0,4777750000.0,435000000.0,12714000000.0,-2073750000.0,-87500000.0,-37750000000.0,3258750000.0,-13154250000.0,-12056750000.0,-306500000.0,166250000.0,166250000.0,-622000000.0,2717750000.0,-424500000.0,0.0,232750000.0,2686500000.0,2453750000.0,12714000000.0,-2350500000.0,10363500000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312512444068/0001193125-12-444068-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312512444068/d411355d10k.htm,2012,FY-2012
35,8,0.0,2012-03-31,AAPL,10/31/2012 0:00,10/31/2012 17:07,FY,10433250000.0,819250000.0,1101250000.0,435000000.0,523250000.0,-1387750000.0,-3750000.0,1116750000.0,4777750000.0,435000000.0,12714000000.0,-2073750000.0,-87500000.0,-37750000000.0,3258750000.0,-13154250000.0,-12056750000.0,-306500000.0,166250000.0,166250000.0,-622000000.0,2717750000.0,-424500000.0,0.0,232750000.0,2686500000.0,2453750000.0,12714000000.0,-2350500000.0,10363500000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312512444068/0001193125-12-444068-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312512444068/d411355d10k.htm,2012,FY-2012
36,9,0.0,2011-12-31,AAPL,10/26/2011 0:00,10/26/2011 16:35,FY,6480500000.0,453500000.0,717000000.0,292000000.0,-984500000.0,35750000.0,68750000.0,628750000.0,4254500000.0,292000000.0,9382250000.0,-1065000000.0,-61000000.0,-25500000000.0,5109250000.0,-14088000000.0,-10104750000.0,-130000000.0,207750000.0,207750000.0,0.0,2607000000.0,361000000.0,0.0,-361500000.0,2453750000.0,2815250000.0,9382250000.0,-1863000000.0,7519250000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312511282113/0001193125-11-282113-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312511282113/d220209d10k.htm,2011,FY-2011
37,9,0.0,2011-09-30,AAPL,10/26/2011 0:00,10/26/2011 16:35,FY,6480500000.0,453500000.0,717000000.0,292000000.0,-984500000.0,35750000.0,68750000.0,628750000.0,4254500000.0,292000000.0,9382250000.0,-1065000000.0,-61000000.0,-25500000000.0,5109250000.0,-14088000000.0,-10104750000.0,-130000000.0,207750000.0,207750000.0,0.0,2607000000.0,361000000.0,0.0,-361500000.0,2453750000.0,2815250000.0,9382250000.0,-1863000000.0,7519250000.0,https://www.sec.gov/Archives/edgar/data/320193/000119312511282113/0001193125-11-282113-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312511282113/d220209d10k.htm,2011,FY-2011
